A Republican strategy to counter the re-election of Obama 	Una estrategia republicana para obstaculizar la reelección de Obama
Over the past two years, they sponsored bills in 34 States to force voters to show a photo ID card.	En los últimos años estas autoridades han apoyado proyectos de ley en 34 estados para forzar a los electores a presentar un documento de identidad con fotografía.
It is important to note that, unlike Quebec, American citizens do not have a universal ID card such as the health insurance card.	Es importante tener en cuenta que, al contrario de lo que sucede en Quebec, los ciudadanos americanos no disponen de un documento de identidad universal, como la tarjeta de la Seguridad Social.
In fact, 11% of American citizens, i.e. 21 million people of voting age, do not possess a photo ID card issued by a government agency of their State.	De hecho, un 11% de los ciudadanos americanos, es decir, 21 millones de personas en edad de votar, no cuentan con ningún documento de identidad con fotografía emitido por una agencia gubernamental de su estado.
In addition, five million new voters in 2012 do not have such identification.	Por otro lado, cinco millones de nuevos electores en 2012 carecen de un documento de identidad con esas características.
And it often costs over a hundred dollars to obtain the required identity card.	Pero, a menudo, la obtención del documento de identidad requerido cuesta más de cien dólares.
The new restrictions disproportionately affect young people, minorities and people with low incomes.	Con lo cual, las nuevas restricciones afectan de manera desproporcionada a los jóvenes, las minorías y las personas con ingresos bajos.
In fact, 25% of African Americans, 15% of those earning less than $35,000; 18% of citizens over 65 and 20% of voters 18 to 29 years old do not have the required photo ID card.	En efecto, un 25% de afroamericanos, un 15% de personas que ganan menos de 35.000 dólares al año, un 18% de los ciudadanos de más de 65 años y un 20% de los electores de entre 18 y 29 años no cuentan con un documento de identidad con fotografía.
And that's not all.	Y aún hay más.
Students, voters considered to be voting more for Democratic candidates, are not allowed in several States to use the photo ID card issued by their institution.	En muchos estados los estudiantes, los electores que más votan a los candidatos demócratas, no pueden utilizar el documento de identidad con fotografía emitido por su institución.
On the other hand, these same States allow fishing or hunting club members, who vote more Republican, to use the cards issued by these clubs when they vote.	Por otra parte, esos mismos estados autorizan a los miembros de los clubs de pesca o de caza que suelen votar a los partidos republicanos a utilizar los documentos emitidos por dichos clubs.
Prior to 2004, no State required proof of citizenship to vote.	Antes de 2004 ningún estado exigía la prueba de ciudadanía para votar.
Arizona was the first to introduce such a requirement.	Arizona fue el primer estado en presentar dicha exigencia.
Since 2011, a dozen States have adopted laws requiring voters to prove they are American citizens.	Desde 2011, una docena de estados ha adoptado leyes que exigen que los electores demuestren que son ciudadanos americanos.
These measures are clearly intended to limit the Hispanic vote.	Esas medidas buscan, claramente, limitar el voto hispano. 
However, it appears that two out of three Hispanic voters favour the Democratic party.	Parece ser que dos de cada tres electores hispanos apoyan al partido demócrata.
What is more, in 2011 Republican legislators sponsored laws abolishing the registration of voters on election day in eight States.	Por otro lado, los legisladores republicanos apoyaron en 2011 ciertas leyes que abolían la inscripción de electores el mismo día del escrutinio en ocho estados.
In addition, they limited the right of individuals and groups to provide assistance to voters wishing to register.	Además, limitaron el derecho de las personas y los grupos a crear un servicio de ayuda a los electores que quisieran inscribirse.
These restrictions are not without consequence.	Estas restricciones tienen consecuencias.
For example, during the 2004 general election, voter registration campaigns contributed to registering around 10 million citizens.	Por ejemplo, en las elecciones generales de 2004, las campañas de inscripción de los electores contribuyeron al registro de alrededor de 10 millones de ciudadanos.
However, the measures adopted since 2009 have led to a 17% drop in the registration rate of new voters in 2010 compared to 2006.	Las medidas adoptadas desde 2009 lograron que la tasa de inscripción de nuevos electores cayera en 2010 en comparación con el año 2006.
In addition, Republican legislators have enacted laws in five other States aimed at reducing the early voting period.	Además, los legisladores republicanos adoptaron leyes en otros cinco estados que favorecían la reducción del período de voto por adelantado. 
For example, during the 2008 general election in Florida, 33% of early voters were African-Americans, who accounted however for only 13% of voters in the State.	Por ejemplo, en las elecciones de 2008 en Florida, un 33% de los electores que votaron por adelantado eran afroamericanos, mientras que estos últimos no representaban más que un 13% de los electores del estado.
The same applied to Hispanics.	En el caso de los hispanos ocurría exactamente lo mismo.
These represented only 11% of voters, but 24% of citizens who voted early.	Estos no representan más que un 11% de los electores, lo que equivale a un 24% de los ciudadanos que votan por adelantado.
On the other hand, 76% of voters were white but these represented only 46% of early voters.	Sin embargo, los blancos, que representan un 76% del electorado, no representan más que el 46% de los ciudadanos que votan por adelantado.
Of course, Democratic legislators and their supporters vigorously opposed the adoption of laws restricting voter registration.	Por supuesto, los legisladores demócratas y sus partidarios se han opuesto fervientemente a la adopción de leyes que restrinjan el registro de electores.
Several bills were blocked by vetoes of Democratic governors.	En este sentido, los gobernadores demócratas han bloqueado varios proyectos de ley.
The United States Attorney General intervened to suspend the most controversial laws.	El Ministerio Fiscal de los Estados Unidos intervino para suspender las leyes más controvertidas.
They were able to partially limit the damage.	Se pudo, en parte, limitar los daños.
For example, only 16 out of 34 States have adopted laws requiring the presentation of a photo ID card.	Por ejemplo, tan sólo 16 de 34 estados adoptaron la ley que exigía la presentación de un documento de identidad con fotografía.
However, the new rules put in place will undoubtedly make it more difficult to exercise the right to vote in 2012.	Sin embargo, es innegable que las nuevas reglas adoptadas complicarán el ejercicio del derecho a voto en 2012.
Democratic critics denounce the partisan character of the laws that have been passed and they see a clear objective of influencing the 2012 results in key States.	Los críticos demócratas denuncian el carácter partidista de las leyes que se han votado, ya que está claro que con ellas se pretende influir en los resultados de 2012 en los estados clave.
A 2011 Brennan Centre report shows that the States that have adopted these laws represent 171 of the 270 votes needed in the electoral college to win the Presidency.	Un informe del Centro Brennan de 2011 demuestra que los estados que han adoptado dichas leyes representan 171 de los 270 votos necesarios en el colegio electoral para lograr la presidencia.
It is too early to say with certainty that these legislative changes in the electoral system will have significant impacts on the outcome of the 2012 presidential elections.	Es demasiado pronto para afirmar con certeza si estas modificaciones legislativas a escala de sistema electoral tendrán un impacto significativo en los resultados de las elecciones presidenciales de 2012.
But one thing is certain: these new provisions will have a negative impact on the turn-out.	Una cosa es cierta: esas nuevas disposiciones afectarán negativamente a la tasa de participación.
In this sense, the measures will partially undermine the American democratic system.	En este sentido, las medidas minarán en parte el sistema democrático americano.
Prostate cancer screening: take the test or not?	Detección del cáncer de próstata: ¿Hacerse el test o no hacérselo?
Indeed, the PSA test sometimes shows erroneous results with false negative or even false positive results, which involve unnecessary medical interventions.	En efecto, el test de PSA presenta, en ocasiones, resultados erróneos, con falsos resultados negativos o incluso falsos resultados positivos, tras los que se decide realizar intervenciones médicas inútiles.
Enough to make already reluctant men hesitate to take screening tests.	Es un motivo más que suficiente para hacer dudar a los hombres, ya reticentes de por sí, sobre si deberían hacerse o no los tests de detección.
Take the test or not?	¿Hacerse el test o no?
We asked two specialists for their opinion.	Hemos pedido consejo a dos especialistas.
In studies conducted in the United States, there was a lot of contamination between control groups, so it is difficult to interpret the data and make firm recommendations.	En los estudios realizados en los Estados Unidos se detectó un gran índice de contagios entre los grupos de muestra, por lo que es difícil interpretar esos datos y hacer recomendaciones firmes.
Another study, this time a European one, concluded that there was a difference in mortality between patients who were screened and those who were not.	Por su parte, el estudio europeo mostró cierta diferencia de mortalidad entre los pacientes que se habían realizado la detección y los que no.
This study also showed, with a follow-up after 12 years, that it is between 30 and 40% more likely for metastases to occur in the absence of screening.	El estudio, con un seguimiento a los 12 años, demostró además que existe entre el 30 y el 40% de posibilidades de padecer metástasis si no se ha realizado el test de detección.
I therefore recommend the test from age 50, or 40 if you have a direct relative who previously had prostate cancer.	Recomiendo, por tanto, el test a partir de los 50 años, o a partir de los 40 años si tu padre ha sufrido cáncer de próstata.
African-American men are also more at risk.	Los hombres de origen afroamericano tienen un índice de riesgo más elevado.
The key is to make the right decision once cancer has been detected.	La clave es tomar una buena decisión una vez detectado el cáncer.
There are aggressive cancers and others that are indolent.	Hay cánceres agresivos y otros cánceres que son indolentes.
The patient really needs to be made to understand the degree of risk of his cancer, by offering him the options available, not necessarily treating prostate cancers that are not long-term life threatening, and opting instead, in such cases, for active monitoring of the disease.	Es verdaderamente necesario lograr que el paciente comprenda el grado de riesgo de su cáncer. Se le deben ofrecer todas las opciones posibles y no necesariamente tratar los cánceres de próstata que no atenten contra la vida a largo plazo, en cuyo caso se debe optar más bien por una vigilancia activa de la enfermedad.
Today, many men in whom cancer has been detected will not be treated because their cancer is not aggressive and is not life threatening.	Hoy en día muchos hombres a los que se les ha detectado un cáncer no son tratados, puesto que dicho cáncer no es agresivo ni entraña un riesgo para su vida.
Active monitoring will be suggested, and if the disease progresses, they will be offered treatment.	En su lugar, les sugerimos una vigilancia activa de la enfermedad y, si ésta progresa, les ofrecemos un tratamiento.
More and more, specific criteria are being determined in order to decide who should or should not be treated.	Determinamos cada vez con más frecuencia criterios precisos para decidir quién debería o no ser tratado.
Therefore I recommend taking the test.	Recomiendo que se haga el test en cualquier caso.
But the important thing is to have a discussion with your doctor to determine whether or not to take it.	Pero es importante que hable con su médico para determinar si debe hacerse el test o no.
In collaboration with the Société internationale d'urologie [SIU], Movember has created a tool that makes it possible to evaluate the pros and cons of the PSA test.	Movember ha creado, en colaboración con la Sociedad Internacional de Urología, una herramienta que permite evaluar los pros y los contras del test de PSA.
You can download the document (in English for the time being, a [French] translation will be available shortly) at this address: http://ca.movember.com/fr/mens-health/prostate-cancer-screening	Se puede descargar este documento (por el momento solo en inglés, pero se ofrecerán traducciones dentro de poco) en la siguiente dirección: http://ca.movember.com/fr/mens-health/prostate-cancer-screening
Preventing the disease	Prevenir la enfermedad
Unfortunately, there is no miracle recipe for preventing cancer.	Desafortunadamente, no existe una receta milagrosa para prevenir el cáncer.
Despite the progress in research, the adoption of healthy living habits remains the best way to reduce the risk of suffering from it.	A pesar de los progresos de las investigaciones, la adopción de hábitos de vida saludables siguen siendo la mejor manera de reducir los riesgos de sufrir la enfermedad.
It is estimated that if everyone ate well and exercised enough, 30% of cancers could be prevented.	Estimamos que si todo el mundo comiera bien y se moviera lo suficiente, se podrían prevenir un 30% de los cánceres.
"If no more people smoked, this rate would increase to at least 50%," says André Beaulieu, spokesman for the Canadian Cancer Society.	"Si nadie fumara, esa tasa se elevaría, al menos, al 50%", subraya André Beaulieu, portavoz de la Sociedad Canadiense contra el Cáncer.
On the other hand, it is estimated that roughly 10% of cancers are hereditary.	En cambio, evaluamos que alrededor del 10% de los cánceres son hereditarios. 
Some are also completely unexplained.	Muchos otros siguen siendo totalmente inexplicables.
For the Canadian Cancer Society, the fight against tobacco remains a priority, despite the decrease in the number of smokers.	Para la Sociedad Canadiense contra el Cáncer, la lucha contra el tabaquismo sigue siendo una prioridad a pesar de la disminución del número de fumadores.
Cigarettes are linked to 85% of lung cancer cases.	El tabaco está vinculados con el 85% de los casos del cáncer de pulmón.
It is also a risk factor for a number of others.	Constituye, además, un factor de riesgo para otros tipos de cánceres.
This massively damages people's health.	Perjudica enormemente la salud de las personas.
"Even today, there are 1.5 million smokers in Quebec" deplores spokesperson André Beaulieu.	"Hoy por hoy, todavía hay 1,5 millones de fumadores en Quebec", declaró el portavoz André Beaulieu.
Encouraging data: 10 years after giving up smoking, the risk of dying from cancer drops by half.	Un dato esperanzador: 10 años después de dejar de fumar, el riesgo de morir de cáncer se reduce a la mitad.
Weight	El peso
Overweight and obesity are also conducive to the onset of the disease, according to the SCC.	La gordura y la obesidad favorecen también la aparición de la enfermedad, según la SCC.
They can increase the risks of cancer of the breast, colon and rectum, oesophagus, pancreas and uterus.	Incrementan los riesgos de cáncer de mama, de colon y de recto, de esófago, de páncreas y de útero.
"Research shows that the regular practice of physical activity throughout your life protects against colon cancer" it is also said.	"Las investigaciones demuestran que la práctica regular de actividad física durante toda la vida protege contra el cáncer de mama", añaden. 
Diet	La alimentación
The organisation also recommends limiting your consumption of red meat.	El organismo recomienda, igualmente, limitar el consumo de carnes rojas.
In large amounts, it increases the risks of developing colo-rectal cancer.	En grandes cantidades, hacen escalar los riesgos de sufrir un cáncer colorrectal.
Likewise, so do cured meat products, and these should be avoided.	Los productos de charcutería también deben evitarse.
The conservation of meat by smoking, drying or curing can cause the formation of carcinogens.	La conservación de la carne para su ahumado, secado o salazón puede provocar la formación de sustancias cancerígenas.
"They can damage cells in the body and lead to the development of cancer" it is explained.	"Pueden dañar las células del organismo y llevar al desarrollo del cáncer", nos explican.
Vitamins	Las vitaminas
In recent years, a number of scientists have studied the links between vitamin supplements and cancer.	En los últimos años, varios científicos han estudiado los vínculos entre los complejos vitamínicos y el cáncer.
For the time being however their research is inconclusive.	Sin embargo, por el momento sus investigaciones no son concluyentes.
Studies on vitamin E are contradictory, according to the SCC.	Segú la SCC, los estudios acerca de la vitamina E son contradictorios.
While one study noted a decrease in the risk of prostate cancer, another noted an increase.	Mientras que en uno de ellos se constató una disminución de los riesgos de cáncer de próstata, en otro lo que se observó fue, más bien, un aumento.
Also the effect of vitamin D on cancer is not clear.	El efecto de la vitamina D en el cáncer tampoco se ha podido determinar con claridad.
In addition, Mr Beaulieu emphasises the importance of discussing your concerns and family history with your doctor.	Por otra parte, M. Beaulieu insiste en la importancia de hablar sobre las inquietudes y los antecedentes familiares de cada uno con su médico.
"Taking a screening test doesn't give you cancer."	"Hacer el test de detección no provoca cáncer."
The Higgs boson revealed	El bosón de Higgs en detalle
The announcement of the probable discovery of the Higgs boson created quite a stir last summer, and with good reason.	El anuncio del probable descubrimiento del bosón de Higgs generó una gran conmoción el verano pasado, y con razón.
Indeed, it is believed that this boson is part of the mechanism responsible for the mass of everything in the Universe, no less.	Se cree, en efecto, que este bosón es partícipe del mecanismo responsable de la masa de todo lo que existe en el universo, nada más y nada menos. 
Also it is the last particle whose existence is predicted by the Standard Model - our best or "less worse" explanation of the nature and behaviour of matter - but which has not yet been observed empirically.	Y lo que es más, se trata de la partícula cuya existencia predijo el modelo estándar: nuestra mejor o "menos mala" explicación de la naturaleza y del comportamiento de la materia, que aún no ha sido observado empíricamente.
But for physicists, it is still not completely sure that it really is the Higgs.	Pero para los físicos no está totalmente claro que se trate de Higgs.
We know without a shadow of a doubt that it is a new authentic particle, and greatly resembles the Higgs boson predicted by the Standard Model.	Sabemos sin lugar a dudas que existe una nueva partícula y que se parece mucho al bosón de Higgs predicho por el modelo estándar.
In addition, new data unveiled this week at a large physics Congress in Kyoto seem to confirm this, but there are still insufficient data to be perfectly sure.	Además, nuevos datos desvelados esta semana en un importante congreso de física celebrado en Kioto parecen confirmar que sí lo es, aunque aún faltan más datos para estar completamente seguros.
But let's suppose that it really is the Higgs, since the chances of being mistaken seem slim, and see what it is.	De todas maneras, suponemos que se trata de Higgs, ya que las posibilidades de equivocarse parecen pocas. Veremos de qué se trata.
In our world, there is a fatally unavoidable law which states that two things cannot meet at the same place at the same time.	Hay, en este gran mundo, una ley generalizada y ineludible que implica que dos cosas no pueden encontrarse en el mismo lugar al mismo tiempo.
There's no way to break this rule - and don't try too hard, you'll go mad.	No hay manera de infringir esa norma y no lo intente demasiado, porque terminará haciéndose daño.
However, even though particle physics is a very strange world, it turns out that it also has a law of the same kind: the Pauli exclusion principle, which states that two particles cannot occupy the same space at the same time if they are in the same "quantum state" - this "state" consisting roughly of certain of their characteristics.	Aunque la física de las partículas sea un mundo muy complejo, se ha demostrado que también en ella existe una ley de estas características: el principio de exclusión de Pauli, que estipula que dos partículas no pueden ocupar el mismo espacio al mismo tiempo si están en el mismo "estado cuántico"; un "estado" que consta, grosso modo, de algunas de sus características.
Based on this, physicists classify particles into two categories.	Los físicos clasifican las partículas en dos categorías.
In one corner we have good citizens called fermions, who wisely obey the Pauli principle.	Por una parte nos encontramos con los buenos ciudadanos llamados fermiones, que obedecen sabiamente al principio de Pauli.
While lurking in the other are the bosons, a nasty band of anarchists who respect nothing - at all events, not this principle, which means that they can indeed be found in the same place at the same time.	Y por otra están los bosones, una sucia panda de anarquistas que no tiene respeto por nada, o al menos no por este principio, lo que significa que pueden encontrarse en el mismo lugar y al mismo tiempo.
These bosons are then divided into two groups, according to the Berkeley Labs Particle Adventure site (absolutely extraordinary, by the way): mesons, which we will not discuss here, and "force particles" by which the great forces of nature are propagated and to which the Higgs boson may be somehow related.	Según la página web The Particle Adventure de los Laboratorios Berkeley que, por cierto, es extraordinaria, los bosones se dividen en dos grupos: los mesones, de los que no hablaremos aquí, y las "partículas de fuerza", por las que las grandes fuerzas de la naturaleza se propagan y con las cuales el bosón de Higgs estaría de alguna forma emparentado.
These bosons, it must be stressed here, are not all such exotic bugs as you might think.	Estos bosones, cabría subrayar aquí, no son los bichos exóticos que podríamos creer.
In fact, if you can read this article, it is thanks to an extraordinarily banal boson: the photon, or the "light particle" which is the "messenger" of the electromagnetic force.	De hecho, si logra leer esta crónica, es gracias a un bosón extraordinariamente banal: el fotón o la "partícula de luz" que actúa como "mensajero" de la fuerza electromagnética.
When, in fact, a particle having an electric charge accelerates or changes direction, this "disturbs" the electromagnetic field in this specific place, rather like a pebble thrown in a pond.	En efecto, cuando una partícula con una carga eléctrica acelera o cambia de dirección, "desordena" el campo electromagnético en ese preciso entorno; un poco como cuando lanzamos una piedra a un estanque.
This "disturbance" produces an electromagnetic wave (of light, infrared, ultraviolet etc.), and this wave is nothing other than a photon - and thus one of the "force carrier" bosons.	En este "desorden" nace una onda electromagnética (de la luz, de los infrarrojos, de los ultravioletas, etc.), y esta onda no es otra cosa que un fotón; es decir, uno de los bosones "portadores de fuerza".
More stable field	Campo más estable
The same applies to the Higgs boson, with the difference that it is another field, the Higgs field, which must be "disturbed" for the boson to appear.	Ocurre lo mismo con el bosón de Higgs, con la diferencia de que se trata de otro campo, el campo de Higgs, que necesita estar "desordenado" para que este bosón aparezca.
Now, this Higgs field is much, much more stable than the electromagnetic field; to excite it, it is necessary to achieve very, very high energy levels, rather like a frozen pond which would need a very large rock to wrinkle the surface.	Ahora bien, el campo de Higgs es muchísimo más estable que el campo electromagnético. Para activarlo hace falta llegar a energías extremadamente elevadas, un poco como si se tratara de un estanque helado en el que tan sólo una roca gruesa pudiera deslizarse por la superficie.
Which is why a huge particle accelerator like the one at CERN - the Large Hadron Collider is a ring with a 27km circumference! - is needed to achieve such energy levels.	Por ello hace falta un inmenso acelerador de partículas como el de la CERN (¡el gran colisionador de hadrones es un anillo de 27 km de circunferencia!) para alcanzar tales niveles de energía.
The analogy with the electromagnetic field is again useful for explaining the relationship between the Higgs and mass.	La analogía con el campo electromagnético es una nueva herramienta que explica la relación entre el Higgs y la masa.
In fact not all particles, or all materials, interact with the electromagnetic field.	De hecho, no todas las partículas ni todos los materiales interactúan con el campo electromagnético.
Some, such as magnets, do so, but others don't - a piece of paper, for example, will never stick to a fridge.	Algunos, como los imanes, lo hacen, pero otros no: un trozo de papel, por ejemplo, no se mantendrá jamás por sí mismo pegado a la puerta de una nevera.
And likewise, not all particles interact with the Higgs field: those that do so have mass, while the others (such as the photon) do not.	Y de la misma forma, no todas las partículas interactúan con el campo de Higgs: las que lo hacen tienen una masa, mientras que el resto (cómo el fotón, por cierto), no la tienen.
Now, what is it that all this research "can bring"? asks Ms Plamondon.	Ahora bien, ¿qué "pueden aportar" todas esas investigaciones?, pregunta la Señora Plamondon.
For science, it serves to check the validity of the Standard Model (SM), and also allows physicians to examine any discrepancies between the observations and predictions of the SM.	Para la ciencia, esto sirve para verificar la validez del modelo estándar (MS), y permite, además, que los físicos escrutinen las diferencias entre las observaciones y las predicciones del MS.
A number of people, moreover, fervently hope that some will be found, because the slightest difference could open a door to a "new physics" and plug certain holes in the Model.	Por su parte, muchos desean fervientemente que se encuentren, pues la menor diferencia podría abrir una puerta a una "nueva física" que tape ciertos agujeros del modelo.
This, it must be said, still has huge shortcomings, offering no explanation for gravity (oops!) or dark matter, which forms approximately 80% of the matter in the Universe (re-oops!).	Esto, hay que decirlo, tiene aún enormes carencias, como que no propone explicación alguna relativa a la gravedad (¡ups!) o a la materia oscura, que conforma alrededor del 80% de la materia del Universo (¡otro ups!).
But to date no such discrepancies have been found at CERN.	Pero no hemos encontrado tales diferencias en la CERN hasta el momento.
Repercussions	Repercusiones
The repercussions of this research on the daily life of the man in the street are more difficult to predict, but it would be wrong to assume that there won't be any.	Las repercusiones de dichas investigaciones en nuestro día a día son difíciles de predecir, pero no creemos que nos equivoquemos al decir que no tendrá ninguna.
Remember: in the very early 60s, the pioneers of the laser at Bell Laboratories did not suspect the revolution that would be triggered by their work.	Para que vean: a comienzos de los años 60, los pioneros del láser en los laboratorios no sospechaban en absoluto la revolución que sus trabajos provocarían.
They had an inkling of the scientific applications, but nothing as to the rest.	Entreveían las aplicaciones científicas, pero nada más.
In fact, the late Willard Boyle - a physicist who worked at Bell Labs, where the laser was invented in 1960, and who himself developed the first continuous laser (the first were pulsed) in 1962 - told us that initially the laser was rather seen as a "lab gadget."	De hecho, como ya dijo el físico Willard Boyle, que trabajó en los laboratorios Bell, donde se inventó el láser en 1960, y que elaboró el primer láser continuo (los primeros eran pulsados) en 1962, al principio el láser era más bien considerado un "aparato de laboratorio".
Just imagine...	Imagínese...
And then, applications can also come from all the instrumentation that surrounds research.	Y además, las aplicaciones pueden también proceder de toda la instrumentación que rodea a la investigación.
For example, the same Willard Boyle developed a small light sensor in 1969, during his work in optics.	Por ejemplo, el mismo Willard Boyle elaboró un captador de luz en 1969 en el transcurso de su investigación en materia de ópticas.
This sensor, although this was not at all the original intention, now serves as an "eye" to all digital cameras worldwide, and earned him the Nobel physics prize in 2009.	A pesar de que no era en absoluto su intención original, este captador sirve ahora de "ojo" para todos los aparatos digitales del mundo, lo que le valió el Nobel de física en 2009.
This does not of course mean that the activities of the LHC will necessarily transform our lives, but it does mean that, actually, you never know...	Eso no quiere decir, por supuesto, que las actividades del LHC quieran necesariamente transformar nuestras vidas, sino que nunca se sabe...
Palliative care - The best way to die... | Le Devoir	Cuidados paliativos. La mejor forma de morir... | Le Devoir
With its Dying with Dignity Commission, Quebec recently discussed the delicate issue of the end of life.	En su Comisión Morir en dignidad, Quebec debatió recientemente la delicada cuestión del fin de la vida.
The debate is due to resume shortly as a bill is being prepared.	El debate debe retomarse pronto mientras se prepara un proyecto de ley.
However, in this vital area, much remains to be done.	Ahora bien, dentro de ese dominio esencial, aún hay mucho que hacer.
Le Devoir attempted to look more closely.	Le Devoir ha intentado verlo de cerca.
Just a few weeks ago Mr L. lived alone in his Montérégie apartment.	Hace apenas unas semanas, el Sr. L. vivía solo en su apartamento de la Montérégie.
The festering prostate cancer had allowed him a two-year respite.	El cáncer de próstata que le estaba destruyendo le había dado un respiro de dos años.
"They gave me five years to live, I've made it to seven," he says, with mixed emotions, lying in his bed at the Victor-Gadbois palliative care home in Beloeil, where he arrived the previous day.	"Me habían dado cinco años de vida, pero ya llevo así siete", relata, hecho una pasa, tumbado en su cama en el centro de cuidados paliativos Victor-Gadbois de Beloeil, a la que llegó el día anterior.
"But it's still a shock, you can never be prepared for it" he adds.	"Pero siempre es un shock, no podemos estar preparados para esto", continúa.
The disease is doing its work: huge weakness which prevents him going to the toilet alone, and even eating alone.	La enfermedad le ha causado estragos: una debilidad enorme que le impide ir solo al baño e incluso comer por sí solo.
Sitting in front of an appetising lunch, he consents to being helped to eat, resigned.	Sentado frente a un apetitoso almuerzo, acepta resignado que le ayuden a comer.
Courageous, he even manages to smile, talks to the strangers bustling around him, bringing him his medication, offering him a bath.	Valiente, llega incluso a sonreír, a hablar con los desconocidos que le dedican atenciones, le traen medicamentos y le ofrecen un baño.
The courage of ordinary death.	La valentía de la muerte ordinaria.
"What I want most is to be cured of my diarrhoea, it's humiliating" he confided.	"Mi mayor deseo es que me curen la diarrea, es humillante", confiesa.
A few hours later, the team found a cure for this illness.	Unas horas más tarde, el equipo encontró remedio a ese mal.
"During our lives, we learn that a man pisses standing up," says Pierre Brodeur, psychologist at the Victor-Gadbois home.	"En el transcurso de nuestras vidas aprendemos que un hombre hace pis de pie", relata Pierre Brodeur, psicólogo en el centro Victor-Gadbois.
Regressing to the stage of a child, for some people, is an unacceptable humiliation.	Regresar a su infancia, para ciertas personas, es una humillación inaceptable.
"It depends on the person's ability" to accept the regression, he says.	"Eso depende de la capacidad de la persona para aceptar esa regresión", constata.
Because, in the opinion of a number of people working in palliative care, great moments occur at the very heart of such regression.	Porque, según la opinión de la mayoría de las personas que trabajan en cuidados paliativos, los grandes momentos tienen lugar en el corazón mismo de esa regresión.
Patients at the Victor-Gadbois palliative care home all suffer from cancer.	Todos los pacientes que entran en el centro de cuidados paliativos Victor-Gadbois padecen cáncer.
They have a maximum life expectancy of three months.	Tienen un pronóstico de vida máximo de tres meses.
At this stage, the team of doctors and nurses surrounding them no longer provides so-called "curative" care.	En ese estado, el equipo de doctores y enfermeras que les rodean ya no ofrecen los cuidados "curativos".
For Mrs A., 89 years old, the worst fear is to die "conscious and suffocating."	El mayor temor de la Sra. A., de 89 años, es morir "consciente y ahogada".
But the disease has made me discover my children.	Pero la enfermedad le ha hecho descubrir a sus hijos.
"I have fine children" she adds.	"Tengo unos buenos hijos", añade.
"I don't wish for anything more in life" she says, before accepting having a mask put on to help her breathe.	"Ya no me quedan más deseos en esta vida", dice, antes de aceptar que se le coloque una mascarilla para ayudarla a respirar.
She looks forward nevertheless, in the next few days, to a last visit by her son coming from Italy.	Y espera, en los próximos días, una última visita de su hijo que vive en Italia.
At Victor-Gadbois, a group of volunteers provides bodily care and help with feeding.	En Victor-Gadbois se ofrece, con un grupo de voluntarios, el cuidado del cuerpo y ayuda a la alimentación.
