UN Chief Says There Is No Military Solution in Syria	Șeful ONU declară că nu există soluții militare în Siria
None of this is to say that Trump is likely to win the Republican nomination.	Nimic din toate acestea nu spune că Trump va câștiga cursa pentru nominalizarea republicanilor.
Pundits point out that at this time in 2011, Rick Perry's lead was giving way to a rising Herman Cain, neither of whom won even one state in the nomination process.	Pundits arată că, în aceeași perioadă a anului 2011, avansul lui Rick Perry îi făcea loc lui Herman Cain în sondaje, dar niciunul dintre ei nu a câștigat în vreun stat în cursa de nominalizare.
And there are many reasons he would struggle in a general election.	Iar motivele pentru care s-ar lupta din greu la alegerile generale sunt numeroase.
But outside groups like Jeb Bush's Super PAC and the economic conservative group Club for Growth are recognizing Trump's staying power and beginning to unload their dollars to topple him.	Însă grupurile din exterior precum Super PAC al lui Jeb Bush și grupul conservator economic Club for Growth admit puterea lui Trump și încep să îl susțină cu bani.
Here are some recent poll numbers that suggest that the real estate mogul isn't just a passing phase:	În continuare vă prezentăm câteva cifre din sondaje recente care sugerează că mogulul imobiliar nu este doar ceva trecător:
Trump's favorability ratings have turned 180 degrees.	Cifrele care indică susținerea față de Trump s-au întors la 180 grade.
Right before Donald Trump announced his candidacy in mid-June, a Monmouth University poll showed only two in 10 Republicans had a positive view of the real estate mogul.	Chiar înainte ca Donald Trump să își anunțe candidatura, la mijlocul lui iunie, un sondaj realizat de Universitatea din Monmouth arăta că doar doi din 10 republicani aveau o părere pozitivă despre mogulul imobiliar.
By mid-July, it was 40 percent.	Până la mijlocul lui iulie, procentul a urcat la 40%.
In early August, it was 52 percent.	La începutul lui august, era 52%.
Now, six in 10 Republicans have a favorable view of Donald Trump.	În prezent, șase din 10 republicani au o părere favorabilă despre Donald Trump.
Roughly three in 10 say they have a negative view.	Aproximativ trei din 10 declară că au o părere negativă.
And these numbers hold up in early states.	Aceste cifre se mențin.
A Quinnipiac poll in Iowa last week found that 60 percent of Republicans there had a favorable view of Trump.	Un sondaj realizat săptămâna trecută de Quinnipiac în Iowa a concluzionat că 60% dintre republicanii din regiune au o părere favorabilă despre Trump.
Two-thirds of GOP voters would be happy with Trump as the nominee.	Două treimi dintre alegătorii GOP ar fi fericiți dacă Trump ar câștiga cursa pentru nominalizare.
In a CNN/ORC poll last week, 67 percent of Republicans said they would be either "enthusiastic" or "satisfied" if Trump were the nominee.	Într-un sondaj realizat săptămâna trecută de CNN/ORC, 67% dintre republicani au declarat că ar fi „entuziasmați” sau „mulțumiți” dacă Trump ar câștiga cursa pentru nominalizare.
Only two in 10 say they would be "upset" if he were the nominee.	Doar doi din 10 declară că ar fi „supărați” dacă Trump ar câștiga cursa pentru nominalizare.
Only Ben Carson generates roughly the same level of enthusiasm as Trump (43 percent say they would be "enthusiastic" vs. 40 percent who say the same of Trump).	Doar Ben Carson generează aproximativ același nivel de entuziasm ca Trump (43% declară că ar fi „entuziasmați” față de 40% care declară același lucru despre Trump).
The next closest in enthusiasm?	Cel mai aproape în ceea ce privește entuziasmul?
Marco Rubio with only 21 percent.	Marco Rubio, cu doar 21%.
On the flip side, 47 percent of Republican voters say they would be "dissatisfied" or "upset" if establishment favorite Jeb Bush becomes the nominee.	De partea cealaltă, 47% dintre alegătorii republicani afirmă că ar fi „nemulțumiți” sau „supărați” dacă favoritul Jeb Bush câștigă cursa pentru nominalizare.
A majority of Republicans don't see Trump's temperament as a problem.	Majoritatea republicanilor nu consideră temperamentul lui Trump o problemă.
While Donald Trump has been widely criticized for his bombast and insults, 52 percent of leaned Republican voters nationwide think that the real estate mogul has the right temperament to be president, according to Monday's ABC News/Washington Post poll.	Deși Donald Trump a fost puternic criticat pentru insultele aduse și stilul său bombastic, 52% dintre alegătorii republicani la nivel național consideră că mogulul imobiliar are temperamentul potrivit pentru a fi președinte, conform sondajului realizat luni de ABC News/Washington Post.
The same number holds in the first-in-the-nation caucus state of Iowa, where the same 52 percent of Republicans think he has the personality to be commander in chief, according to Quinnipiac last week.	Regăsim aceleași cifre în statul Iowa, unde tot 52% dintre republicani cred că Trump are personalitatea potrivită pentru a fi conducător, conform sondajului realizat săptămâna trecută de Quinnipiac.
Still, 44 percent think he doesn't have the personality to serve effectively, and almost six in 10 independents say his temperament does not belong in the White House, according to ABC/Post.	Totuși, 44% sunt de părere că nu are personalitatea necesară pentru a acționa eficient și aproape șase din 10 independenți afirmă că temperamentul său nu are ce căuta la Casa Albă, conform ABC/Post.
Republican voters are getting used to the idea.	Alegătorii republicani se obișnuiesc cu ideea.
When they put on their pundit hats, Republican voters think Trump is for real.	Atunci când iau atitudinea de intelectuali, alegătorii republicani consideră că Trump este autentic.
When asked who is most likely to win the GOP nomination, four in 10 said Trump was the best bet, according to a CNN/ORC poll out last week.	Conform unui sondaj realizat săptămâna trecută de CNN/ORC, la întrebarea cine are cele mai multe șanse să câștige cursa pentru nominalizare GOP, patru din 10 au declarat că Trump.
That's a change from when four in 10 placed their money on Jeb Bush in late July.	Situația s-a schimbat față de finalul lui iulie, când patru din 10 ar fi pariat pe Jeb Bush.
Full disclosure: GOP voters haven't had the clearest crystal ball in the past.	Informare completă: în trecut, alegătorii GOP nu au citit foarte bine viitorul.
At this time last cycle, four in 10 Republicans picked Rick Perry to win the nomination, vs. only 28 percent for eventual nominee Mitt Romney.	În aceeași perioadă a ultimelor alegeri, patru din 10 republicani l-au ales pe Rick Perry în cursa pentru nominalizare, față de doar 28% pentru Mitt Romney.
Still, it shows that a plurality of GOP voters see Trump's campaign as plausible.	Însă, aceste cifre arată că majoritatea alegătorilor GOP consideră plauzibilă campania lui Trump.
Even if Republicans rallied around another candidate, Trump still beats almost everyone.	Chiar dacă republicanii sau repliat spre un alt candidat. Trump încă se află în fruntea tuturor.
Some pundits point out that the splintered field is likely contributing to Trump's lead, while anti-Trump support is be spread diffusely among more than a dozen other candidates.	Unele voci spun că situația divizată va contribui probabil la victoria lui Trump, în timp ce susținerea contra lui Trump se va împărți la mai mult de doisprezece candidați.
But a Monmouth University poll in early September shows that, in a hypothetical head-to-head matchup between Trump and most other Republican candidates, Trump almost always garners majority support.	Însă un sondaj derulat la începutul lui septembrie de Universitatea din Monmouth arată că, în situația ipotetică a unei colaborări între Trump și majoritatea celorlalți candidați republicani, aproape întotdeauna Trump va beneficia de susținerea majoritară.
He leads Carly Fiorina by 13 points, Marco Rubio by 14 points, Walker by 15 points, Jeb Bush by 19 points, and, finally, Rand Paul, John Kasich and Chris Christie by 33 points each.	Trump se află la distanță de 13 puncte de Carly Fiorina, la 14 puncte de Marco Rubio, la 15 puncte de Walker, la 19 puncte de Jeb Bush și, în cele din urmă, la câte 33 de puncte față de Rand Paul, John Kasich și Chris Christie.
He's in a dead heat with Ted Cruz.	Este aproape la egalitate cu Ted Cruz.
The only candidate who beats him?	Singurul candidat care îl învinge?
Ben Carson would lead the businessman by a wide 19 points in a hypothetical head-to-head.	Ben Carson l-ar învinge pe omul de afaceri cu 19 puncte într-o confruntare ipotetică de unu la unu.
A bare majority of Donald Trump's supporters say they've made up their minds.	Majoritatea susținătorilor lui Donald Trump declară că s-au decis.
A new CBS/NYT poll out on Tuesday shows that just more than half of voters who support Trump say they have locked in their votes.	Un nou sondaj realizat marți de CBS/NYT arată că peste jumătate dintre alegătorii care îl susțin pe Trump declară că nu își schimbă opțiunea de vot.
Obviously, a lot can happen to change that, and no one can really say they would never change their mind.	Evident, se pot întâmpla multe în acest sens și nimeni nu poate spune că aceștia nu se vor răzgândi niciodată.
46 percent said they are leaving the door open to switching candidates.	46% afirmă că lasă portița deschisă posibilității de a-și schimba opțiunea.
Still, Trump's strongest competition at the moment is from fellow outsider neurosurgeon Ben Carson, but voters who say they have made up their minds are twice as likely to go for Trump.	Cu toate acestea, cel mai important adversar al lui Trump este în prezent neurochirurgul Ben Carson, însă este de două ori mai probabil ca alegătorii care declară că s-au decis să voteze cu Trump.
Six in 10 Republicans say they agree with Trump on immigration.	Șase din 10 republicani afirmă că sunt de acord cu Trump în problema imigrării.
Even since Donald Trump called immigrants from Mexico "rapists" in his campaign announcement speech two months ago, immigration has been front and center in the 2016 conversation.	De când Donald Trump i-a numit pe imigranții din Mexic „violatori” în discursul de deschidere a campaniei sale, în urmă cu două luni, imigrarea a fost subiectul central în campania pentru 2016.
Some are worried that Trump's bombast will drive crucial Hispanic voters away from the Republican Party and damage rebranding efforts.	Unii sunt îngrijorați că stilul bombastic al lui Trump va duce la o scindare între alegătorii hispanici importanți și Partidul Republican și va prejudicia eforturile de rebranding.
But according to Monday's new ABC/Post poll, six in 10 Republicans say they agree with Trump on immigration issues.	Însă, conform sondajului realizat luni de ABC/Post, șase din 10 republicani afirmă că sunt de acord cu Trump în problema imigrării.
So as long as immigration remains in the spotlight, it seems Donald Trump will remain too.	Așa că, se pare că atâta timp cât problema imigrării rămâne în lumina reflectoarelor, la fel va rămâne și Doland Trump.
Frustration with government is climbing to new highs.	Frustrarea față de autorități atinge noi culmi.
Donald Trump and Ben Carson now account for roughly half of the support from Republican voters, largely due to their outsider status.	Donald Trump și Ben Carson sunt acum susținuți de aproape jumătate dintre alegătorii republicani, în mare parte datorită statutului lor de outsideri.
Six in 10 Republicans in Monday's new ABC/Post poll say they want a political outsider over someone with government experience.	Conform sondajului realizat luni de ABC/Post, șase din 10 republicani afirmă că preferă un outsider politic în detrimentul cuiva cu experiență în guvernare.
And they are angry at Washington, too.	Oamenii sunt de asemenea supărați pe autoritățile de la Washington.
A Des Moines Register/Bloomberg poll in Iowa from two weeks ago shows that three in four Iowa Republicans are frustrated with Republicans in Congress, with 54 percent "unsatisfied" and 21 percent "mad as hell."	Un sondaj derulat în urmă cu două săptămâni în Iowa de către Des Moines Register/Bloomberg arată că trei din patru republicani din Iowa sunt frustrați de prestația republicanilor din COngres, 54% declarându-se „nemulțumiți” iar 21% „nervoși la culme”.
Jeremy Corbyn to make debut at Prime Minister's Questions	Jeremy Corbyn își face debutul la Prime Minister's Questions
Since his election, Mr Corbyn's debut at PMQs has been keenly awaited	Încă de la alegerea sa, debutul domnului Corbyn la PMQs a fost îndelung așteptat
New Labour leader Jeremy Corbyn is to make his debut at Prime Minister's Questions later, taking on David Cameron for the first time.	Noul lider al Partidului Laburist, Jeremy Corbyn, își va face mai târziu debutul la Prime Minister's Questions, confruntându-se pentru prima dată cu David Cameron.
Mr Corbyn will rise to ask the first of his six allotted questions shortly after midday, with his performance likely to be closely scrutinised by the media and Labour MPs.	Dl Corbyn va adresa primele dintre cele șase întrebări la care are dreptul la scurt timp după prânz; prestația sa va fi probabil analizată îndeaproape de mass-media și parlamentarii laburiști.
He has called for "less theatre and more facts" at the weekly showpiece.	În cadrul aparițiilor săptămânale, el a cerut „mai puțin teatru și mai multe fapte”.
He has also said he could skip some sessions, leaving them to colleagues.	A declarat de asemenea că poate renunța la câteva participări și că le cedează colegilor săi.
The encounter will be the first parliamentary test of Mr Corbyn's leadership, coming after his appointment of a shadow cabinet and his speech to the TUC annual congress on Tuesday.	Confruntarea va fi primul test parlamentar al Dl Corbyn în poziție de lider, venind după ce a numit un „cabinet fantomă” și după discursul pe care l-a ținut marți la congresul anual TUC.
Meanwhile, the Labour leader's decision to stand in silence during the singing of the national anthem at a service on Tuesday to mark the 75th anniversary of the Battle of Britain has attracted criticism from a number of Tory MPs and is the focus of several front page stories in the newspapers.	Între timp, decizia liderului Partidului laburist de a păstra tăcerea la rostirea imnului național în cadrul unei slujbe ținute marți cu ocazia aniversării a 75 de ani de la Bătălia Angliei a atras critici din partea unor parlamentari conservatori și a ținut prima pagină a ziarelor.
Mr Corbyn's decision not to sing the national anthem has attracted attention	Decizia domnului Corbyn de a nu cânta imnul național a atras atenția
A spokesman for Mr Corbyn said he had "stood in respectful silence" and did recognise the "heroism of the Royal Air Force in the Battle of Britain."	Un purtător de cuvânt al Dl Corbyn a declarat că acesta „a păstrat tăcerea în mod respectuos” și a recunoscut „eroismul Forțelor aeriene britanice în Bătălia Angliei.”
But a member of Mr Corbyn's shadow cabinet, Owen Smith, told BBC Two's Newsnight programme he would have advised the Labour leader to sing the national anthem "irrespective" of his belief that the monarchy should be abolished.	Însă un membru al cabinetului fantomă al Dl Corbyn, Owen Smith, a declarat pentru emisiunea Two's Newsnight transmisă de BBC că i-ar fi recomandat liderului laburist să cânte imnul național „indiferent” de credința sa că monarhia ar trebui abolită.
Nearly a dozen shadow ministers have refused to serve in Mr Corbyn's top team, citing differences over the economy, defence and foreign affairs, while less than a sixth of the parliamentary party originally backed him as leader.	În jur de doisprezece miniștri din cabinetul fantomă au refuzat să facă parte din echipa de frunte a Dl Corbyn, argumentând prin diferențe de opinie legate de economie, apărare și externe, în timp ce mai puțin de o șesime din partidul parlamentar l-a susținut ca lider.
BBC political correspondent Robin Brant says policy differences are also "stacking up" within Labour following Mr Corbyn's appointment over its position on the European Union and the government's cap on benefits.	Corespondentul politic al BBC, Robin Brant, declară că diferențele de politică „se cumulează” în Partidul Laburist după numirea domnului Corbyn referitor la poziția sa față de Uniunea Europeană și limita de beneficii.
Mr Corbyn told the TUC conference Labour was putting forward amendments to remove the whole idea of a cap altogether.	Dl Corbyn a declarat la conferința TUC că Partidul Laburist va aduce modificări prin care se va elimina integral ideea limitării.
Hours later Mr Smith, the shadow work and pensions secretary, said the party was "very clear" that it was only opposing government plans to reduce the level of cap from £26,000 to £23,000.	Câteva ore mai târziu, Dl Smith, Ministrul Muncii și Pensiilor, a declarat că partidul „este foarte clar” în opoziția exclusivă față de planurile guvernului de a reduce nivelul „cap” de la 26.000 lire la 23.000 lire.
Mr Corbyn will be the fifth Labour leader that David Cameron has faced across the despatch box over the past decade since he became Tory leader.	Dl Corbyn va fi al cincilea lider laburist cu care se confruntă David Cameron la tribună în ultimul deceniu, de când a preluat conducerea Partidului Conservator.
The Labour leader, who has promised a different approach to politics, says he has "crowd sourced" ideas for questions to ask Mr Cameron and has been given more than 30,000 suggestions.	Liderul laburist, care a promis o abordare diferită a politicii, spune că are idei „din surse externe” pentru întrebări pe care să i le adreseze Domnului Cameron și că a primit peste 30.000 de sugestii.
The Islington North MP has said PMQs is too confrontational and that he will refrain from both "repartee" and trading barbs, instead vowing to focus on serious issues such as poverty, inequality and the challenges facing young people.	Parlamentarul Islington North a afirmat că PMQs implică un nivel de confruntare prea înalt și că se va abține de la replici și atacuri, angajându-se să se concentreze în schimb pe probleme serioase precum sărăcia, inegalitatea și provocările cu care se confruntă tinerii.
Mr Corbyn has said that Angela Eagle, the shadow business secretary, will deputise for him at PMQs when he does not attend - for instance when Mr Cameron is travelling abroad.	Dl Corbyn a declarat că Angela Eagle, Ministrul de finanțe, îi va ține locul la PMQs atunci când el nu poate participa - de exemplu atunci când Dl Cameron se deplasează în străinătate.
He has also floated the idea of allowing other colleagues to take the floor on occasion, saying he had approached the Commons Speaker John Bercow to discuss the issue.	A exprimat de asemenea ideea că va permite altor colegi să ia cuvântul ocazional, spunând că l-a abordat pe Președintele Camerei Deputaților, John Bercow, pentru a discuta acest aspect.
When he became leader in 2005, Mr Cameron said he wanted to move away from the "Punch and Judy" style of politics often associated with PMQs but admitted some years later that he had failed.	În 2005, când a preluat conducerea, Dl Cameron a declarat că dorește să renunțe la stilul politic „Punch and Judy” asociat adesea cu PMQs însă a recunoscut câțiva ani mai târziu că nu a reușit în demersul său.
Since it was first televised in 1990, PMQs has been seen as a key barometer of a leader's judgement, their command of the Commons and their standing among their fellow MPs although critics have argued it has become a caricature and is in need of far-reaching reforms.	De la prima transmisie, în 1990, PMQs a fost considerată un barometru cheie al raționamentului unui lider, al modului în care acesta conduce Camera Deputaților și a poziției sale în rândul colegilor parlamentari, deși criticii afirmă a ca devenit o caricatură și că are nevoie de o reformare profundă.
'Shot in Joburg': Homeless youth trained as photographers	„Cadru în Joburg”: Tineri fără adăpost beneficiază de cursuri de fotografie
Downtown Johannesburg is a tough place to be homeless.	Este dificil să fii un om fără adăpost în Johannesburg.
But one group of former street children have found a way to learn a skill and make a living.	Însă un grup de oameni care au trăit pe străzi în copilărie au găsit un mod de a învăța o meserie și de a-și câștiga traiul.
"I was shot in Joburg" is a non-profit studio that teaches homeless youngsters how to take photographs of their neighbourhood and make a profit from it.	„I was shot în Joburg” este un studio non-profit care îi învață pe tinerii fără adăpost să facă fotografii ale zonelor în care trăiesc și să câștige bani din asta.
BBC News went to meet one of the project's first graduates.	BBC News s-a întâlnit cu unul dintre primii absolvenți ai proiectului.
JD Sports boss says higher wages could hurt expansion	Șeful JD Sports spune că salariile mai mari ar putea dăuna extinderii
JD Sports Executive Chairman Peter Cowgill says a higher minimum wage for UK workers could mean "more spending power in the pockets of potential consumers."	Președintele JD Sports, Peter Cowgill, declară că o creștere a salariului minim în Marea Britanie ar putea însemna „o putere de cumpărare mai mare în buzunarele potențialilor consumatori.”
But that spending power is unlikely to outweigh the higher labour costs at his firm, he says.	Este însă puțin probabil ca respectiva putere de cumpărare să depășească costurile mai mari pentru forța de muncă în cadrul firmei, afirmă el.
The costs could hit JD Sports' expansion plans, he added, which could mean fewer extra jobs.	Costurile ar putea avea impact asupra planurilor de extindere ale JD Sports, a adăugat el, ceea ce ar putea însemna mai puține locuri de muncă noi.
Thanasi Kokkinakis backed by Tennis Australia president Steve Healy	Thanasi Kokkinakis susținut de președintele Tennis Australia, Steve Healy
Thanasi Kokkinakis deserves kudos rather than criticism for his behaviour.	Thanasi Kokkinakis ar merita să fie lăudat și nu criticat pentru comportamentul său.
Thanasi Kokkinakis has been the collateral damage in the recent storm around his friend Nick Kyrgios and deserves kudos rather than criticism for his own behaviour, according to Tennis Australia president Steve Healy.	Thanasi Kokkinakis a fost victimă colaterală în „furtuna” creată în jurul prietenului său, Nick Kyrgios, iar comportamentul său merită mai degrabă cuvinte de laudă și nu critică, în opinia președintelui Tennis Australia, Steve Healy.
Kokkinakis, the younger of the talented duo regularly referred to as the "Special Ks," was dragged into an unwelcome spotlight by the infamous Kyrgios sledge of Stan Wawrinka at the Montreal Masters.	Kokkinakis, partea mai tânără din duoul talentat numit adesea „Special Ks,”, a fost târât în mod neplăcut în lumina reflectoarelor de către derapajul scandalos pe care Kyrgios l-a avut față de Stan Wawrinka la turneul Montreal Masters.
In a fiery qualifying match in Cincinnati soon after, Kokkinakis and his opponent Ryan Harrison twice had to be separated by the chair umpire, with Harrison declaring: "Wawrinka should've decked Kyrgios, and I should deck that kid."	Într-un meci crâncen de calificare jucat la scurt timp după, în Cincinnati, arbitrul de scaun a trebuit să intervină de două ori pentru a-i despărți pe Kokkinakis și pe adversarul său Ryan Harrison, după care Harrison a declarat: „Wawrinka ar fi trebuit să îl pună la pământ pe Kyrgios, iar eu ar fi trebuit să îl pun la pământ pe puștiul ăsta.”
While he was last seen smashing a racquet after cramp foiled a potential US Open upset of Richard Gasquet, Kokkinakis has been defended staunchly by Healy.	Deși a fost văzut ultima dată făcând o rachetă praf după ce a avut crampe musculare și a ratat un posibil turneu US Open, supărat pe Richard Gasquet, Kokkinakis a fost apărat cu fermitate de către Healy.
The teenager is currently in Glasgow, competing with Sam Groth for the second singles berth behind Bernard Tomic in the Davis Cup semi-final against Britain.	Adolescentul se află în prezent în Glasgow, unde se luptă cu Sam Groth pentru locul doi la individual, după Bernard Tomic în semifinala Cupei Davis împotriva Angliei.
"One thing I do feel quite keenly about is I think Thanasi's been dragged into the fray a little bit," Healy said.	„Un lucru pe care îl simt puternic este că, după părerea mea, Thanasi a fost atras un pic în conflict”, a afirmat Healy.
He did break a racquet when he lost when he cramped in the US, but he's not the first player to break a racquet out of frustration with himself, and I know Thanasi well enough to know he wouldn't be proud of that.	Adevărul este că a rupt o rachetă atunci când a pierdut din cauză că a acuzat crampe în US, însă nu este primul jucător care rupe o rachetă din frustrare față de el însuși și îl cunosc pe Thanasi suficient de bine încât să știu că nu s-ar mândri cu asta.
But, really, he's handled himself extremely well, in pretty provocative circumstances in the US with Harrison and so on, and I think he deserves a lot of credit.	Dar să fim serioși, s-a stăpânit extrem de bine în situații destul de provocatoare în US cu Harrison și așa mai departe și cred că merită multă încredere.
He's a great team around him, he's got a great family around him and I just think he's been a little hard done by.	Are o echipă extraordinară, are o familie grozavă alături și cred că a fost tratat nedrept.
He's a very mature 19-year-old, he works very hard, and he fits in with the team and so on, he hasn't ever had an issue with the other players, he's well respected in the locker room, he trains hard, he's in great shape, he's a very stable and mature young guy and I just think he deserves to be judged on his own merits.	Este un tânăr de 19 ani foarte matur, muncește din greu și s-a integrat în echipă, nu a avut niciun fel de conflict cu ceilalți jucători, este foarte respectat la vestiare, se antrenează din greu, este într-o formă excelentă, este un tânăr foarte echilibrat și matur și cred că merită să fie judecat exclusiv pe baza calităților și defectelor sale.
Healy also backed the decision to overlook Kyrgios for the important tie, starting on Friday, describing the "mutual decision" as the right thing for all, but backing the Canberran to return as a long-term fixture in the team.	Healy a susținut de asemenea decizia de a nu îl lua în calcul pe Kyrgios pentru meciul de remiză important, care începe vineri, și a descris „decizia comună” ca fiind cea mai potrivită pentru toți, însă a susținut revenirea jucătorului originar din Canberra pe termen lung în echipă.
"First of all we want the team to be completely focused on the tie and not all the controversy around [Kyrgios]," Healy said.	„În primul rând, ne dorim ca echipa să se concentreze în totalitate pe meciul de remiză și să nu se gândească deloc la controversa din jurul lui [Kyrgios],” a afirmat Healy.
And I think Nick, he's risen very quickly, as people like Federer and Murray have pointed out, he's growing up in the public eye and he's made some terrible errors and deserves all the criticism he gets, but we're trying to support him, we're trying to help him understand the consequences of his actions, and some time out of the limelight where he can just reflect on that I think is appropriate and it's best for the team and it's best for him.	Și cred că Nick a urcat foarte repede, așa cum au afirmat oameni precum Federer și Murray, el se maturizează sub privirile publicului și a făcut niște greșeli îngrozitoare și merită să fie criticat, însă noi încercăm să îl susținem, încercăm să îl ajutăm să înțeleagă consecințele faptelor lui și cred că are nevoie de un timp în care nu se află în centrul atenției pentru a putea să reflecteze, lucru bun atât pentru echipă cât și pentru el.
Election 2016: Hillary Clinton's lead over Bernie Sanders cut by half in national poll	Alegeri 2016: Avantajul lui Hillary Clinton în fața lui Bernie Sanders s-a redus la jumătate în sondajele naționale
Former Secretary of State Hillary Clinton continues to hold a double-digit lead in the Democratic race for the nomination nationally, but Sen. Bernie Sanders is gaining on her.	Fostul Secretar de Stat, Hillary Clinton, are în continuare un avantaj de două cifre în cursa democrată pentru candidatura la nivel național, însă Senatorul Bernie Sanders câștigă teren.
Clinton now has the backing of 47 percent of Democratic primary voters (down from 58 percent), while Sanders comes in second, with 27 percent (up from 17 percent).	Clinton este acum susținută de 47% din alegătorii democrați (în scădere de la 58%), în timp ce Sanders este pe locul doi, cu 27% (în urcare față de 17%).
Vice President Joe Biden, who has yet to announce whether he is running for president, receives support from 15 percent of Democratic primary voters.	Vicepreședintele Joe Biden, care nu a anunțat încă dacă va candida la președinție, este susținut de 15% dintre alegătorii democrați.
More than five months before the start of the primary contests, most Democratic voters say it is too early to say that their minds are made up about which candidate they will support.	Cu cel puțin cinci luni înainte de startul alegerilor primare, majoritatea alegătorilor democrați spun că este prea devreme pentru a spune că s-au decis asupra candidatului pe care îl vor susține.
But Clinton's backers are more firm in their choice than those backing other candidates.	Însă susținătorii lui Clinton sunt mai fermi în alegerea lor decât susținătorii altor candidați.
Since last month's CBS News Poll, Clinton has lost ground among a number of demographic groups, while Sanders has made some gains.	Față de sondajul realizat de știrile CBS luna trecută, Clinton a pierdut teren într-un număr de grupuri demografice, în timp ce Sanders a câștigat câteva procente.
Clinton maintains a large lead among women and moderates, but those leads have narrowed.	Clinton păstrează avantajul în rândul femeilor și al moderaților, însă avantajul s-a redus.
Her support among men has dropped considerably and Sanders only trails her by 5 points.	Susținerea în rândul bărbaților s-a redus considerabil iar Sanders se află la o distanță de doar 5 puncte.
Clinton's advantage with Democratic voters under age 50 has evaporated, and she and Sanders are now even.	Avantajul lui Clinton în rândul alegătorilor democrați sub vârsta de 50 de ani s-a evaporat, fiind acum la egalitate cu Sanders.
However, Clinton still has a large lead with older voters.	Cu toate astea, Clinton se află încă în avantaj în rândul alegătorilor vârstnici.
Last month, Clinton was ahead of Sanders by double-digits among liberals, but Sanders now has a 5-point edge with this group.	Luna trecută, Clinton se afla în fața lui Sanders, cu un procent din două cifre, în rândul liberalilor, însă Sanders are acum un ușor avantaj de 5 puncte în acest grup.
About half of Democratic primary voters nationwide say they would enthusiastically support Clinton if she became the party's nominee.	Aproximativ jumătate dintre alegătorii democrați de la nivel național declară că ar susține-o cu entuziasm pe Clinton dacă ar fi aleasă să candideze în numele partidului.
A quarter would support her with some reservations and another 15 percent would only back her because she is the nominee.	Un sfert ar susține-o oarecum rezervat iar alte 15% ar susține-o doar pentru că reprezintă partidul.
Six percent would not support her.	Șase procente nu ar susține-o.
Perhaps not surprisingly, Clinton's current supporters are especially likely to be enthusiastic about her.	Poate nesurprinzător, probabilitatea ca susținătorii actuali ai lui Clinton să fie entuziasmați de alegerea acesteia este înaltă.
Views are more mixed among those not currently backing Clinton - only about a quarter would enthusiastically support her.	Opiniile sunt mai amestecate în rândul celor care nu o susțin în prezent pe Clinton - doar aproximativ un sfert ar susține-o cu entuziasm.
While 48 percent of Democratic primary voters say they would enthusiastically back Clinton, fewer Republican voters say that about their frontrunner, Donald Trump (35 percent).	În timp ce 48% dintre alegătorii democrați declară că ar susține-o cu entuziasm pe Clinton, numărul alegătorilor republicani care declară același lucru despre primul clasat, Donald Trump (35%) este mai mic.
