28-Year-Old Chef Found Dead at San Francisco Mall	28 Yaşındaki Aşçı San Francisco Alışveriş Merkezinde Ölü Bulundu
Junior doctors strike: Calls for fresh industrial action	Asistan doktorlar grevde: Yeni iş yavaşlatma çağrıları
Representatives of junior doctors have called on their union to authorise fresh industrial action in their dispute about a new contract.	Asistan doktorların temsilcileri, yeni bir sözleşme hakkındaki anlaşmazlık ile ilgili olarak sendikalarının iş yavaşlatma izni vermesini istedi.
The Junior Doctors Committee (JDC) of the British Medical Association (BMA) is to ask its full council to back more industrial action from early September.	İngiliz Tabipler Birliği (BMA) Asistan Doktorlar Komitesi (JDC) genel konseye Eylül başından itibaren daha fazla iş yavaşlatma eylemini desteklemesi için çağrıda bulundu.
The JDC says ministers have failed to address concerns about the contract.	JDC, bakanların sözleşme ile ilgili endişeleri gideremediğini ifade etti.
Junior doctors and medical students voted in July to reject a contract deal agreed with the BMA.	Asistan doktorlar ve tıp öğrencileri, BMA ile yapılan sözleşme anlaşmasında ret oyu kullandı.
It was rejected by 58% of its members who voted in the ballot.	Bu, oy veren üyelerin %58'i tarafından reddedildi.
In a letter to members released on Twitter on Thursday night, the JDC's chair Ellen McCourt said the government had remained "persistently silent" on issues which, she said, had resulted in the contract being rejected.	Perşembe gecesi Twitter'da yayınlanan bir yazıda, JDC başkanı Ellen McCourt, hükümetin sözleşmenin reddedilmesine neden olan sorunlar konusunda "ısrarla sessiz" kaldığını belirtti.
She said: "In light of this, the JDC Executive has voted to reject the proposed new contract in full and to call for formal re-negotiations on all of your concerns."	Kendisi şunları söyledi: "Bunun ışığında, JDC Yönetim Kurulu, önerilen yeni sözleşmeyi tamamıyla reddetme yönünde oy kullandı ve endişeler konusunda yeniden resmi müzakere başlatılması çağrısında bulundu."
In response to the government's silence, JDC exec has today made a formal request for a special meeting of BMA Council to authorise a rolling programme of escalated industrial action beginning in early September.	JDC yönetimi, hükümetin sessizliğine yanıt olarak, BMA Kurulunun Eylül ayı başından itibaren iş yavaşlatmayı artırma yönünde bir programa izin vermesi için resmi bir talepte bulundu.
The dispute has led to junior doctors taking part in six strikes this year, including the first all-out stoppages in the history of the NHS.	Anlaşmazlık, asistan doktorların bu sene NHS tarihindeki ilk topyekün kesintiyi de içeren altı greve katılmasına neden oldu.
The BMA's junior doctor leader, Dr Johann Malawana, resigned following the vote to reject the negotiated terms of the contract, which the BMA had recommended.	BMA'daki asistan doktor lideri Dr. Johann Malawana, BMA'nın önerdiği sözleşme şartlarına ret oyu verilmesinin ardından istifa etti.
He had told BMA members the deal was a good one that should be accepted, during meetings ahead of the poll of 54,000 junior doctors and medical students.	54.000 asistan doktor ve tıp öğrencisinin oy vermesi öncesindeki toplantılar sırasında BMA üyelerine bunun kabul edilmesi gereken iyi bir anlaşma olduğunu söylemişti.
Following the vote, Health Secretary Jeremy Hunt said the contract would be imposed on medics in England.	Oylamanın ardından, Sağlık Bakanı Jeremy Hunt, sözleşmenin İngiltere'deki doktorlar için geçerli olacak şekilde uygulamaya konacağını belirtti.
Russia and Turkey: An 'alliance of misfits'?	Rusya ve Türkiye: Bir 'uyumsuzlar ittifakı' mı?
It was a gesture that ended a crisis.	Bu, krizi sonlandıran bir jestti.
The leaders of Russia and Turkey met on Tuesday to shake hands and declare a formal end to an eight-month long war of words and economic sanctions.	Rusya ve Türkiye'nin liderleri, Salı günü el sıkışmak ve kelimelerle ve ekonomik yaptırımlarla sürdürülen sekiz aylık savaşın resmi olarak sonlandırıldığını duyurmak için bir araya geldi.
But, as Vladimir Putin greeted his Turkish counterpart in the gilded hall of a St. Petersburg palace, I got the distinct impression that Ankara wants this reconciliation the most.	Ancak Vladimir Putin St. Petersburg Sarayı'nın gösterişli salonunda Türk mevkidaşını selamlarken, bu uzlaşmayı en fazla isteyen tarafın Ankara olduğu bariz izlenimine kapıldım.
There was the handshake, yes.	El sıkışıldı, evet.
But Mr Putin's smile looked thin and he was hardly oozing warmth even by his own restrained standards.	Ancak Sayın Putin'in gülümsemesi oldukça zayıftı ve kendi kısıtlı standartların karşı dahi herhangi bir sıcaklık yaydığı söylenemezdi.
Recep Tayyip Erdogan by contrast talked repeatedly of his "dear friend" Mr Putin - five times, according to one report.	Aksine, Recep Tayyip Erdoğan defalarca "iyi dostu" Sayın Putin'den bahsetti; bir rapora göre beş defa.
I lost count.	Ben sayısını şaşırdım.
He also pledged that relations with Russia would return not just to their pre-crisis level, but even higher.	Kendisi ayrıca Rusya ile ilişkilerin kriz öncesi seviyeye dönmekle kalmayacağı, çok daha üst seviyelere ulaşacağının sözünü verdi.
The next day one newspaper here described Mr Erdogan as acting as if nothing bad had ever happened.	Ertesi gün, buradaki bir gazetede Sayın Erdoğan'ın hiç kötü bir şey olmamış gibi davrandığı ifade edildi.
To me, his enthusiasm implied the opposite.	Bence kendisinin heyecanı bunun tam tersini gösteriyordu.
But a lingering coolness emanating from Mr Putin showed that Russia's leader has forgotten nothing.	Ancak Sayın Putin'in etrafa verdiği soğuk intiba, Rusya liderinin hiçbir şeyi unutmadığını gösterdi.
In fact, the cause of the crisis was the first thing he mentioned in his opening comments: Turkey's shooting down of a Russian fighter plane on the Syrian border.	Aslında, açılışta yaptığı açıklamada bahsettiği ilk şey de krizin nedeniydi: Türkiye'nin Suriye sınırında Rus savaş uçağını vurarak düşürmesi.
Moscow's reaction at the time was furious.	O zaman Rusya'nın verdiği tepki hiddet doluydu.
Mr Putin lashed out, accusing Ankara of stabbing Moscow in the back.	Sayın Putin, sert bir çıkış yaparak Ankara'yı Moskova'yı sırtından bıçaklamakla suçladı.
The offence was even greater, coming from a supposed friend.	Kırgınlık çok daha büyüktü, karşı tarafın dost olduğu sanılıyordu.
Rebuilding real trust will be hard, perhaps impossible.	Güvenin gerçek anlamda yeniden inşa edilmesi zor olacak, belki de imkansız.
Russian public opinion has also turned since November.	Kasım ayından bu yana Rusya halkının fikri de değişti.
For months, state-controlled media conducted a staggering, all-out offensive against Ankara.	Devlet kontrolündeki medya, aylarca sarsıcı ve saldırgan bir şekilde Ankara'yı hedef aldı.
All of a sudden, it seemed like Turks were to blame for everything.	Aniden, her şeyin suçlusu Türkler oldu.
Most serious were accusations from top officials that Mr Erdogan's own family has profited from an illegal trade in oil from areas of Syria controlled by the so-called Islamic State.	Bunlardan en ciddileri, üst düzey görevlilerin Sayın Erdoğan'ın ailesinin Suriye'deki sözde İslam Devleti'nin kontrolü altındaki alanlarda gerçekleştirilen yasa dışı petrol ticaretinden kâr elde ettiği yönündeki suçlamalardı.
He's denied that emphatically.	Kendisi bunu kesin olarak reddetti.
But in St. Petersburg came the official message that it's time to move on.	Ancak St. Petersburg'dan çıkan resmi mesaj, yola devam etme zamanı geldiği yönündeydi.
After all, this meeting only happened because Mr Putin got the apology he demanded from President Erdogan.	Nihayetinde, bu toplantının gerçekleşmesinin sebebi Sayın Putin'in Cumhurbaşkanı Erdoğan'dan talep ettiği özrü almış olmasıydı.
Russia could claim a victory of sorts.	Rusya bunu bir çeşit zafer olarak görebilir.
For Ankara the benefits of calling a truce are clear.	Ankara için ateşkes çağrısının sağlayacağı faydalar çok net.
First and foremost, Erdogan needs all the friends he can get after he was nearly ousted from power last month in a failed coup.	Öncelikle, Erdoğan'ın geçtiğimiz ay gerçekleşen ve neredeyse devrilmesine neden olacak olan başarısız darbe sonrasında dostlara ihtiyacı var.
Repeat terror attacks on Turkey have clearly shaken him too.	Türkiye'deki yinelenen terör saldırıları da kendisini oldukça etkiledi.
There is also an economic motive.	Ayrıca ekonomik nedenler de etkin.
Russian sanctions have hit hard - particularly the ban on charter flights, which usually carry several million Russian tourists to the Turkish coast each year.	Rusya'nın uyguladığı yaptırımlar sıkı vurdu; özellikle de her yıl Türkiye'nin kıyı bölgelerine birkaç milyon Rus turist taşıyan özel seferlerin yasaklanması.
The number has slumped by almost 90%.	Bu sayı neredeyse %90 oranında düştü.
As for Russia, tour operators and charter companies here will certainly be relieved when flights eventually resume.	Rusya'da da tur operatörleri ve kiralama şirketler de uçuşların devam edecek olması ile kesinlikle rahatladı.
They're banking on a late-season rush to the Mediterranean.	Akdeniz'deki sezon sonu yoğunluğuna bel bağlamış durumdalar.
And even this week, state TV has been predicting cheaper fruit and vegetables once Turkish agricultural imports are permitted again.	Ve bu hafta, devlet televizyonu, Türk tarım ürünleri ithalatlarına yeniden izin verilmesi ile meyve ve sebze fiyatlarında azalma olacağı öngörüsünde bulundu.
"Tourists that way, tomatoes back here," as a report in Vedemosti newspaper phrased it.	Vedemosti gazetesindeki bir haberden alıntı yapacak olursak "Turistler oraya, domatesler buraya".
But the visit also had additional political value for Moscow.	Ancak ziyaretin Moskova için ayrı bir siyasi değeri de mevcuttu.
Ankara is angry with the West for what it considers a weak response to the attempted takeover.	Ankara, darbe girişimine verilen tepkiyi yeterli bulmadığı için Batı'ya kızgın.
Add to that its long-standing grudge at the snail's pace of talks to join the EU and step in Mr Putin - who is keen to capitalise on the chill and chip away at Turkey's ties with the West.	ABD'ye katılma konusundaki görüşmelerin salyangoz hızında ilerlemesi nedeniyle uzun süredir duyduğu kızgınlık da eklendiğinde, Türkiye'nin Batı ile bağlarının kopmasından ve aradaki soğukluktan faydalanmak isteyen Sayın Putin devreye giriyor.
The Russian leader certainly won bonus points with Ankara for calling in support of the elected authorities after the attempted coup.	Rus lider darbe girişimi sonrasında seçilmiş yetkililerin desteklenmesi çağrısı nedeniyle kesinlikle Ankara'dan sempati toplamış görünüyor.
Mind you, that's a given for Moscow which has its own deep-seated fear of regime change.	Unutmamak gerekir ki, kendisi de rejim değişikliği konusunda köklü bir korku taşıyan Moskova için bu kaçınılmaz bir tutumdu.
So the summit at this glitzy, seaside palace allowed Russia and Turkey to present what one analyst described to me as an "alliance of misfits": two countries that feel rejected and mistreated by the West, joining forces.	Deniz kenarındaki bu gösterişli sarayda düzenlenen bu zirve, Rusya ve Türkiye'nin bir analistin bana açıkladığı şekilde bir "uyumsuzlar ittifakını" temsil ediyor: Batı'nın reddettiği ve kötü davrandığı iki ülke güçlerini birleştiriyor.
Still, despite the public display of reconciliation, the two still have major differences.	Yine de sergilenen bu uzlaşı görüntüsüne rağmen, birbirlerinden oldukça farklılar.
The key one is Syria, where Moscow has recently been casting itself as peacemaker but where Russia and Turkey back opposite sides.	Bunlardan en önemlilerinden biri Suriye hakkında: Moskova kendisini arabulucu olarak gösterse de Rusya ve Türkiye farklı tarafları destekliyor.
It could be telling that after almost three hours of initial talks, the two presidents told a press conference that they hadn't even touched on the topic.	Neredeyse üç saat süren ilk görüşmeler sonrasında, iki başkanın basın toplantısında bu konuya değinilmediğini söylemesi de bunu destekliyor.
Turkey's president deliberately avoided answering a question on their differences, while Mr Putin chose to underline them.	Türkiye'nin Cumhurbaşkanı, bu farklar ile ilgili bir soruyu yanıtlamaktan açıkça kaçınırken, Sayın Putin bunların altını çizmeyi seçti.
There is no clear consensus on where they can seek common ground on Syria.	Suriye'de ortak zeminin nasıl belirleneceği konusunda net bir fikir birliği yok.
But after months of open hostility - and given the potential for utter disaster when Nato member Turkey shot down that Russian fighter jet - it is surely better that the two leaders are at least talking again.	Ancak aylardır açıkça sürdürülen husumetten sonra - ve Nato üyesi Türkiye'nin Rus savaş uçağını vurup düşürmesiyle ortaya çıkan mutlak felaket potansiyeli göz önünde bulundurulduğunda - iki liderin en azından konuşmaya başlaması kesinlikle iyi bir gelişme.
Royal Bank of Scotland to disappear for customers outside Scotland	İskoçya Kraliyet Bankası, İskoçya dışındaki müşteriler için yok oluyor
The brand RBS is to be reduced to a back office role, according to the bank's chief executive.	Banka icra kurulu başkanının beyanına göre RBS markası, arka ofis pozisyonuna geçecek.
Royal Bank of Scotland will disappear for customers outside Scotland.	İskoçya Kraliyet Bankası, İskoçya dışındaki müşteriler için yok olacak.
Ross McEwan told BBC Scotland that the RBS brand was associated with the bank's global ambitions.	Ross McEwan, BBC İskoçya'ya RBS markasının bankanın küresel hedefleri ile ilişkili olduğunu ifade etti.
It has retreated from them since it nearly collapsed eight years ago and had to be bailed out.	Sekiz yıl önce neredeyse batma durumuna geldiğinden bunlardan geri çekilmek ve vazgeçmek durumunda kalındı.
During that time, brand strategists have used 'RBS' to protect other consumer finance brands.	Bu süre içerisinde, marka strateji uzmanları diğer tüketici finans markalarını korumak için 'RBS'yi kullandı.
It was backed with millions of pounds in sponsorship of international sport, from Six Nations rugby to Wimbledon champion Andy Murray.	Bu, Altı Ulus ragbi şampiyonasından Wimbledon Andy Murray şampiyonuna kadar birçok sponsorluk için milyonlarca sterlin ile desteklendi.
But now, it has been judged right to let more national brands come to the fore.	Ancak şimdi, daha ulusal markaların öne çıkmasının doğru olacağına karar verildi.
Royal Bank of Scotland will be used with Scottish customers, but will not be initialised.	İskoçya Kraliyet Bankası İskoç müşterileri tarafından kullanılacak ancak yeni başlangıçlar yapılmayacak.
In England and Wales, all RBS references, outside head office and the stock exchange listing, will be changed to NatWest.	İngiltere ve Galler'de merkez ve borsaya kote edilme durumları dışında RBS'ye yapılan tüm atıflar NatWest olarak değiştirilecek.
The Ulster Bank brand is already used for customers in the Republic of Ireland and Northern Ireland.	İrlanda Cumhuriyeti ve Kuzey İrlanda'daki müşteriler için halihazırda Ulster Bank markası kullanılıyor.
There are other, smaller brands for private banking, which will get more prominence - Coutts, Adam & Co, Drummond, and Holt's Military Bank.	Bireysel bankacılık için çok daha baskın bir görev üstlenecek daha küçük markalar da mevcut; Coutts, Adam & Co, Drummond ve Holt's Military Bank.
Mr McEwan was interviewed during a tour of customers and staff in Inverness-shire.	Bay McEwan, Inverness-shire'da müşteriler ve personel için düzenlenen bir turda röportaj verdi.
He told BBC Scotland: "The RBS brand will end up becoming our investor brand and the one that our staff are employed with, because we are now becoming much more a bank of brands."	BBC İskoçya'ya şunları söyledi: "Bundan sonra daha çok markalardan oluşan bir banka olacağımızdan artık RBS markası yatırımcı markamız ve personelimizin istihdam edildiği marka olmayacak."
As the bank itself became a global brand, RBS became the global brand.	Bankanın kendisi küresel bir marka haline geldikçe, RBS küresel marka haline geldi.
I'm now saying we no longer have global aspirations, we have local aspirations.	Artık küresel değil, yerel hedeflerimiz olduğunu söylüyorum.
Each one of those brands will stand for something quite different in their own communities, and our staff will work with customers under those brands.	Bu markalardan her biri, bulunduğu toplulukta biraz farklı bir şekilde öne çıkacak ve personelimiz müşteriler ile bu markaların adı altında çalışacak.
RBS had already stated that it would not to continue its Six Nations sponsorship, and it has been raising the profile of different brands in its sports sponsorship.	RBS, Altı Ulus şampiyonası sponsorluğunu sürdürmeyeceğini ve spor sponsorluğu konusunda farklı markaların profilini yükseltmekte olduğunu açıklamıştı.
"The time is right for us to move to the bank of brands, because underneath (we've been asking) how do we focus on making this a better bank for customers?" said the chief executive.	İcra kurulu başkanı, "Artık markalar bankası anlayışına geçme zamanımız geldi çünkü (kendimize soruyorduk) bunu müşteriler için nasıl daha iyi bir banka yapabiliriz?" dedi.
It would have been very cynical three years ago if we'd said we're going to be a great bank for customers and put those brands out there.	Üç yıl önce müşterilerimiz için harika bir banka olacağımız ve bu markaları sunacağımızı belirtmiş olsak bunu alayvari bulurdum.
But with the work we've been doing, focussing on the customers needs, not our own, I think you're seeing a lot of change.	Ancak yürüttüğümüz çalışmalar ve kendimizin değil, müşterilerin ihtiyaçlarına odaklanmamız ile çok fazla değişiklik göreceğinizi düşünüyorum.
We can bring those brands back up again, so I think the time is right.	Bu markaları yeniden devreye sokabiliriz, bu nedenle bunun doğru zaman olduğunu düşünüyorum.
Frankie Dettori reaches 3,000 winners with victory at Newmarket on Predilection	Frankie Dettori, Predilection ile Newmarket'ta elde ettiği zafer ile 3000. defa kazandı
Dettori sprays champagne after a double at Newmarket takes him to 3,000 wins	Dettori, Newmarket'taki çifte başarısı ile 3000. zaferine ulaştıktan sonra şampanya patlattı
Jockey Frankie Dettori secured his 3,000th British winner at Newmarket on Friday.	Jokey Frankie Dettori, Cuma günü Newmarket'ta İngiltere'deki 3000. zaferini kazandı.
He brought up the landmark with his second winner of the night at his local track - on Predilection, trained by John Gosden.	Yerel pistinde, John Gosden'in eğittiği Predilection ile gecenin ikinci zaferini kazanarak bu kilometre taşına ulaştı.
The 45-year-old Italian is the sixth jockey to reach the landmark in Flat racing.	45 yaşındaki İtalyan, Engelsiz koşuda bu kilometre taşına ulaşan altıncı jokey.
He follows Sir Gordon Richards, Doug Smith, Lester Piggott, Pat Eddery and Willie Carson.	Kendisi Sör Gordon Richards, Doug Smith, Lester Piggott, Pat Eddery ve Willie Carson'ın izlerini takip ediyor.
Three-time champion jockey Dettori, who earlier won on Ghayyar, said: "It's special."	Daha önce Ghayyar'da da zafere ulaşan üç şampiyonluğu bulunan jokey şunları söyledi: "Bu özel bir durum."
I'm very emotional because my family are here as well	Ailem de burada olduğu için çok duygulandım
I'm very pleased for it to have happened at Newmarket because this is where I landed 30 years ago.	Bunun 30 yıl önce bu işe başladığım Newmarket'ta olması beni gerçekten çok mutlu ediyor.
It's not a big meeting, it's not a Royal Ascot - it's a mundane Friday night with 20,000 people.	Bu önemli bir toplantı değil, bir Royal Ascot değil - sadece 20.000 kişi ile sıradan bir Cuma gecesi.
I'm relieved and very humble.	Kendimi hafiflemiş ve rahatlamış hissediyorum.
Dettori soaks up the cheers as he brings in Predilection after victory	Dettori, zafer sonrasında Predilection'ı getirerek tezahüratları kabul etti
Two jockeys have reached the milestone in jump racing - champion jockey Richard Johnson and retired 20-time champion Sir Anthony McCoy, who had more than 4,300 victories in a record-breaking career.	Engelli koşuda bu kilometre taşına ulaşan iki jokey oldu: şampiyon jokey Richard Johnson ve 20 defa şampiyon olmuş ve rekorlarla dolu kariyerinde 4300'ü üzerinde zaferi bulunan emekli jokey Sör Anthony McCoy.
Lester Piggott, nine-time Derby winner, 4,493 career wins	Derby yarışını dokuz defa kazanan Lester Piggott'un kariyerinde 4493 zafer bulunuyor
Frankie is one of the best jockeys of the modern era and it is no surprise he has reached this landmark so few have achieved before him.	Frankie, çağımızın en iyi jokeylerinden biri ve kendisinden önce yalnızca birkaç kişinin ulaştığı bir kilometre taşına ulaşması şaşırtıcı değil.
He is stylish and strong, but it is his tactical nous that sets him apart from others in the weighing room.	Tarz sahibi ve güçlü bir kişi, ancak terazide diğerlerinden ağır basmasını sağlayan unsur sahip olduğu taktiksel zihniyet.
He is a fantastic ambassador for racing, his enthusiasm and charisma have been drawing fans to the sport for years.	Kendisi at yarışını olağanüstü bir şekilde temsil ediyor, bu konudaki heyecanı ve karizması ile insanları senelerdir bu spora çekiyor.
I said to Frankie a few weeks ago at Epsom he'd have ridden 6,000 winners if he wasn't just a weekend and big-race jockey!	Birkaç hafta önce, Epsom'da Frankie'ye sadece hafta sonları ve büyük yarışlarda yarışan bir jokey olmasa 6000. zaferine ulaşmış olabileceğini söyledim.
Seriously though, Frankie's been riding winners in the UK for the best part of 30 years which is great to see.	Ciddi olmak gerekirse, Frankie, Birleşik Krallık'ta yarıştığı 30 yılın büyük bir kısmını zaferlerle geçirdi ki bunu görmek çok güzel.
He's a lively character which is good for British racing but more than that, he's an incredible jockey.	Kendisi oldukça heyecanlı bir karaktere sahip ve bu İngiliz yarışları için çok iyi bir özellik ancak bunun da ötesinde olağanüstü bir jokey.
Frankie Dettori celebrated the milestone with a trademark flying dismount	Frankie Dettori, bu kilometre taşını simge haline gelmiş zıplayarak attan inme hareketi ile kutladı
From flying finishes to flying dismounts, Frankie Dettori has been the poster boy of British Flat racing for two decades.	Zıplayarak bitirdiği yarışlardan, attan zıplayarak inişlerine kadar birçok hareketle Frankie Dettori yirmi yıldır İngiliz engelsiz koşularının simgesi haline geldi.
It has been a rollercoaster ride.	Bu, inişli çıkışlı dolu bir yoldu.
Stacks of big-race winners, including his famous 1996 'Magnificent Seven' at Ascot, but he also survived a plane crash and served a drugs ban.	1996 yılında, Ascot'taki ünlü 'Büyük Yedili' zaferini de içeren birçok büyük yarışı kazanmakla birlikte bir uçak kazasında hayatta kaldı ve ilaç yasağına uymaması nedeniyle yasaklandı.
Three years ago he initially struggled when returning from that six-month suspension, but he showed formidable strength of character to defy the doubters and return to his best.	Üç yıl önce bu altı aylık uzaklaştırma sürecinden geri dönüş sırasında başta zorluklar çekse de kendisinden şüphelenenleri haksız çıkarmak ve en iyi haline dönmek için gereken şekilde güçlü bir karaktere sahip olduğunu gösterdi.
And he may not be done for some time - Dettori has previously said he would like to carry on competing until the age of 50, at least.	Ve bir süre daha devam edebilir; Dettori daha önce en az 50 yaşına kadar yarışmaya devam etmek istediğini ifade etmişti.
Russia's Putin sacks chief of staff Sergei Ivanov	Rusya başkanı Putin, özel kalemi Sergei Ivanov'u görevden aldı
Russian President Vladimir Putin has unexpectedly dismissed his chief of staff Sergei Ivanov.	Rusya Başkanı Vladimir Putin, özel kalemi Sergei Ivanov'u beklenmedik bir şekilde görevden aldı.
Mr Ivanov has been part of Mr Putin's trusted inner circle for many years.	Sayın Ivanov, uzun yıllar boyunca Sayın Putin'in güvendiği yakın çevresinin bir parçasıydı.
The 63-year-old has now been made a special representative for environmental and transport issues.	63 yaşındaki, şimdi çevre ve taşımacılık sorunları için özel temsilci olarak görevlendirildi.
A statement from the Kremlin said that Mr Putin had "decreed to relieve Ivanov of his duties as head of the Russian presidential administration," but gave no reason.	Kremlin'den yapılan bir açıklamada, Sayın Putin'in "Ivanov'un Rusya yönetimi sorumlusu görevine son verme kararı verdiği" ifade edildi ancak herhangi bir neden verilmedi.
Mr Ivanov's deputy since 2012, Anton Vaino, has been appointed as his successor.	Bu pozisyon için Sayın Ivanov'a 2012 yılından bu yana vekillik yapan Anton Vaino görevlendirildi.
Mr Vaino, 44, is a former diplomat.	44 yaşında olan Vaino, eski bir diplomattır.
Born in the Estonian capital Tallinn in 1972, he graduated from the prestigious Moscow State Institute of International Relations (MGIMO) and served in the Tokyo embassy.	1972 yılında Estonya'nın başkenti Tallinn'de doğmuş, tanınmış Moskova Devlet Enstitüsünün Uluslararası İlişkiler (MGIMO) bölümünden mezun olmuş ve Tokyo büyükelçiliğinde görev yapmıştır.
Later he managed presidential protocol and government staff, the Kremlin website says (in Russian).	Daha sonra başkanlık protokolü ve hükümet personelinin idaresiyle ilgilenmiştir; Kremlin web sitesindeki ifadeler bu şekildedir (Rusça).
On being appointed, he told Mr Putin: "Thank you for your trust."	Görevlendirilmesinin ardından Sayın Putin'e şunu söyledi: "Bana güvendiğiniz için teşekkür ederim."
I think the administration's most important task is to support your activity as head of state in terms of drafting laws and control over how your instructions are implemented.	İdarenin en önemli görevinin kanun çıkarma ve talimatların uygulanmasını denetleme açısından devletin başı olarak faaliyetlerinizi desteklemek olduğunu düşünüyorum.
Mr Putin told a Russian TV station on Friday that Mr Ivanov had asked to leave the post, and recommended that Mr Vaino should replace him.	Sayın Putin, Cuma günü Rus televizyon kanalına Sayın Ivanov'dan görevden çekilmesini istediğini ve yerine geçmesi için Sayın Vaino'yu önerdiğini açıkladı.
Do the smiles convince?	Gülümsemeler ikna edici mi?
This is a move that has mystified Moscow.	Bu, Moskova'yı hayrete düşüren bir hamle.
Sergei Ivanov has long been one of Vladimir Putin's closest allies and, like him, served in the Soviet security service, the KGB.	Sergei Ivanov, uzun süredir Vladimir Putin'in en yakın müttefiklerinden biri olarak çalışmaktaydı ve kendisi gibi Sovyet güvenlik kuvvetleri KGB 'ye hizmet vermişti.
As chief of staff he was one of the most powerful men in the country.	Özel kalem olarak ülkedeki en güçlü insanlardan biriydi.
In a meeting with President Putin shown on state television both men claimed that the chief of staff was stepping down at his own request.	Başkan Putin ile yapılan ve devlet televizyonunda yayınlanan bir toplantıda her ikisi de özel kalemin kendi isteğiyle görevden çekildiğini ifade etti.
But despite the smiles for the cameras, few here are convinced - especially now, just before parliamentary elections.	Ancak kameralara verilen gülümseyen pozlara rağmen burada çok az kişi buna ikna olmuş durumda; özellikle de parlamento seçimlerinin yaklaştığı bu dönemde.
So is this the fall-out from some kind of power struggle?	Peki bu bir tür iktidar mücadelesinden kaynaklana bir anlaşmazlık mı?
No-one knows yet.	Henüz bunu kimse bilmiyor.
But the official claim - that a man once touted as a potential president, suddenly wanted to run Russia's environmental policy - has been met with great scepticism.	Ancak başkan olabilecek bir kişinin birden Rusya'nın çevre politikasını yönlendirmek istemesi yönündeki resmi açıklama büyük şüphelerle karşılandı.
