Civil rights group issues travel warning for Missouri	Hnutí za občanská práva vydalo cestovní výstrahu pro Missouri
At first we thought it wasn't ideal, because it wasn't on the high street, but it was thanks to that that we came up with the name Intimity.	Nejdříve nám nepřipadal úplně ideální, protože není na hlavní ulici, ale zase díky tomu seděl ke jménu Intimity.
It's intimate.	Je intimní.
It's in the street near to the high street, so no one can stare at the customers," commented Martin Ráž.	Je v uličce vedle té hlavní, takže nikdo zákazníky neokukuje," pochvaluje si Martin Ráž.
We wanted to be the first.	Chtěli jsme být první.
We wanted to create a shop that would be different, with good, branded products, in an environment where women, who are our main customers, feel comfortable.	Chtěli jsme udělat obchod, který bude jiný, se značkovým hezkým zbožím, v prostředí, kde se ženy, které jsou převážně našimi zákazníky, cítí dobře.
It should be the kind of shop they aren't ashamed to enter.	A ne aby se styděly za to, že do takového obchodu vůbec vstoupily.
When I went to the Intimity boutique half an hour earlier, the streets were empty.	Když jsem do butiku Intimity před půl hodinou vcházel, ulice zela prázdnotou.
I didn't even have the feeling that I was going to a shop with sex toys.	Navíc jsem ani neměl pocit, že bych šel do obchodu s erotickými pomůckami.
As soon as I got to the door I was surprised by the clean elegance of the interior, which I know from fashion boutiques.	Hned u dveří mě překvapila čistá elegance interiéru, kterou znám z butiků s módou.
Even though only women work in the shop, so that women do not hesitate to ask for help, that doesn't mean that men can't step foot in it.	I když je v obchodě pouze ženská obsluha, to aby se ženy neostýchaly požádat o pomoc, neznamená to, že by sem mužská noha nezavítala.
Gentlemen mainly go to buy gifts for their girlfriends.	Povětšinou sem pánové chodí nakupovat dárky pro své přítelkyně.
"Men usually can not guess the right size, and they usually opt for one that is too big," chuckled Martin over the frequent mistake.	"Muži většinou neumí odhadnout správnou velikost a volí spíš větší," usmívá se Martin nad častou chybou.
This cliche refers back to a preconception that women need big sexual aids, but it isn't true.	To jsou takové ty předsudky, ta zažitá klišé, že ženy potřebují nějaké velké pomůcky, a není to pravda.
So although they have good intentions, men usually choose an unnecessarily big vibrator.	Takže muž v dobré víře zvolí třeba zbytečně velký vibrátor.
Likewise, men mostly pick out black underwear, while women usually tend towards pink colours.	Stejně tak muži volí převážně černé prádlo, kdežto žena zpravidla tíhne spíš k růžové barvě.
The absolute bestseller at the moment is the appropriately named Satisfyer.	Absolutním bestsellerem je v současnosti produkt trefně zvaný Satisfyer.
The expression on my face must have made it clear that I didn't which kind it was, as Martin immediately explained how it works.	Z výrazu v mé tváři musí být jasné, že nevím, která bije, protože Martin okamžitě vysvětluje, jak funguje.
It is a kind of contactless clitoris stimulator.	To je takový bezdotykový stimulátor klitorisu.
I feel the adolescent need to chuckle with admiration for the serious tone with which my comment is handled.	Pere se ve mně adolescentní potřeba uchechtnout se s obdivem nad tím, s jakým vážným tónem je mi výklad podáván.
As if it didn't phase him at all.	Jako by se nechumelilo.
At it really doesn't.	A ono se vlastně nechumelí.
It is affordable and has perfect reviews from its users.	Je za dobrou cenu a má perfektní uživatelské reference.
We couldn't believe it was so well received.	Nevěřili jsme, že bude tak dobře přijímaný.
It's like the most recent innovative revolution.	Jde o jakousi poslední revoluční novinku.
The first revolution saw vibrators in the shape of a seahorse.	První revoluci způsobil vibrátor ve tvaru mořského koníka.
It paid attention to the fact that women were starting to be interested in the design of these kinds of products.	Postaral se o to, že se ženy začaly více zajímat o design takovýchto výrobků.
The second was the We-Vibe vibrator for couples.	Druhý pak byl vibrátor pro páry We-Vibe.
It completely shattered the taboo that had been persisting among some men who saw erotic aids as competition.	Kompletně zbořil tabu, které u některých mužů může přetrvávat, a to, že v erotických pomůckách vidí konkurenci.
"They make various kinds," he continued.	"Dělají se různé varianty," pokračuje.
With one motor, with two motors, and with remote control.	S jedním motorem, se dvěma motory, s dálkovým ovládáním.
That's the most popular category.	To je oblíbená kategorie.
While making love together, both men and women can have the control in their hand and alter the intensity of the vibrations.	Při milostném spojení žena může mít v ruce ovládač a určit si intenzitu vibrací.
On the other hand, the category of penetrative vibrators was a complete washout,	Naopak jistým propadákem je kategorie přikládacích vibrátorů.
at least for us.	Alespoň tedy u nás.
Czech women seem to prefer multi-purpose aids and buy classic vibrators, although they are only used externally.	České ženy, zdá se, upřednostňují víceúčelové pomůcky a kupují si klasické vibrátory, přestože ho pak třeba používají pouze externě.
It is very popular in Western Europe, especially among younger customers.	Přitom v západní Evropě, hlavně u mladších zákaznic, je hodně populární.
And what about men?	A co muži?
It's hard to say, but it seems like this kind of concept would also work exclusively for men.	Těžko říct, zda by podobný koncept fungoval výlučně pro muže.
It might have to be conceived in a slightly different way, however.	Muselo by se to asi pojmout trošku jinak.
The question is what to offer men," mulled Martin.	Otázkou je, co mužům nabízet," uvažuje Martin.
"We have aids for them too, but only to a limited extent." Masturbators are the most sold, in our case those produced by Tenga.	"I my pro ně máme pomůcky, ale v omezené míře." Nejvíce se prodává především masturbátor, v tomto případě od výrobce Tenga.
It doesn't look like an anatomical imitation of a vagina but "more like a shower gel or an egg, or some kind of futuristic object.	Nevypadá totiž jako anatomická napodobenina vaginy, ale "spíš jako sprchový gel nebo jako vajíčko či futuristický objekt.
There is a lot of focus on functionality and user experience.	Hodně se soustředí na funkčnost a na prožitky při používání.
It's completely different in Japan, however.	V Japonsku je to přitom úplně jinak.
It really surprised me.	Vyvolává to ve mně údiv.
I thought the Japanese women were very picky about sex toys.	Měl jsem za to, že Japonky si na erotické pomůcky hodně potrpí, namítám.
"That's the Internet reality," he explained to me.	"To je ta internetová realita," je mi vysvětleno.
Banal truth is quite different.	Ta všední je úplně jiná.
Here in Europe, erotic aids are generally associated with being used by women.	Tady v Evropě jsou erotické pomůcky spíš spojené s tím, že je používají ženy.
In Japan, they're absolutely normal for men, but they're taboo for women. Out of interest, of the products by the Japanese brand Tenga worldwide, which can be found in the Intimity boutique, about half is sold in Japan.	V Japonsku jsou naprosto normální pro muže, a naopak jsou tabu pro ženy." Jen pro zajímavost - to, co japonská značka Tenga, jež je v butiku Intimity zastoupená, prodá celosvětově, tvoří stále zhruba polovinu toho, co se prodá jen v Japonsku.
In our waters	V našich vodách
Czech men and women aren't at all prudish.	Češky a Češi nejsou nijak pruderní.
On the contrary, we are a very openminded country.	Naopak, jsme vcelku vstřícný národ.
There's definitely a difference from countries such as Catholic Poland or Italy.	Rozhodně na rozdíl od zemí, jako je katolické Polsko anebo Itálie.
A typical client of the store is between 35 and 50 years and "has some experience with both sex life and using toys.	Typická klientka obchodu se pohybuje mezi 35 a 50 lety a "už má určitou zkušenost jednak se sexuálním životem, jednak s nějakými pomůckami.
They come for something nice and high quality, either for a fulfilling life with partner or just for themselves. To ensure that these customers keep coming back, Martin Ráž and his business partner Zdeňek Šebelka take care to check every product to make sure it's actually functional.	Přijde si pro něco hezkého, kvalitnějšího, čím by si doplnila partnerský život, nebo sama pro sebe." O to, aby se vrátila, se Martin Ráž se svým obchodním partnerem Zdeňkem Šebelkou starají tak, že se u každého produktu přesvědčují, zda je dokonale funkční.
We don't want to get involved in any specialism, such as bondage or latex, because we don't have a place for that, it doesn't exactly fit.	Také se nechceme pouštět do specialit typu bondáže a latexu, protože na to jednak nemáme prostor, jednak se to sem vyloženě nehodí.
These things might dissuade the people we're trying to attract.	Takové věci by mohly odrazovat ty, na které se snažíme cílit.
These are people were always too shy to go to a sex shop because they worried that they would find something like that staring them in the face.	Což jsou lidi, kteří vždy měli ostych do sex shopu jít, protože se báli, že na ně něco takového vykoukne.
The variety of products displayed on the shelves is really appealing.	Spousta výrobků vystavených na poličkách je skutečně líbivá.
It's also achieved through the selection of appropriate, renowned brands.	Je to dané také výběrem zastoupených renomovaných značek.
Some of them have even won awards, including the Red Dot Design Award.	Některé z nich dokonce získaly designové ceny, a to včetně Red Dot Design Award.
The very first to win a prize was the aforementioned sea horse, "and that triggered change across the industry.	Vůbec první oceněný byl zmíněný mořský koník "a to spustilo změnu v celém odvětví.
Manufacturers stopped using cheap materials, and instead began working a healthy approach. They started producing different designs, in various colours...	Začalo se upouštět od levných materiálů a naopak pracovat se zdravotně nezávadnými, začaly se produkovat jiné designy, různé barvy...
It's enjoyable to know that a Czech woman was behind the design, specifically the popular designer Anna Marešová.	Příjemné je, že za designem některých stojí Češka, a sice populární designérka Anna Marešová.
I have to say that I was pleasantly surprised how many people buy the designer Whoop.de.doo products by Anna Marešová from us, even though they are relatively expensive.	Musím říct, že mě docela mile překvapilo, kolik lidí si u nás ty designové věci Whoop.de.doo od Anny Marešové kupuje, přestože jsou relativně dražší.
There are customers who go directly to the Venus Balls by Anna Marešová.	Jsou zákazníci, kteří si chodí přímo pro Venušiny kuličky od Anny Marešové.
She did a really great job by presenting exactly what we are trying to present in the Czech Republic and abroad - that erotic aids can be made differently and nicely, with a story.	Odvedla opravdu obrovský kus práce tím, že v rámci České republiky i v zahraničí odprezentovala přesně to, co se snažíme prezentovat my - že se erotické pomůcky dají dělat jinak, hezky, s příběhem.
Anna's story started as a school project.	Annin příběh začal jako školní práce.
Now it is a finished product that is produced in our country.	Nyní jde o hotový produkt, který je navíc vyráběný u nás.
I wanted to have control over the production process and I also wanted to know with what materials and how Whoop.de.doo products are made.	Chtěla jsem mít proces výroby pod kontrolou a také jsem chtěla vědět, z jakých materiálů a jak se Whoop.de.doo produkty vyrábí.
Because it is not large-scale but rather small series, which is certainly more expensive than a big series.	Protože se nejedná o velkovýrobu, ale malou sérii, je to určitě nákladnější než velké série.
Maybe I'm going against the current a bit, but it seems important to me to keep the development in the Czech Republic.	Možná jdu trochu proti proudu, ale připadá mi důležité udržet vývoj u nás v České republice.
It may well be that in a few years we will no longer be able to produce anything." This is how Anna described the situation later, agreeing with Martin that our society is becoming more open.	Mohlo by se klidně stát, že za pár let už nebudeme umět nic vyrábět," popisuje mi později situaci Anna, která s Martinem souhlasí v tom, že je naše společnost čím dál otevřenější.
She isn't faced with a positive or negative attitude.	S negativním či odmítavým postojem se nesetkává.
At most, people are embarrassed.	Maximálně jsou prý lidé rozpačití.
"But then they will start to smile." At present, Anna Marešová range includes a vibrator that can come with a personal message, and she is also planning her own lubrication gel for next year.	"Ale i ti se pak začnou usmívat." Aktuálně má Anna Marešová v nabídce vibrátor, na který si můžete nechat vyhotovit osobní vzkaz, a letos plánuje také vlastní lubrikační gel.
Next year, she plans to offer vibrating eggs and other new items.	V roce dalším by měla přibýt vibrační vajíčka a další novinky.
The border of healthy sex	Hranice zdravého sexu
I'm interested in where the border lies of what's acceptable.	Zajímá mě, kde leží hranice toho, co je v pořádku.
Is there something that Martin Ráž wouldn't sell?	Je něco, co by už Martin Ráž neprodával?
That's very hard to define.	Je to strašně těžké definovat.
What seems normal to one person may seem totally abnormal to someone else, so we define ourselves by our assortment of branded products.	Co jednomu přijde normální, jinému se může zdát naprosto nenormální, takže se spíš vymezujeme sortimentem značkových výrobců.
None of them are particularly extreme.	Žádný z nich se nepouští do nějakých extrémností.
Before we say goodbye, I have one last question: What was the craziest request they received?	Ještě než se rozloučíme, mám poslední dotaz: Jaká byla nejbláznivější poptávka, kterou dostali?
We just received an email, in which a woman requested a masturbation aid for her boyfriend, who was 28 cm long by nature.	Zrovna teď v týdnu přišel e-mail, ve kterém nějaká paní poptávala masturbační pomůcku pro svého přítele s přirozením dlouhým dvacet osm centimetrů.
We had to reply that we don't have anything appropriate, unfortunately.	Tak té jsme museli napsat, že nic takového bohužel nemáme.
But the question remains if someone was making fun of us," said Martin, casting me a suspicious look.	Ještě je otázka, jestli si z nás někdo nedělal srandu," měří si mě Martin podezřívavým pohledem.
It happens from time to time...	I to se čas od času stává...
A blow for Karel Gott.	Rána pro Karla Gotta.
After two cases of cancer, now Alzheimer's!	Po dvou rakovinách Alzheimer!
His friend Karel Štědrý is fighting the serious illness.	Jeho kamarád Karel Štědrý bojuje s vážnou nemocí.
Karel Gott's best friend is fighting against the disease that robs people of all their memory.	Nejlepší kamarád Karla Gotta bojuje s nemocí, která ukradne lidem všechny vzpomínky.
"Yes, unfortunately it's true," the singer himself told Blesk, confirming the sad information.	"Ano, je to bohužel pravda," potvrdil smutnou informaci Blesku sám zpěvák.
I know about my illness, and I can handle it all given the circumstances.	O své nemoci vím a zatím ji vzhledem k okolnostem celkem zvládám.
"I'm taking medication to slow down the side effects of the disease," he said, thanking his loved ones for their support.	"Beru léky, které mají průvodní jevy nemoci zpomalit," dodal s tím, že děkuje blízkým za podporu.
The whole branch of the family has come together to make life easier for Karel.	Celá rozvětvená rodina se semkla, aby Karlovi usnadnila život.
His wife Eva tries to be at home as much as possible, while Zuzana and Teresa, his daughters from his first marriage go to his house on Bílá Hora, and his son Karl, nicknamed Karlas, takes care of him.	Manželka Eva se snaží být doma, co nejvíc to jde, za tátou do domu na Bílé Hoře dojíždí i dcery z prvního manželství Zuzana a Tereza, stará se syn Karel řečený Karlas.
Štědrý fought cancer twice and shared his experience with Slavík to support him in his demanding treatment.	Štědrý dvakrát bojoval s rakovinou a své zkušenosti předával i Slavíkovi, aby ho při jeho náročné léčbě podpořil.
He has completed 60 rounds of chemotherapy.	Má za sebou šedesát chemoterapií.
Afterwards, he was able to go back to working on the tennis court and the ski slopes.	Dokázal se po nich vrátit k práci i na tenisový kurt a na lyžařské sjezdovky.
"An astrologer predicted that I will have up to 90," Karel told Blesk.	"Od astrologa mám předpovězeno, že tu budu do devadesáti," řekl Karel Blesku.
He's a fighter.	Je bojovník.
He longs to keep singing.	Pořád touží ještě zpívat.
"I keep repeating song lyrics so I won't forget them," Karel admitted.	"Opakuju si stále slova písní, abych je nezapomněl," přiznal Karel.
The actress Květa Fialová is currently struggling against the same disease in a home.	Se stejnou nemocí bojuje nyní už v ústavu i herečka Květa Fialová.
Do you have patients with Alzheimer's in your family?	Máte v rodině pacienta s Alzheimerem?
Find out how to act towards them.	Podívejte se, jak se k němu chovat.
The Chilean parliament ends the ban on abortions as the Constitutional Court passes a law.	Chilský parlament zrušil zákaz interrupcí, zákon posoudí ÚS.
Until now, there has been a total ban on aborting pregnancies in Chile, even for medical reasons.	V Chile dosud platí absolutní zákaz umělého přerušení těhotenství, nesmí být tedy provedeno ani ze zdravotních důvodů.
"I am sorry that the lawmakers filed a complaint with the Constitutional Court, so that now there will be ten people deciding on what we have been arguing about in parliament for more than two years," complained Socialist Senator Isabel Allende.	"Mrzí mě, že zákonodárci podali stížnost k Ústavnímu soudu a že teď bude deset lidí rozhodovat o tom, na čem jsme se dohadovali v parlamentu více než dva roky," postěžovala si socialistická senátorka Isabel Allendeová.
The Constitutional Court in Chile has ten members, and at the end of August it should get a new president, who is close to the opposition according to the AFP.	Ústavní soud v Chile má deset členů a koncem srpna by měl dostat nového předsedu, který je podle AFP blízký opozici.
The law abolishing the absolute ban on abortion was initiated by the current President Michelle Bachelet, and was approved by the Senate on 19 July.	Zákon rušící absolutní zákaz interrupcí, iniciovaný současnou prezidentkou Michelle Bacheletovou, schválil Senát 19. července.
The right-wing opposition then announced that it would appeal the law would at court, on the grounds that it violated the unborn child's right to live.	Pravicová opozice poté oznámila, že zákon napadne u soudu, protože podle ní porušuje právo nenarozeného dítěte na život.
Members of parliament postponed the vote last month while the Joint Parliamentary Committee carried out an analysis.	Poslanci hlasování o návrhu zákona minulý měsíc odložili, dokud ho nezanalyzuje smíšená parlamentní komise.
MPs approved the draft on Wednesday and the Senate convened after them.	Ve středu poslanci návrh schválili a po nich tak znovu učinil Senát.
According to the new legislation, pregnancies can be ended in three cases: if the woman's life will be endangered, if the foetus has no hope of survival or if the pregnancy is the result of rape.	Podle nové legislativní úpravy by mělo přestat být trestné umělé přerušení těhotenství ve třech případech: pokud bude ohrožen život ženy, jestliže plod nebude mít naději na přežití, anebo pokud těhotenství vzniklo ze znásilnění.
According to the Spanish paper El País, similar exceptions existed in Chile since 1931, which was before women were given the right to vote in 1949.	Podobné výjimky existovaly podle španělského listu El País v Chile už od roku 1931, tedy ještě předtím, než tam ženy dostaly v roce 1949 volební právo.
The total ban on abortions was introduced in 1989 by right-wing dictator Augusto Pinochet, just months before he left the presidential office.	Absolutní zákaz interrupcí v roce 1989 zavedl pravicový diktátor Augusto Pinochet, jen několik měsíců předtím, než opustil úřad prezidenta.
Chile is one of the few countries in the world to enforce an absolute ban on abortion.	Chile je jednou z mála zemí světa, kde platí absolutní zákaz interrupcí.
The others are Nicaragua, the Dominican Republic, El Salvador, Haiti, Malta and Honduras.	Dalšími jsou Nikaragua, Dominikánská republika, Salvador, Haiti, Malta a Honduras.
In El Salvador, for example, about 20 women are currently behind bars, serving prison sentences of up to 30 years for the termination of their pregnancies.	Například v Salvadoru je nyní za mřížemi asi 20 žen, které si za přerušení těhotenství odpykávají až třicetileté tresty vězení.
According to human rights defenders, many cases declared murder by the court are actually miscarriage.	V mnoha případech šlo přitom podle ochránců lidských práv o spontánní potrat, který soud označil za vraždu.
Is nothing sacred?	Je vůbec ještě něco posvátné?
