This is perfectly illustrated by the UKIP numbties banning people with HIV.	Les demeurés de UKIP qui refusent ceux qui vivent avec le VIH sont un exemple parfait.
The people of the Uk , and France, and Belgium and ultimately the rest of the world can thank god, that for those five years, just those five years, Churchill was at the helm, and no other.	Les habitants du Royaume-Uni, et de la France, et de la Belgique et, en fin de compte, le monde entier, peuvent remercier dieu d'avoir eu pendant ces cinq années, juste ces cinq années, Churchill à la barre et nul autre.
The greatness of Churchill is irrelevant to this debate.	La grandeur de Churchill n'a rien à voir avec cette discussion.
Let his descendants sell the paintings on the open market to raise the money for IHT, they might even make a profit.	Que ses descendants vendent les peintures sur le marché libre pour réunir l'argent des frais de succession, ils pourraient même faire un bénéfice.
If the public want any of them on display in a museum, they can raise the money and buy them.	Si le public veut pouvoir en admirer un dans un musée, qu'ils réunissent l'argent pour l'acheter.
It really is that simple.	C'est aussi simple que ça.
But we could use the tax money.	Mais nous pourrions utiliser l'argent des impôts.
No denying that "cometh the day" Churchill's personality was a positive benefit to his country in WW11.	Nul ne peut nier que, quand ce fut « le moment de vérité », la personnalité de Churchill fut un avantage positif pour son pays pendant la Seconde Guerre mondiale.
A relaunch of the internal market by public works will only favor large companies, which will increase their dividends by avoiding hiring, the infrastructure sites by definition are not very renewable.	Une relance du marché intérieur par des travaux publics ne favorisera que les grandes sociétés, lesquelles augmenterons leurs dividendes en évitant d'embaucher, les chantiers d'infrastructure étant par définition peu renouvelable.
As for the social reforms advocated by the minister, they reflect the true French difficulty, distrust of dialogue.	Quant aux réformes sociales préconisées par le ministre, elles reflètent bien le véritable mal francai:s la méfiance envers le dialogue
Return to the first values.	Retour aux valeurs princeps.
An unemployment insurance reform is not contradictory.	Une réforme de l'assurance chômage n'est pas contradictoire.
The weakest among us should not be in need!	Que le plus faible d'entre nous ne soit pas dans le besoin!
We either come to their assistance in solidarity, or they are ENTITLED, in exchange for the services that they provide or provided, to a minimum of resources.	Soit solidairement nous venons à son aide, soit, il a DROIT en échange des services qu'il rend ou a rendu à un minimum de ressources.
The SM40H that I prefer to the minimum wage corresponds to this vision.	Le SM40H que je préfère au smic correspond à cette vision.
There is also the lessor who lives off the revenue from his properties.	Il y a aussi le bailleur qui vit des revenus de ses propriétés.
There is room to differentiate between someone who invests for a return when they retire and someone who lives off their income.	Il y a lieu de différencier celui qui investit pour un retour au moment de sa retraite et celui qui vit de ses rentes.
A property to rent, or even two for a couple, above is a vice	Un bien à louer voire deux pour un couple au dessus, c'est vice
The little Finance genius is extremely lacking in imagination.	Le petit génie de la Finance manque singulièrement d'imagination.
The new deal was a policy for major projects, but at a time with a lack of major infrastructure.	Le new deal fut une politique de grands travaux, mais à une époque de carence en grandes infrastructures.
Today, in Europe and in France, this is not the case.	Aujourd'hui, en Europe et en France, ce n'est pas le cas.
The developed countries are over-equipped.	Les pays développés sont suréquipés.
The need for infrastructure is marginal, therefore in no way would a new deal be a solution.	Le besoin d'infrastructures est marginal donc en rien un new deal pourrait être une solution.
Above all at a time when the question of decline is emerging in response to a recession which is only a wild decline, therefore brutal	Surtout à une époque où la question de la décroissance émerge en réponse à une récession qui n'est qu'une décroissance sauvage donc brutale
You would have been right 30 years ago: greater need (or possibilities) for dams, coal mines, motorways...	Vous auriez eu raison il y a 30 ans: plus besoin (ou de possibilités) de barrages, mines de charbon, autoroutes...
But if we want to make the future climate-energy shock less harsh, then the need for investment is glaring: insulation, renovation of the railway network, urban transport, energy transport and storage, etc.	Mais si l'on veut rendre moins rude le futur choc climato-énergétique, alors, le besoin de d'investissements est criant: isolation, rénovation du réseau ferroviaire, transports urbains, transport et stockage de l'énergie etc...
A tax system which favors high incomes and people of independent means.	Une fiscalité qui favorise les hauts revenus et les rentiers.
Who is in power?	Qui est au pouvoir ?
Obsessed with smartphones.	Obsédé par les smartphones.
Charles Arthur is such a scamp.	Charles Arthur est vraiment un galopin.
iPhone 6 and budget rivals hit Samsung profits	Les bénéfices de Samsung sont mis à mal par l'iPhone 6 et ses concurrents de même gamme
Apple’s introduction of the larger-screened iPhone 6 and 6 Plus in mid-September may have lured some would-be Galaxy buyers away	L'introduction mi-septembre par Apple™ d'écrans plus grand pour l'iPhone 6 et 6 Plus a peut-être séduit des acheteurs qui sinon auraient acheté un Galaxy
I tested all those phones and decided on the LG G3.	J'ai testé tous ces téléphones et me suis décidé pour le LG G3.
So Samsung lost me as a customer, but not to Apple.	Donc Samsung m'a perdu en tant que client, mais pas au profit d'Apple.
I think it is vital that we have alternatives.	Je crois qu'il est indispensable que nous ayons une alternative.
When Microsoft instituted this philosophy, we experienced a decade of stagnation that has finally been broken by Google, Apple and the opensource community.	Lorsque Microsoft a mis en place cette philosophie, nous avons connu une décennie de stagnation qui a enfin été rompue par Google, Apple et la communauté open source.
We need several thriving platforms, to spur competition and development.	Nous devons avoir plusieurs plates-formes dynamiques, pour stimuler la concurrence et le développement.
We also have completely different requirements and these cannot be satisfied by any one manufacturer, because they are not compatible.	En plus nous avons tous des besoins différents et ils ne peuvent être satisfaits par un seul fabricant, parce qu'ils ne sont pas compatibles.
For myself, I tend to buy Apple, because I like the underlying philosophy and appreciate design.	Pour moi, j'ai tendance à acheter Apple, parce que j'aime leur philosophie sous-jacente et j'apprécie le design.
Some people are completely unaffected by design, they value features, functionality and price.	Certaines personnes n'attachent aucune valeur au design, pour eux les options, la fonctionnalité et le prix priment.
There is nothing wrong with that.	Il n'y a rien de mal à cela.
Let's get away from the mentality of seeking "one best platform".	Arrêtons de chercher « une meilleure plate-forme ».
Is there a "one best car manufacturer", not really, they are different, yet similar.	Est-ce qu'il y a « un meilleur constructeur automobile », pas vraiment, ils sont différents, mais semblables.
I would like to see a thriving mobile industry, with radically different approaches for different people and markets.	Je voudrais voir une industrie du portable florissante, avec des approches radicalement différentes pour des gens et des marchés différents.
This is healthy and needs to be encouraged.	C'est plus sain et doit être encouragée.
It is in our collective interest to do so.	Voilà qui est de notre intérêt à tous.
I am happy that you found exactly what you where looking for and that it is not an Apple product, even though I myself made a different choice.	Je suis heureux que vous ayez trouvé exactement ce que vous cherchiez et que ce ne soit pas un produit Apple, même si moi j'ai fait un choix différent.
Most people I know have iPhones.	La plupart des gens que je connais ont des iPhones.
Could our friends from the UMP who, according to one of them, combat ideas and not men (on the contrary, of course the Parisian bohos) tell us which author's/s' ideas on gender they are combating and specify exactly which works that they are intending to combat.	Nos amis umpfrontistes qui selon l'un d'eux combattent les idées et non pas les hommes ( au contraire, bien sur des bobos parisiens ) pourraient ils nous dire de quel(le)s auteur(e)s ils combattent les idées sur le genre et nous indiquer les ouvrages qu'ils entendent justement combattre.
Or do they just attack gender as described in Le Figaro, Minute or Valeurs Actuelles?	Ou s'attaquent ils juste au genre tel que décrit dans Le Figaro, Minute ou Valeurs Actuelles ?
Are their sources Judith Butler or Eric Zemmour?	Leurs sources c'est Judith Butler ou Eric Zemmour ?
Well, Jean, I like you a lot, and you are someone who is intelligent and cultured.	Bon, Jean, je vous aime bien, et vous êtes quelqu'un d'intelligent et de cultivé.
I said that about Judith in the vein of Furusato evoking Holofernes, a parallel which did not occur to me (I do not have her sharpness of mind).	J'ai dit ça sur Judith dans la veine de Furusato évoquant Holopherne, rapprochement qui ne m'était pas venu (je n'ai pas sa vivacité d'esprit).
Otherwise, all things considered, as you refer to it, this subject does not interest me, and, sincerely, I cannot see where the problem is: I would hope that you and your friends could get me out of my retardation, as I am slow but I understand well...	Sinon, dans le "fond", puisque vous y renvoyez, ce sujet ne m'intéresse pas, et sincèrement je ne vois pas où est le problème : j'espérais que vous et vos amies pourriez me sortir de mon arriération, car je suis lent mais je comprends bien...
@ Jean: recognize that, culturally, sending Judith back to Holofernes, that does it.	@ Jean : reconnaissez que , culturellement , renvoyer Judith à Holopherne , ça le fait.
Who is scared asks le Monde?	Qui a peur se demande le Monde ?
But what do those who are scared fear?	Mais de quoi on peur ceux qui ont peur ?
Furasato and @ give us some answers.	Furasato et @ nous donnent des éléments de réponse.
The first by referring to Judith from the Bible, the second by describing Judith Butler as a very symbolic throat slicer.	Le premier en invoquant la Judith de la Bible , le second en qualifiant Judith Butler de trancheuse très symbolique de gorge.
We can see how these studies affect the most intimate parts of them.	On voit combien ces études touchent au plus intime chez eux.
We are clearly no longer in the debate of ideas	Nous ne sommes évidement plus dans le débat d'idée.
This is something else, much deeper.	C'est autre chose, bien plus profond.
@ Jean, have you read that le Monde published an article on the necessity of theology?	@ Avez-vous lu ,Jean ,que le Monde a publié un article sur la nécessité de la théologie ?
@: As it was about a debate of ideas, I thought it was appropriate to go to the sources.	@ : S'agissant d'un débat d'idée je pensais qu'il convenait d'aller aux sources.
Intending to combat ideas from the only report that their critics make of it (Cardinal Ratzinger, inventor of the Gender Theory, or X Lacroix, theologian) does not seem to me to be very rigorous.	Prétendre combattre des idées à partir du seul exposé qu'en font leurs détracteurs ( Cardinal Ratzinger, inventeur de la Théorie du Genre ou X Lacroix , théologien ) ne me semble pas très rigoureux.
But anyway, as I was explaining to our friend from the UMP, that is the difference between having an enlightened opinion and a simple opinion.	Mais bon, comme je l'expliquais à notre ami umpfrontiste c'est toute la différence entre avoir un avis éclairé et une simple opinion.
I am not sure, however, that he has understood the nuance.	Je ne suis pas sur d'ailleurs qu'il est compris la nuance.
I have not read Judith, the very symbolic throat slicer, I was pleased with the "Second sex" (it is more from my time), which I believe is the source of "the source", according to Lo's wishes.	Je n'ai pas lu Judith, la trancheuse très symbolique de gorge, je me suis contenté du "Deuxième sexe" (c'était plus de mon temps) qui est je crois la source de "la source" selon les voeux de Lo.
As I was viewing the eclipse from Melbourne, I saw flashes of red colour as the Moon briefly revealed itself when the clouds parted.	Alors que je regardais l'éclipse depuis Melbourne, j'ai vu des lumières rouges lorsque la lune s'est brièvement montrée quand les nuages se sont ouverts.
This sudden appearance of the red Moon had its charm, and somewhat compensated for the disappointment of clouds completely blocking the view at times.	Cette soudaine apparition de la lune rouge avait son charme et a compensé un peu la déception d'avoir parfois la vue bloquée par les nuages.
It was fab here in FNQ.	C'était fabuleux ici à FNQ.
Yes, last night's cloud was very much hugging the coast of Victoria and NSW, while much of the rest of Australia was clear.	Oui, le nuage de la nuit dernière enserrait vraiment la côte de Victoria et de NSW, alors que la majeure partie du reste de l'Australie avait un temps clair.
News Flash Blood Moon.	Flash spécial lune de sang.
Tony Abbott / Joe Hockey blames Labor.	Tony Abbott / Joe Hockey rendent le Labor responsable.
But if Labor agrees to our unfair budget we will restore it to it's correct colour as soon as possible.	Mais si le Labour accepte notre budget injuste, nous lui rendrons sa vraie couleur dès que possible.
Obsessed, much?	Ça vous obsède, non ?
I was in Melbourne so naturally I saw nothing but clouds.	J'étais à Melbourne alors naturellement je n'ai vu que des nuages.
Melbourne also managed to cloud over for the entire week of the Perseid meteor shower and for practically every major astronomical phenomenon in the last few years.	Melbourne a également réussi à se couvrir pendant toute la semaine de la pluie de météores des Perséides et pour pratiquement tous les phénomènes astronomiques importants de ces dernières années.
I'm starting to think there's a gremlin whose sole job is to stop Melbourne residents from seeing anything of the sky.	Je commence à penser qu'il y a un mauvais génie dont le seul but est d'empêcher les habitants de Melbourne de voir quoi que ce soit du ciel.
Melbourne definitely isn't the best site for an observatory, although things get much better on the other side of The Dividing Range.	Melbourne n'est vraiment pas le meilleur endroit pour un observatoire, même si les choses s'améliorent grandement de l'autre côté de la Cordillère.
There were stretches of 10-20 mins where I couldn't see the eclipse due to clouds over suburban Melbourne.	Il y avait des périodes de 10 à 20 minutes où je ne pouvais pas voir l'éclipse à cause des nuages au-dessus de la banlieue de Melbourne.
Im putting a TAX on this eclipse.	Je vais mettre une TAXE sur cette éclipse.
ANYONE looking at this eclipse will be TAXED.	QUICONQUE regarde cette éclipse devrait payer une TAXE.
I bet Abbott is your first waking thought, and your last each night.	Je parie que votre première pensée de la journée est pour Abbott, tout comme la dernière avant de vous coucher.
What / whom will you obsess with when he's (inevitably) gone?	Qui ou quoi vous obsédera quand il finira (forcément) par disparaitre ?
You seem to have spent quite some time going through threads, searching for posts in which people are negative about the Abbott government and then accusing THEM of being obsessed.	Il semble que vous passiez beaucoup de temps à lire les discussions en cherchant des messages dans lesquels les gens critiquent sur le gouvernement Abbott pour ensuite les accuser EUX d'être obsédés.
Great Photo of the Moon over The Sydney Harbour Bridge.	Superbe photo de la lune au-dessus du Harbour Bridge de Sydney.
It looks like Mars is heading for a Collision with Earth!	On dirait que Mars va entrer en collision avec la Terre !
Nothing about share and property speculation.	Rien sur la spéculation boursière et immobilière.
Nothing about inequalities between income from work and from capital.	Rien sur les inégalités entre revenus du travail et du capital.
Nothing about tax fraud.	Rien sur la fraude fiscale.
Ultra liberalism is in the processing of killing Europe.	L'ultra libéralisme est en train de tuer l'Europe.
Nothing about the gardens of Babylon...	Rien sur les jardins de Babylone...
The article says too much or not enough about it.	L'article en dit trop ou pas assez.
The detail and the arguments of these recommendations are not given.	Le détail et les arguments de ces préconisations ne sont pas donnés.
No hyperlink to the original documents so that one can form an opinion.	Pas de lien hypertexte vers les documents d'origine pour que l'on puisse se faire une opinion.
Go and look today, Tuesday 15 October, at the results of the miracle recipes: in Spain, exports are at their lowest for five years.	Allez voir aujourd’hui mardi 15 octobre les résultats des recettes miracles : en Espagne, les exportations sont au plus bas depuis cinq ans.
In Greece the stock market is collapsing.	En Grèce la bourse s'effondre.
Nevertheless, it seems that these are the examples to follow.	Pourtant ce sont parait il les exemples à suivre.
The notary reform would generate a claim for compensation in the region of 8 billion euros.	La réforme des notaires génèrerait une demande d'indemnisation de l'ordre de 8 milliards d'euros.
The minister of the economy claims that these claims for compensation are not well-founded.	Le ministère de l'économie nous affirme que ces demandes d'indemnisation ne sont pas fondés.
What if there is an error by the ministry of the economy?	Quid en cas d'erreur du ministère de l'économie ?
Will the decision-makers, having raked in the political profit resulting from the the notaries' courageous attack, have the same courage when presenting the invoice to the state budget?	Les décideurs ayant engrangé le bénéfice politique résultant de l'attaque courageuse des notaires auront-ils le même courage lors de la présentation de la facture au budget de l'état ?
The continuation in its own time.	La suite en son temps.
OK, thank you, JYL....	Ok, merci, JYL....
@lol No, the State is not comparable to households with regard to the management of their budget, as the State's time horizon is theoretically infinite, while that of the household is confined by the lifetime of its members.	@lol Non l'Etat n'est pas comparable aux ménages en ce qui concerne la gestion de son budget car l'horizon temporel de l'Etat est théoriquement infini alors que celui du ménage est borné par la durée de vie de ses membres.
Moreover, unless considering that public spending is unproductive, they contribute towards funding tangible and intangible investments, guarantees of future growth and, therefore, future solutions.	En outre, à moins de considérer que les dépenses publiques sont improductives, celles-ci contribuent à financer des investissements matériels et immatériels gages de la croissance de demain et donc des recettes futures.
Some answers.	Quelques éléments de réponse.
A regrettable decision.	Une décision regrettable.
But remember the sacred Hippocratic oath: the health of the global pharmaceutical companies' bottom line must be preserved above all else.	Mais souvenez-vous du serment sacré d'Hippocrate : la santé des profits des sociétés pharmaceutiques mondiales doit être préservée avant tout.
Nice conspiracy theory.	Jolie théorie du complot.
