Breaking news: Our Cosmic Visitor Huge Asteroid 2014 JO25	Son dakika: Kozmik Ziyaretçimiz Dev Asteroit 2014 JO25
That would be due to the asteroid’s shock waves as it exploded in the atmosphere.	Bu da atmosferde infilak edecek asteroitten yayılan şok dalgaları nedeniyle olacaktır.
For example, the asteroid that landed in Russia in 2013 was of that size and was enough to blast out buildings’ windows in a couple of cities.	Örneğin 2013"te Rusya'ya düşen asteroit bu boyutlardaydı ve birkaç şehirdeki binaların pencerelerini parçalamaya yetti.
However, if there is was an asteroid of a 100-meter diameter targeting your neighborhood, I would advise to get up to 50 km away.	Ancak eğer 100 metre çapında bir asteroidin hedefinde mahalleniz varsa size tavsiyen mahallenizden en az 50 km öteye gitmeniz.
Specific criteria, such as an asteroid’s size and collision angle, are the factors that would determine the depth of its crater and the damage that its impact would cause.	Asteroidin boyutu ve çarpma açısı gibi kriterler oluşacak kraterin derinliği ve çarpmanın vereceği zararı belirleyen etkenlerdir.
Let’s have a look at a couple of scenarios from the European Space Agency’s simulation.	Avrupa Uzay Ajansı"nın simülasyonuna göre birkaç senaryoya göz atalım.
If an asteroid having a diameter of 100 meters collided with Earth at an angle of 45 degrees and at a speed of 60 km/s, it would form a crater 250 meters deep and 1200 meters in diameter.	Eğer 100 m çapında bir asteroit 45 derecelik açıyla saniyede 60 km hızla Dünya'ya çarparsa yaklaşık 250 metrelik derinliğe ve 1200 metrelik çapa sahip bir krater oluşur.
The collision would be the equivalent to an earthquake at six on the Richter scale and, even if you were 10 km away from the impact point, you would have third-degree burns on your body.	Çarpma Richter ölçeğine göre 6 şiddetinde depremle eş değerdir ve çarpma noktasına 10 km ötede olsanız bile vücudunuzda 3. derece yanık meydana gelir.
And, 50 km away there would be bits of broken window glass.	50 km ötedekileri ise parçalanan pencere camları bekliyor olacak.
If a 1-km diameter asteroid landed, the situation would be much worse.	Eğer 1 km çapında bir asteroit çarparsa durum daha da iç karartıcı bir hal alır.
If such an asteroid collided the with the Earth with the same angle and speed, it would form a crater 600 meters deep and 12 km in diameter.	Aynı açı ve hız değeriyle böyle bir asteroit Dünya'ya çarparsa yaklaşık 600 metre derinlikte ve 12 km çapında bir krater oluşur.
That is an entire neighborhood turning into a crater and disappearing all at once.	Yani koca bir semt kratere dönüşür ve anında yok olur.
The heat created by such a collision would cause third-degree burns on your body even if you were 100 km away from the collision point.	Çarpma sonucu oluşan ısı nedeniyle çarpma noktasından 100 km uzakta olsanız bile vücudunuzda 3. derece yanık meydana gelir.
The impact would be equivalent to an earthquake of magnitude of 8 on the Richter scale.	Çarpma Richter ölçeğine göre 8 şiddetinde depremle eş değerdir.
The damage caused by an asteroid depends not only on the asteroid’s chemical compound, but also on the rock formations at the point of impact.	Asteroidin vereceği zarar sadece asteroidin kimyasal bileşimine değil çarpacağı bölgenin kayaç yapısına da bağlı.
The above values are for a scenario of a hard, rock-like asteroid falling onto an area of sedimentary rock.	Yukarıdaki değerler sert kaya benzeri bir asteroidin tortul kayaçlardan oluşmuş bir bölgeye düşmesi halinde ortaya çıkan senaryoya istinaden verilmiştir.
If an asteroid mostly composed of iron landed on a surface of cold lava, the crater size would be three-times bigger and consequently, the disaster would be much greater.	Eğer asteroit çoğunlukla demirden oluşuyor ise lavların soğuması ile oluşmuş yüzeye sahip bir yere düşerse krater büyüklüğü 3 kat artacak ve buna bağlı olarak ortaya çıkan felaket de katlanacaktır.
Sixty-six million years ago something worse happened to the dinosaurs in the disaster resulting from the impact of an asteroid 10 km in diameter.	Bundan 66 milyon önce ise dinozorların başına daha beter bir şey gelmiş ve yaklaşık 10 km çapındaki bir asteroidin çarpması sonucu oluşan felakete maruz kalmışlar.
That asteroid’s led to the extermination of 75% of all sea and land creatures.	Asteroit çarpması nedeniyle deniz ve kara canlılarının yüzde 75"i anında yok olmuş.
If an asteroid of the size that would have destroyed the dinosaurs was on a collision course with the Earth, the safest option would be to leave the planet.	Dinozorları yok eden bu derece büyük bir asteroit Dünya'yı hedef almışsa emin olun en sağlam seçenek gezegeni terk etmek olacaktır.
Tons of objects from space are falling to earth.	Dünya'ya uzaydan her gün tonlarca madde düşüyor.
Most of these are burnt to ash in the atmosphere.	Bunların çoğu atmosferde yanıp kül oluyor.
Some meteors, popularly known as shooting stars, are big enough to glow in atmosphere as they burn.	Yeterince büyük olan bazı göktaşları atmosferde yanarak halk arasında yıldız kayması olarak bilinen parlamalara neden oluyor.
Let’s end our article with some other, relaxing news.	Yazımızı iç rahatlatacak bir başka haberle sonlandıralım.
According to studies, no asteroid large enough to cause serious destruction is expected to collide with the Earth in the next 300–400 years.	Çalışmalar gösteriyor ki önümüzdeki 300-400 yıl boyunca çok ciddi yıkımlara neden olacak derecede dev bir asteroidin Dünya'ya çarpması beklenmiyor.
As creatures with an average lifetime of 70 years, I’m sure you are somewhat relieved.	Ortalama 70 yıl yaşayan canlılar olarak eminim içiniz bir nebze olsun rahatlamıştır.
Flash claim for Medel: 10 million Euro!	Medel için flaş iddia: 10 milyon euro!
Planning to reinforce their defense, Beşiktaş has in its sights Gary Medel who, most likely, is to part ways with Inter...	Stoper bölgesini takviye etmek isteyen Siyah-Beyazlıların gündemindeki isim Inter'den ayrılmasına kesin gözüyle bakılan Gary Medel...
Going on vacation after playing in the Confederations Cup in a Chilean uniform, and recently start again with Inter, the thirty year old footballer is awaiting offers.	Şili formasıyla Konfederasyon Kupası'nda forma giydikten sonra tatile çıkan ve geçtiğimiz günlerde Inter'le yeniden çalışmalara başlayan 30 yaşındaki futbolcu, kendisine gelecek teklifleri bekliyor.
One of Italy’s prestigious newspapers, Gazzetta dello Sport, claimed that Beşiktaş had made an offer of 10 million Euro to Inter for Medel, who can play both as defender and as a forward.	İtalyanların prestijli gazetelerinden Gazzetta dello Sport, hem stoper, hem de ön libero bölgesinde görev alabilen Medel için Beşiktaş'ın, Inter'e 10 milyon euroluk bir teklif yaptığını öne sürdü.
It was reported that Beşiktaş made an offer to both sides and that the Chilean football player was considering living in Istanbul with his family.	Medel'e teklifini sunan Siyah-Beyazlıların, iki taraftan da cevap beklediği belirtilirken, Şilili futbolcunun İstanbul'da ailesiyle birlikte yaşamaya sıcak baktığı belirtildi.
However, in opposition to Gazetta’s claim, it looks difficult for Beşiktaş which is under FFP limitations to pay 10 million Euro to Medel.	Gazzetta'nın bu iddiasına karşın FFP sınırlaması olan Kara Kartal'ın, Medel için 10 milyon euro gibi bir bedel ödemesi oldukça zor.
If initially Beşiktaş can take Medel on loan as in Caner Erkin’s transfer, or should there be a serious discount in his transfer fee, Beşiktaş is likely to include the star player in to its roster.	Siyah-Beyazlıların ilk olarak Caner Erkin transferinde olduğu gibi kiralama yoluyla Medel'e yönelmesi veya bonservisinde ciddi bir indirime gidilmesi halinde yıldız oyuncuyu kadroya katma ihtimali bulunuyor.
Beşiktaş informed Borsa Istanbul on Negredo’s transfer	Beşiktaş Negredo transferini borsaya bildirdi
Civil rights group issues travel warning for Missouri	İnsan hakları grubu Missouri için seyahat uyarısı yayınladı
The National Association for the Advancement of Colored People has put out an alert for people of color traveling to Missouri because of the state's discriminatory policies and racist attacks.	Ulusal Renkli İnsanların İlerlemesi Derneği, Missouri'ye seyahat edecek renkli insanlar için, eyaletin ayrımcı politikaları ve ırkçı saldırıları nedeniyle bir uyarı yayınladı.
"The NAACP Travel Advisory for the state of Missouri, effective through August 28th, 2017, calls for African American travelers, visitors and Missourians to pay special attention and exercise extreme caution when traveling throughout the state given the series of questionable, race-based incidents occurring statewide recently, and noted therein," the group's statement reads.	Grupun bildirisi şu şekilde: "Missouri eyaleti NAACP Seyahat Tavsiye Bildirisi 28 Ağustos 2017'den geçerli olmak üzere, Afrika-Amerikalı gezginlerin, ziyaretçilerin ve Missouri'lilerin son zamanlarda kuşkulu, ırk bazlı olayların eyalet çapında meydana geliyor olması nedeniyle, orada belirtildiği gibi eyaletin başından sonuna yolculuk ederlerken özel dikkat etmelerini ve son derece ihtiyatlı davranmalarını salık verir."
A recent Missouri law making it harder for people to win discrimination lawsuits, as well as the state's law enforcement disproportionately targeting minorities prompted the group to issue the travel alert, the NAACP said.	NAACP; yeni bir Missouri kanununun, insanların ayrımcılık davalarını kazanmasını zorlaştırdığını, aynı zamanda eyaletin hukuk uygulamalarının orantısız olarak azınlıkları hedef almasının, grupun bu seyahat uyarısını yayınlamasında etkili olduğunu söyledi.
"You have violations of civil rights that are happening to people.	"İnsanların başına gelen insan hakları ihlalleri var.
They're being pulled over because of their skin color, they're being beaten up or killed," the president of the Missouri NAACP, Rod Chapel, told The Kansas City Star.	Derilerinin rengi yüzünden durduruluyor, dövülüyor ve öldürülüyorlar." dedi Kansan City Star'a Missouri NAACP başkanı Rod Chapel.
"We are hearing complaints at a rate we haven't heard before."	"Daha önce duymadığımız oranda şikayetler duyuyoruz."
It is the first such warning that the organization has issued for a state in the US.	Dernek, ABD'deki bir eyalet için ilk kez böyle bir uyarı yayınlıyor.
The group cited incidents such as racial slurs against black students at the University of Missouri and the death of Tory Sanders, 28, a black man from Tennessee.	Grup, Missouri Üniversitesi'ndeki siyahi öğrencilere karşı ırkçı hakaretleri ve Tennessee'li bir siyahi adam olan Tory Sanders'ın ölümü olaylarını örnek gösterdi.
Sanders died under questionable circumstances earlier this year after he ran out of gas while traveling through the state, and was taken into custody by Missouri police without being accused of a crime.	Sanders bu yılın başında, eyaletten geçerken yakıtının bitmesi ardından Missouri polisi tarafından bir suçla suçlanmadan göz altına alınmış ve şüpheli şartlarlar altında ölmüştü.
The advisory also points to a recent report by the Missouri Attorney General's Office showing that black drivers in the state were 75 percent more likely to be pulled over than whites.	Tavsiye bildirisi ayrıca Missouri Başsavcılık Dairesi'nin, eyalette siyahi sürücülerin beyazlara göre yüzde 75 oranında daha fazla durdurulma ihtimali olduğunu gösteren yeni bir rapora dikkat çekiyor.
"The advisory is for people to be aware, and warn their families and friends and co-workers of what could happen in Missouri," Chapel said.	Chapel, "Tavsiye bildirisi insanların uyanık olması için ve ailelerini, arkadaşlarını ve çalışma arkadaşlarını Missouri'de olabilecekler konusunda uyarmaları için." dedi.
"People need to be ready, whether it's bringing bail money with them, or letting relatives know they are traveling through the state."	"İnsanlar beraberlerinde kefalet parası getirmek olsun, akrabalarına bu eyaletten geçecekleri konusunu bildirmek olsun, hazır olmalılar."
Missouri recorded 100 hate crimes in 2015, according to the latest figures from the FBI's hate crime reporting program, ranking the state at 16th in the country in terms of the number of such violations.	Missouri'de, FBI'ın nefret suçları bildirme programındaki en son rakamlara göre 2015 yılında 100 nefret suçu işlendi; bu, eyaleti benzer ihlallerin rakamı açısından ülkede 16'ncı sıraya koyuyor.
The travel warning is also a response to a new Missouri law that would make it more difficult to sue a business for housing or employment discrimination.	Seyahat uyarısı aynı zamanda bir işyerinin, konut kiralarken ya da iş verirken ayrımcılık yapmasına yönelik dava etmenin daha zorlaştırıldığı yeni bir Missouri kanununa yanıt.
Previously, the American Civil Liberties Union (ACLU) had issued travel advisories for Texas and Arizona after the states passed immigration enforcement laws requiring local law enforcement to detain people on immigration violations which the ACLU said would increase racial profiling.	Daha önce Amerikan Sivil Özgürlükler Birliği (ACLU) Teksas ve Arizona için, bu eyaletlerin yerel icra makamlarının insanların göçmenlik ihlalinden tutuklamasını emreden göçmen yürürlük kanunlarını geçirmesinden sonra seyahat tavsiyesi yayınlamıştı; ACLU, bunun ırka göre uygulamaları arttıracağını söylüyor.
Travel warnings are usually issued by the State Department for other countries, but lately, advocacy groups have resorted to the measure in response to certain laws and trends inside the US.	Seyahat uyarıları genellikle Dışişleri Bakanlığı tarafından diğer ülkeler için yayınlanıyor fakat son zamanlarda müdafaa grupları ABD içerisindeki bir takım kanun ve eğilimlere cevaben bu uygulamaya başvuruyor.
Demba Ba is OK at Besiktas	Beşiktaş'ta Demba Ba tamam
Transferred to China’s Shanghai Shenhua for 13 million Euro two seasons ago, and then rented to Beşiktaş in the season’s break, Demba Ba now returns to Beşiktaş free of charge.	2 sezon önce 13 milyon Euro karşılığında Çin ekibi Shanghai Shenhua'ya transfer olan ve geçen sezonun devre arasında Siyah-Beyazlılar'a kiralanan Demba Ba, bedelsiz olarak Beşiktaş"a geri dönüyor.
Requesting a comprehensive health report from the Senegalese player, the Black Eagles started moving after the star football player sent his report.	Senegalli oyuncudan geçen hafta detaylı bir sağlık raporu isteyen Kara Kartal, yıldız futbolcudan gelen raporun ardından harekete geçti.
Starting on preparations for the 32 year-old player, of whom his China representative does not consider as part of the roster for the upcoming season, Beşiktaş’ administration knocked on the Shanghai team’s door.	Çin temsilcisinin önümüzdeki sezon kadroda düşünmediği 32 yaşındaki oyuncu için çalışmalara başlayan Siyah-Beyazlı yönetim, Shanghai ekibinin kapısını çaldı.
He was not included in the list	Listeye yazılmadı
Having foreign player status in China, Demba Ba could not be included in the list and so relayed to Beşiktaş his request to return.	Çin'de yabancı statüsünde bulunması nedeniyle listeye yazılmayan Demba Ba, Siyah- Beyazlılar'a geri dönmek istediğini yönetime iletti.
The Chinese team approved the 32 year-old player’s departure from the team.	Çin ekibi ise 32 yaşındaki oyuncunun ayrılmasına onay verdi.
The Senegalese player is expected to come to Turkey in the coming days and sign an official contract.	Senegalli futbolcunun önümüzdeki günlerde Türkiye'ye gelerek, resmi sözleşmeye imza atması bekleniyor.
Castillo has undergone surgery in Trabzonspor	Trabzonspor'da Castillo ameliyat edildi
In a statement on Trabzonspor’s website, it is written that Castillo has undergone arthroscopic meniscus surgery and "In the aftermath of the surgery, performed by Prof. Dr. Uğur Haklar, our player is expected to rejoin the team for training within four weeks".	Bordo-mavili kulübün internet sitesinde yer alan açıklamada, Castillo'nun İstanbul Liv Hospital'da sol dizinden artroskopik menisküs operasyonu geçirdiği belirtilerek, "Prof. Dr. Uğur Haklar tarafından gerçekleştirilen operasyon sonrası oyuncumuzun, 4 hafta içinde takımla beraber antrenmanlara başlaması öngörülmektedir". ifadesine yer verildi.
Castillo injured his right back muscles while preparing for a match between Trabzonspor and Dutch tea Heerenveen at the Slovakian camp.	Castillo, bordo-mavili takımın Slovakya kampında Hollanda ekibi Heerenveen ile oynadığı hazırlık maçında sağ arka adalesinden sakatlanmıştı.
Announcing that he will stay away from the pitch for three to four weeks because of the treatment, it had previously been decided that the Colombian player would undergo surgery for his meniscus problem.	Tedavisi nedeniyle 3-4 hafta sahalardan uzak kalacağı açıklanan Kolombiyalı oyuncunun, daha önce yaşadığı menisküs problemi nedeniyle de ameliyat edilmesi kararlaştırılmıştı.
Referendum rebuke by Barzani!	Barzan'den referandum çıkışı!
Barzani gave a speech at a ceremony in Duhok city commemorating the third anniversary of the DAESH terror group’s attack on Yazidis in the Sinjar District of Mousul City.	Barzani, terör örgütü DEAŞ'ın Musul'un Sincar ilçesindeki Ezidilere saldırmasının 3'üncü yıl dönümü dolayısıyla Duhok kentinde düzenlenen anma töreninde bir konuşma gerçekleştirdi.
In his speech, touching upon the issue of the independence referendum that the KRG wanted to hold on September 25the, he said "I regretfully report that we have no hope at all that Iraq would every become a proper country."	Konuşmasında, IKBY'nin 25 Eylül'de düzenlemek istediği bağımsızlık referandumuna değinen Barzani, şunları ifade etti: "Bunu üzülerek belirtmem gerekiyor, Irak'ın doğru ve düzgün bir ülke olacağından hiç ümidimiz yok."
With Iraq we have tried all options, but we remain totally desperate and hopeless.	Irak'la tüm yolları denedik ancak tamamen çaresiz ve umutsuz kaldık.
Our past experiences with Iraq have brought us to this situation, and there is no guarantee that we will ever secure our rights and be protected.	Irak ile yaşadığımız geçmiş tecrübeler bizi bu duruma getirdi ve haklarımızı alıp, korunabileceğimizin garantisi yok.
Therefore, we have to show the world that we want to determine our fate by way of a referendum in order to ensure our co-existence and security.	Bu yüzden birlikte yaşam ve güvenliğin temin edilmesi için hepimizin referandum yoluyla tüm dünyaya kaderimizi tayin edebileceğimizi göstermemiz lazım.
We have to stress this as well: The referendum is not an end in itself, but rather a means to reach to a larger goal.	Bunun da altını çizmem lazım; referandum bizim için bir amaç değil ancak daha büyük hedefe ulaşmamız için bir araçtır.
Reiterating that the Iraq central government had made several promises to the Kurds after the fall of the Baath Regime in 2003, Barzani said that not much later, after the disaster in Sinjar and after fighting against DAESH, they decided to hold a referendum.	Baas Rejimi'nin yıkıldığı 2003 tarihinden sonra Irak merkezi hükümetinin Kürtlere birçok vaatlerde bulunduğunu hatırlatan Barzani, çok geçmeden Sincar'daki felaketin meydana geldiğini dile getirerek DEAŞ'la mücadelenin ardından direkt referandum kararı alındığını söyledi.
Stating that KRG wanted its people to determine their fate in a peaceful and democratic way in order to protect itself and to develop, Barzani added "It has been proven with documents that a state such as Iraq cannot protect us, nor do we want it to protect us."	IKBY halkının kendini koruması ve gelişmesi için barışçıl ve demokratik bir şekilde kaderini tayin etmek istediğini dile getiren Barzani, "Belgelerle ortaya çıktı ki, Irak bir devlet gibi bizi koruyamıyor veya korumak istemiyor."
He argued "It does not want us to progress".	"Bizim ilerlememizi istemiyor". görüşünü savundu.
Reacting to the fact that the Iraqi central government gave no weapons at all for them to fight against the DAESH terrorist group, but rather that all of the weapons were supplied to Hashd Al-Shaabi, which was established quickly following a fatwa, Barzani added	Terör örgütü DEAŞ ile mücadele sırasında Irak merkezi hükümetinin kendilerine silah vermediğini ancak kısa bir süre içerisinde bir fetva ile kurulan Haşdi Şabi'nin hemen yasallaştırılıp tüm silahların temin edildiğine tepki gösteren Barzani şunları kaydetti:
Peshmerga were not considered as part of Iraq’s defense system.	Irak'ın savunma sistemi içerisinde Peşmerge, muhatap alınmadı.
The central government has not provided to Peshmerga what it provided to Hashd Al-Shaabi.	Merkezi hükümet Haşdi Şabi'ye sunduğunu Peşmerge'ye yapmadı.
According to the constitution, Peshmerga is accepted as part of Iraq’s defense system.	Peşmerge, anayasaya göre Irak'ın savunma sisteminin bir parçası olarak kabul ediliyor.
However, while Hashd Al-Shaabi has no existence in the constitution, by violating the law all means were made available to them.	Ancak Haşdi Şabi'nin anayasada bir varlığı yokken, yasalar çiğnenerek tüm imkanlar seferber edildi.
We are not saying that we are against Hashd Al-Shaabi.	Haşdi Şabi'ye karşı olduğumuzu söylemiyoruz.
Peshmerga and Hashd Al-Shaabi have fought on the same front, but then why is Hashd Al-Shaabi being legalized, yet Peshmerga’s existence and fight against terrorism is being covered up.	Peşmerge ve Haşdi Şabi, aynı cephede savaştı, peki neden bir yandan Haşdi Şabi yasallaştırılıken, Peşmergenin varlığı ve terörle mücadelesi örtbas ediliyor.
These are our deep wounds with Baghdad.	İşte bunlar bizim Bağdat ile olan derin yaralarımızdır.
On 03 August 2014, DAESH terrorist organization attacked the Yazidis living in the Sinjar District of Mousul Province, killing a number of people, among whom were women and children.	Terör örgütü DEAŞ, 3 Ağustos 2014 tarihinde Musul'un Sincar ilçesinde yaşayan Ezidilere saldırı düzenleyip, kadın ve çocukların da aralarında bulunduğu birçok kişiyi öldürmüştü.
Disaster was avoided by 10 minutes	10 dakika ile faciadan dönüldü
According to a news article published by the BBC, while the North Korean missile was airborne, a Boeing 777 type airliner belonging to Air France was flying over the west of Hokkaido, located to the north of Japan.	BBC'de yer alan habere göre, Air France havayollarına ait Boeing 777 tipi yolcu uçağı Kuzey Kore'nin füzesi havadayken Japonya'nın kuzeyindeki Hokkaido'nun batısındaydı.
An official said that the missile fell on the spot where the airliner had passed only ten minutes earlier and was estimated to have been within 100–150 kilometers of the airliner.	Füzenin, uçağın 10 dakika önce bulunduğu alana düştüğünü kaydeden yetkililer, füzenin uçağa 100-150 kilometre kadar yaklaştığının tahmin edildiğini kaydetti.
In a statement made by Air France, he airline said that the missile’s route did not intersect with the airliner’s path and no issue had been recorded in relation to the mentioned flight.	Air France'den yapılan açıklamada ise füzenin uçağın rotasıyla kesişmediği ve söz konusu uçuşta bir sorun yaşanmadığı kaydedildi.
"The information we have at this stage is that the missile fell into the sea more than 100 kilometers from the airliner’s route.	Açıklamada, "Şu aşamada elimizde bulunan bilgiler, füzenin uçağın rotasının 100 kilometreden fazla uzağında denize düştüğünü gösteriyor". ifadelerine yer verildi.
Is nothing sacred?	Hiçbir şey kutsal değil mi?
Now Trump's White House is targeting the Statue of Liberty	Trump'ın Beyaz Saray'ı şimdi de Özgürlük Heykeli'ni hedef alıyor
The surest mark of regime change is when they start attacking the statues.	Rejim değişiminin en kesin işareti heykellere saldırmaya başlamalarıdır.
Americans appreciate this as well as anyone - hence the carefully stage-manged toppling of Saddam Hussein in Firdos square in Baghdad in 2003.	Amerikalılar bunun herhangi biri kadar kadrini bilir; nitekim, özenle tezgahlanan Saddam Hüseyin'in 2003'te Bağdat'taki Firdos Meydanı'nda devrilmesi...
Stephen Miller, one of the key ideologues of the Trump regime, surely knew what he was doing when he took a symbolic axe to the Statue of Liberty in a heated argument with CNN's Jim Acosta over the president's proposals to drastically limit legal immigration.	Trump rejiminin kilit kuramcılarından biri olan Stephen Miller, CNN'den Jim Acosta ile başkanın, yasal göçü sert bir biçimde kısıtlama teklifleri konusundaki hararetli bir tartışmada, Özgürlük Heykeli'ni sembolik bir biçimde yok ederken kesinlikle ne yaptığını biliyordu.
In fairness, Miller did not attack the statue itself.	Adil olmak gerekirse Miller heykelin kendisine saldırmadı.
A horde of boat-trip owners and Liberty impersonators would have lynched him if he did.	Öyle yapsaydı bir dolu tekne turu sahibi ve Özgürlük taklitçisi onu linç ederdi.
But he did attack its meaning, and in particular the meaning ascribed to it when Emma Lazarus's famous poem was added to its base in 1903, 17 years after the monument itself was completed.	Fakat o, onun manasına saldırdı ve özellikle de 1903'te anıtın kendisi tamamlandıktan 17 yıl sonra Emma Lazarus'un meşhur şiiri anıt tabanına eklendikten sonra ona atfedilen manasına.
As Miller scolded Acosta: "I don't want to get off into a whole thing about history here, but the Statue of Liberty is ... a symbol of American liberty lighting the world.	Miller, Acosta'ya çıkışırken: "Ben burada baştan sona tarih konuşmak istemiyorum, fakat Özgürlük Heykeli... Amerikan özgürlüğünün dünyaya ışık saçma sembolüdür.
The poem that you're referring to, that was added later and is not part of the original Statue of Liberty."	Sizin bahsettiğiniz şiir daha sonra eklenmiştir ve orijinal Özgürlük Heykeli'nin parçası değildir."
Miller is factually correct, but as he put it himself, this is not really about history.	Miller gerçekte haklı fakat kendisinin de söylediği gibi, bu gerçekten tarihle ilgili değil.
It is about the contemporary resonance of Lazarus's startling words, the only ones in which a state has appeared to invite not just any old immigrants, but the poorest of the poor: "Your tired, your poor, / Your huddled masses yearning to breathe free, / The wretched refuse of your teeming shore."	Bu, Lazarus'un ürkütücü sözlerinin çağdaş yankılanmasıyla ilgili, sadece bunlarda bir devlet yalnızca bazı yaşlı göçmenleri değil aynı zamanda fakirin de fakirini davet ediyormuş gibi görünüyor: "Yorgun, fakir, / Tıkış tıkış kitleler özgürlük nefesi almaya hasret, / Tıklım tıklım karanın perişan istenmeyeni."
There has never been a time when the "wretched refuse" has been more visible on our screens.	"Perişan istenmeyenin" ekranlarımızda bu kadar görünür olduğu bir zaman hiç olmamıştı.
Miller was not engaging in literary criticism - he was making it clear that these people are not welcome in Trump's USA.	Miller edebi bir eleştiri getirmiyordu; bu insanların Trump'ın ABD'sinde hoş karşılanmadığını açıklıyordu.
This conflict about the meaning of a statue is part of a wider political and cultural war: it is really a conflict about the meaning of America.	Bir heykelin manası hakkındaki çatışma daha geniş siyasi ve kültürel bir savaşın parçası: Bu aslında Amerika'nın manası ile ilgili bir çatışma.
Lazarus - and her friends who campaigned to place her words at the base after her death - knew very well that they were engaging in a highly political act.	Lazarus ve onun ölümünden sonra onun sözlerini heykelin tabanına koymak için kampanya yürüten arkadaşları oldukça siyasi bir eyleme girdiklerini çok iyi biliyorlardı.
The sculpture was intended to mark the connections between French and American republicanism by representing in a well-worn classical trope, the female embodiment of Liberty.	Heykel, Fransız ve Amerikan cumhuriyetçiliği arasındaki bağlantıları basmakalıp bir mecazla, Özgürlük'ün kadın şeklinde vücuda gelişiyle temsil ederek kutlamak niyetindeydi.
Lazarus changed that meaning: in her poem the female figure is no longer abstract - she has a voice.	Lazarus bu manayı değiştirdi: Şiirinde kadın figürü artık soyut değildi, bir sesi vardı.
And she gives herself a very different name: Mother of Exiles.	Ve kendisine çok değişik bir ad veriyor: Sürgün Edilenlerin Annesi.
The marrying of the poem to the image is a brilliant feminist coup and a devastating attack on American nativism.	Şiirin görüntü ile evliliği dahice feminist bir darbe ve Amerikan göçmen karşıtlığına yıkıcı bir saldırı.
And just as Lazarus changed the meaning of the statue, rightwingers have long wanted to change it back.	Ve aynı Lazarus'un heykelin manasını değiştirdiği gibi sağcılar da uzun zamandır onu geri değiştirmek istiyorlardı.
The great loudmouth Rush Limbaugh, a kind of John the Baptist for the coming of Trump, argued in 2010 that Liberty is not inviting anyone in, but is rather an early neocon, taking the American flame out to the benighted world: "Lady Liberty is stepping forward.	Trump'ın gelişi için Baptist John tarzı biri olan büyük palavracı Rush Limbaugh, 2010'da Özgürlük'ün kimseyi içeri davet etmediğini fakat daha çok Amerikan ateşini karanlıkta kalmış dünyaya tutan erken devir bir neocon olduğunu savundu: "Bayan Özgürlük öne çıkıyor.
She is meant to be carrying the torch of liberty from the United States to the rest of the world.	O, özgürlük meşalesini Amerika Birleşik Devletleri'nden dünyanın geri kalanına taşımak için var.
The torch is not to light the way to the United States."	Meşale, Amerika Birleşik Devletleri'ne olan yolu aydınlatsın diye değil."
Rather unusually, Limbaugh actually hit on something.	Pek alışılmadık bir biçimde, Limbaugh aslında bir şey keşfetmişti.
The meaning of the statue is entirely a matter of the angle of perception.	Heykelin manası tamamen algılama açısı ile ilgiliydi.
