28-Year-Old Chef Found Dead at San Francisco Mall	28 gadus vecs pavārs atrasts miris Sanfrancisko lielveikalā
The Russian leader certainly won bonus points with Ankara for calling in support of the elected authorities after the attempted coup.	Krievijas līderis nešaubīgi ieguva papildpunktus Ankaras acīs, izsakot atbalstu tās ievēlētajai valdībai pēc apvērsuma mēģinājuma.
Mind you, that's a given for Moscow which has its own deep-seated fear of regime change.	Ņemiet vērā, ka Maskava to labi saprot, jo pašai ir dziļi iesakņojušās bailes no režīma maiņas valstī.
So the summit at this glitzy, seaside palace allowed Russia and Turkey to present what one analyst described to me as an "alliance of misfits": two countries that feel rejected and mistreated by the West, joining forces.	Samits, kas norisinājās šajā greznajā piejūras pilī, deva Krievijai un Turcijai iespēju prezentēt, kā to nodēvēja kāds analītiķis, "atstumto aliansi", divas valstis, kas jūtas atstumtas no Rietumiem, apvieno spēkus.
Still, despite the public display of reconciliation, the two still have major differences.	Taču neskatoties uz publiski demonstrēto vienotību, abu valstu starpā joprojām pastāv ievērojamas viedokļu atšķirības.
The key one is Syria, where Moscow has recently been casting itself as peacemaker but where Russia and Turkey back opposite sides.	Galvenās nesaskaņas skar Sīriju, kur Krievija prezentē sevi kā miera nesēju, taču faktiski Krievija un Turcija atbalsta pretējās puses.
It could be telling that after almost three hours of initial talks, the two presidents told a press conference that they hadn't even touched on the topic.	Pēc vairāk nekā trīs stundu garām sākotnējām sarunām, nevēloties atklāt informāciju, abi prezidenti preses konferencē paziņoja, ka viņi šo jautājumu nav pārrunājuši.
Turkey's president deliberately avoided answering a question on their differences, while Mr Putin chose to underline them.	Turcijas prezidents mērķtiecīgi izvairījās no jautājumiem par abu valstu nesaskaņām, savukārt prezidents Putins vēlējās tās uzsvērt.
There is no clear consensus on where they can seek common ground on Syria.	Nav skaidras vienprātības, kā abas valstis varētu atrast kopīgu valodu Sīrijas jautājumā.
But after months of open hostility - and given the potential for utter disaster when Nato member Turkey shot down that Russian fighter jet - it is surely better that the two leaders are at least talking again.	Taču pēc mēnešiem ilgām atklāti naidīgām attiecībām un potenciālas katastrofas, kad NATO locekle Turcija notrieca Krievijas kaujas lidmašīnu, situācija ir uzlabojusies, jo abi līderi vismaz ir atsākuši sarunas.
Royal Bank of Scotland to disappear for customers outside Scotland	Skotijas Karaliskā Banka vairs nebūs pieejama klientiem ārpus Skotijas
The brand RBS is to be reduced to a back office role, according to the bank's chief executive.	Zīmolam SKB turpmāk būs atbalsta loma, paziņojis bankas izpilddirektors.
Royal Bank of Scotland will disappear for customers outside Scotland.	Ārpus Skotijas SKB vairs nebūs pieejama.
Ross McEwan told BBC Scotland that the RBS brand was associated with the bank's global ambitions.	Ross Makevans stāsta BBC kanālam Skotijā, ka SKB zīmols tika asociēts ar bankas ambīcijām globālā mērogā.
It has retreated from them since it nearly collapsed eight years ago and had to be bailed out.	Tā ir atteikusies no šīm ambīcijām, jo pirms astoņiem gadiem banka gandrīz bankrotēja un tai bija nepieciešama finansiāla palīdzība.
During that time, brand strategists have used 'RBS' to protect other consumer finance brands.	Tikmēr zīmolvedības stratēģijas eksperti ir izmantojuši SKB zīmolu, lai pasargātu citus patērētāju finanšu zīmolus.
It was backed with millions of pounds in sponsorship of international sport, from Six Nations rugby to Wimbledon champion Andy Murray.	Banka saņēma miljoniem mārciņu no starptautiskā sporta sponsoriem, sākot ar Sešu Nāciju regbiju un beidzot ar Vimbldonas tenisa čempionu Endiju Mureju.
But now, it has been judged right to let more national brands come to the fore.	Taču tagad ir nolemts izvirzīt priekšplānā citus nacionālos zīmolus.
Royal Bank of Scotland will be used with Scottish customers, but will not be initialised.	Skotijas Karaliskā Banaka būs pieejama Skotijas klientiem, taču tā netiks inicializēta.
In England and Wales, all RBS references, outside head office and the stock exchange listing, will be changed to NatWest.	Anglijā un Velsā visas SKB atsauces, ārpus galvenā biroja un oficiālā biržas saraksta, tiks nomainītas uz nosaukumu NatWest.
The Ulster Bank brand is already used for customers in the Republic of Ireland and Northern Ireland.	Īrijas Republikā un Ziemeļīrijā jau tiek lietots zīmols The Ulster Bank.
There are other, smaller brands for private banking, which will get more prominence - Coutts, Adam & Co, Drummond, and Holt's Military Bank.	Tagad ievērību gūs arī mazāki privāto finanšu zīmoli, piemēram, Coutts, Adam & Co, Drummond, un Holt's Military Bank.
Mr McEwan was interviewed during a tour of customers and staff in Inverness-shire.	Makevans tika intervēts izbrauciena laikā ar klientiem un darbiniekiem pa Invernesšīru.
He told BBC Scotland: "The RBS brand will end up becoming our investor brand and the one that our staff are employed with, because we are now becoming much more a bank of brands."	Viņš pavēstīja BBC Skotija kanālam: "SKB kļūs par mūsu investoru zīmolu un ar kuru strādā mūsu darbinieki, jo tagad mēs kļūstam vairāk par zīmolu banku."
As the bank itself became a global brand, RBS became the global brand.	Ar laiku pati banka kļuva par globālu zīmolu un SKB kļuva par globālu zīmolu.
I'm now saying we no longer have global aspirations, we have local aspirations.	Tagad es saku, ka mums vairs nav globālu ambīciju, mums ir vietēja mēroga ambīcijas.
Each one of those brands will stand for something quite different in their own communities, and our staff will work with customers under those brands.	Katrs no šiem zīmoliem pārstāvēs kaut ko unikālu savā nozarē un mūsu darbinieki strādās ar klientiem zem šiem zīmoliem.
RBS had already stated that it would not to continue its Six Nations sponsorship, and it has been raising the profile of different brands in its sports sponsorship.	SKB jau paziņoja, ka neturpinās "Sešu Nāciju" sponsorēšanu un iesaistīs dažādus zīmolus sporta sponsorēšanā.
"The time is right for us to move to the bank of brands, because underneath (we've been asking) how do we focus on making this a better bank for customers?" said the chief executive.	"Ir pienācis īstais laiks kļūt par zīmolu banku, jo mēs jau sen paši sev esam uzdevuši jautājumu, kā kļūt par labāku banku saviem klientiem?" stāsta izpilddirektors.
It would have been very cynical three years ago if we'd said we're going to be a great bank for customers and put those brands out there.	Pirms trim gadiem būtu bijis ļoti ciniski, ja mēs paziņotu, ka kļūsim par lielisku banku mūsu klientiem un attīstīsim šos zīmolus.
But with the work we've been doing, focussing on the customers needs, not our own, I think you're seeing a lot of change.	Taču pateicoties smagam darbam un koncentrējoties uz klientu vajadzībām, nevis mūsu pašu vajadzībām, mēs acīmredzami esam panākuši lielas izmaiņas.
We can bring those brands back up again, so I think the time is right.	Mēs atkal varam atdzīvināt šos zīmolus, tādēļ es domāju, ka tagad ir īstais laiks.
Frankie Dettori reaches 3,000 winners with victory at Newmarket on Predilection	Frenkijs Detori izcīna 3000. uzvaru, iegūstot pirmo vietu Ņūmārketā ar zirgu Predilection
Dettori sprays champagne after a double at Newmarket takes him to 3,000 wins	Detori atkorķē šampanieti, izcīnot savu 3000. uzvaru divreiz finišējot pirmais sacīkstēs Ņūmārketā.
Jockey Frankie Dettori secured his 3,000th British winner at Newmarket on Friday.	Piektdien žokejs Frenkijs Detori izcīnīja savu 3000. uzvaru Lielbritānijas vēsturē, iegūstot pirmo vietu Ņūmārketā.
He brought up the landmark with his second winner of the night at his local track - on Predilection, trained by John Gosden.	Viņš to sasniedza, izcīnot otro uzvaru šajās sacīkstēs , kas notika viņa dzimtajā pilsētā, jājot ar Predilection, ko trenē Džons Gosdens.
The 45-year-old Italian is the sixth jockey to reach the landmark in Flat racing.	45 gadus vecais itālis ir sestais žokejs, kurš ir sasniedzis tādu rezultātu zirgu sprinta sacīkstēs.
He follows Sir Gordon Richards, Doug Smith, Lester Piggott, Pat Eddery and Willie Carson.	Viņš ir pievienojies Seram Gordonam Ričardsam, Dougam Smitam, Lesteram Pigotam, Pītam Ederijam un Villijam Karsonam.
Three-time champion jockey Dettori, who earlier won on Ghayyar, said: "It's special."	Trīskārtējais čempions žokejs Detori, kurš pirms tam uzvarēja ar zirgu Ghayyar, teica: "Tas ir kaut kas īpašs."
I'm very emotional because my family are here as well	Esmu ļoti aizkustināts, jo mana ģimene ir šeit.
I'm very pleased for it to have happened at Newmarket because this is where I landed 30 years ago.	Esmu ļoti priecīgs, ka tas notika Ņūmārketā, jo šeit es dzīvoju jau 30 gadus.
It's not a big meeting, it's not a Royal Ascot - it's a mundane Friday night with 20,000 people.	Šīs nav liela sacīkstes, šī nav Karaliskā Askota, bet gan parasts piektdienas vakars kopā ar 20 000 cilvēkiem.
I'm relieved and very humble.	Es jūtos atvieglots un ļoti pateicīgs.
Dettori soaks up the cheers as he brings in Predilection after victory	Pēc uzvaras Detori un Predilection tiek sagaidīti ar aplausiem un gavilēm.
Two jockeys have reached the milestone in jump racing - champion jockey Richard Johnson and retired 20-time champion Sir Anthony McCoy, who had more than 4,300 victories in a record-breaking career.	Divi žokeji ir sasnieguši šo rekordu sacīkstēs ar šķēršļiem - čempions Ričards Džonsons un karjeru beigušais 20-kārtējs čempions Sers Antonijs Makkojs, kurš savā karjerā uzstādījis vairākus rekordus, izcīnot vairāk nekā 4300 uzvaras.
Lester Piggott, nine-time Derby winner, 4,493 career wins	Lesters Pigots, deviņkārtējs derbija uzvarētājs, karjeras laikā izcīnījis 4493 uzvaras.
Frankie is one of the best jockeys of the modern era and it is no surprise he has reached this landmark so few have achieved before him.	Frenkijs ir viens no mūsdienu labākajiem žokejiem un nav nekāds pārsteigums, ka viņš ir guvis panākumus, ko tikai retais spēj sasniegt.
He is stylish and strong, but it is his tactical nous that sets him apart from others in the weighing room.	Viņš ir stilīgs un spēcīgs, taču viņa taktikas izjūta viņu atšķir no citiem žokejiem.
He is a fantastic ambassador for racing, his enthusiasm and charisma have been drawing fans to the sport for years.	Viņš ir fantastisks sacīkšu pārstāvis, viņa entuziasms un harizma gadiem piesaista fanus šim sporta veidam.
I said to Frankie a few weeks ago at Epsom he'd have ridden 6,000 winners if he wasn't just a weekend and big-race jockey!	Pirms dažām nedēļām Epsomas sacīkstēs es teicu Frenkijam, ka viņš būtu izcīnījis jau 6000 uzvaras, ja nepiedalītos tikai nedēļas nogales un lielajās sacīkstēs.
Seriously though, Frankie's been riding winners in the UK for the best part of 30 years which is great to see.	Taču runājot nopietni, ir patiess prieks, ka Frenkijs jau 30 gadus regulāri gūst uzvaras Apvienotās Karalistes sacīkstēs.
He's a lively character which is good for British racing but more than that, he's an incredible jockey.	Viņš ir dzīvespriecīgs, kas lieliski noder britu sacīkstēs, turklāt viņš ir izcils žokejs.
Frankie Dettori celebrated the milestone with a trademark flying dismount	Frenks Detori atzīmēja šo sasniegumu ar savu firmas zīmi - lidojošo nolēcienu.
From flying finishes to flying dismounts, Frankie Dettori has been the poster boy of British Flat racing for two decades.	No finišēšanas vēja ātrumā līdz lidojošam nolēcienam, Frenkijs Detori jau divdesmit gadus ir britu zirgu sacīkšu seja.
It has been a rollercoaster ride.	Šis ir bijis piedzīvojumu pilns ceļš.
Stacks of big-race winners, including his famous 1996 'Magnificent Seven' at Ascot, but he also survived a plane crash and served a drugs ban.	Viņš ir uzvarējis neskaitāmas lielās sacīkstes, tai skaitā slavenai 1996. gada "Lieliskais Septītnieks" Askotā, turklāt pārdzīvojis lidmašīnas avāriju un diskvalifikāciju par preparātu lietošanu.
Three years ago he initially struggled when returning from that six-month suspension, but he showed formidable strength of character to defy the doubters and return to his best.	Pirms trim gadiem viņam bija grūti atgriezties pēc sešu mēnešu diskvalifikācijas, taču viņš nodemonstrēja savu rakstura spēku, izaicinot tos, kuri apšaubīja viņu, atgriežoties savā labākajā formā.
And he may not be done for some time - Dettori has previously said he would like to carry on competing until the age of 50, at least.	Un viņš varētu piedalīties sacīkstēs vēl kādu laiku - Detori iepriekš ir izteicies, ka labprāt turpinātu dalību sacīkstēs vismaz līdz 50 gadu vecumam.
Russia's Putin sacks chief of staff Sergei Ivanov	Krievijas prezidents Putins atlaiž administrācijas vadītāju Sergeju Ivanovu
Russian President Vladimir Putin has unexpectedly dismissed his chief of staff Sergei Ivanov.	Krievijas prezidents Vladimirs Putins negaidīti atlaidis administrācijas vadītāju Sergeju Ivanovu.
Mr Ivanov has been part of Mr Putin's trusted inner circle for many years.	Ivanovs daudzus gadus atradies Putina tuvāko cilvēku lokā.
The 63-year-old has now been made a special representative for environmental and transport issues.	Šobrīd 63 gadus vecais politiķis ir iecelts par īpašo pārstāvi dabas un transporta jautājumos.
A statement from the Kremlin said that Mr Putin had "decreed to relieve Ivanov of his duties as head of the Russian presidential administration," but gave no reason.	Kremļa paziņojumā teikts, ka Putins "nolēmis atbrīvot Ivanovu no Krievijas prezidenta administrācijas vadītāja darba pienākumiem", neminot iemeslu.
Mr Ivanov's deputy since 2012, Anton Vaino, has been appointed as his successor.	Ivanova vietā amatā iecelts Antons Vaino, kurš bija viņa vietnieks kopš 2012. gada.
Mr Vaino, 44, is a former diplomat.	44 gadus vecais Vaino ir izbijis diplomāts.
Born in the Estonian capital Tallinn in 1972, he graduated from the prestigious Moscow State Institute of International Relations (MGIMO) and served in the Tokyo embassy.	Vaino ir dzimis 1972. gadā Igaunijas galvaspilsētā Tallinā, absolvējis prestižo Maskavas Valsts starptautisko attiecību institūtu (MVSAI) un vēlāk strādājis Tokijas vēstniecībā.
Later he managed presidential protocol and government staff, the Kremlin website says (in Russian).	Kā vēsta Kremļa mājaslapa (krievu valodā), vēlāk viņš vadīja Prezidenta protokolu un valdības darbinieku pārvaldi.
On being appointed, he told Mr Putin: "Thank you for your trust."	Pēc iecelšanas amatā viņš Putinam teica: "Paldies par Jūsu uzticību."
I think the administration's most important task is to support your activity as head of state in terms of drafting laws and control over how your instructions are implemented.	Manuprāt, administrācijas galvenais darbs ir atbalstīt Jūsu darbu valsts prezidenta amatā, izstrādājot likumus un kontrolējot Jūsu lēmumu izpildi.
Mr Putin told a Russian TV station on Friday that Mr Ivanov had asked to leave the post, and recommended that Mr Vaino should replace him.	Putins piektdien pastāstīja kādai Krievu raidsabiedrībai, ka Ivanovs pats vēlējies pamest amatu un rekomendēja Vaino kā savu aizstājēju.
Do the smiles convince?	Vai smaidi pārliecina?
This is a move that has mystified Moscow.	Šis solis samulsinājis Maskavu.
Sergei Ivanov has long been one of Vladimir Putin's closest allies and, like him, served in the Soviet security service, the KGB.	Sergejs Ivanovs ir sens un tuvs Vladimira Putina sabiedrotais un, tāpat kā Putins, savulaik strādāja Padomju drošības dienestā VDK.
As chief of staff he was one of the most powerful men in the country.	Šajā amatā viņš bija viens no ietekmīgākajiem vīriem Krievijā.
In a meeting with President Putin shown on state television both men claimed that the chief of staff was stepping down at his own request.	Valsts televīzijā pārraidītajā sēdē, abi vīri paziņoja, ka Ivanovs atkāpjas no amata pēc paša iniciatīvas.
But despite the smiles for the cameras, few here are convinced - especially now, just before parliamentary elections.	Bet neskatoties uz kamerām vērstajiem smaidiem, reti kuru šāds paskaidrojums pārliecina, it īpaši pirms parlamenta vēlēšanām.
So is this the fall-out from some kind of power struggle?	Vai tas ir iznākums, kas saistīts ar cīņu par varu?
No-one knows yet.	To neviens nezina.
But the official claim - that a man once touted as a potential president, suddenly wanted to run Russia's environmental policy - has been met with great scepticism.	Taču oficiālais apgalvojums, ka vīrs, kurš tika uzskatīts par iespējamo prezidentu, pēkšņi pats gribējis kļūt par Krievijas vides politikas vadītāju, tiek uztverts ar lielu skepsi.
In remarks to Mr Putin, quoted on the Kremlin website, Mr Ivanov said "it's true that in early 2012 I asked you, in a conversation, to entrust me with this very complicated post, even - you could say - troublesome post, for four years.	Kremļa mājaslapā publicētajās piezīmēs Ivanovs saka Putinam: "Tas ir fakts, ka 2012. gada sākumā es Jūs lūdzu man uzticēt šo sarežģīto amatu, varētu pat teikt, problemātisko amatu, četrus gadus.
Well, it turns out that I've been presidential chief of staff for four years and eight months.	Izrādās, ka esmu strādājis šajā amatā četrus gadus un astoņus mēnešus.
Mr Ivanov took up the post in December 2011.	Ivanovs amatā stājās 2011. gada decembrī.
He served previously as a deputy prime minister and defence minister.	Iepriekš viņš bijis premjerministrs un aizsardzības ministrs.
He is a member of the Russian Security Council and a former member of the KGB state security service, like Mr Putin.	Viņš ir Krievijas Drošības padomes loceklis un bijušais VDK Valsts drošības dienesta darbinieks, tāpat kā Putins.
