Munich 1856: Four maps that will change your view of the city	München 1856: Vier Karten, die Ihren Blick auf die Stadt verändern
"He was progressive for his time and ended, for example, the practice of chaining up the so-called mad men.	"Er war fortschrittlich für seine Zeit und beendete zum Beispiel das Anketten der sogenannten Irren.
What is more, he forbade the staff from using violence against the inmates," says Hermann Wilhelm, leader of the Haidhausen Museum, which has been busying itself for an exhibition with the establishment.	Außerdem hat er dem Personal untersagt, Gewalt gegen die Insassen anzuwenden", sagt Hermann Wilhelm, Leiter des Museums Haidhausen, der sich für eine Ausstellung mit der Anstalt beschäftigt hat.
Originally there was place for 280 patients; later this was expanded to 500 places.	Für 280 Patienten war zunächst Platz gewesen, später wurde auf 500 Plätze erweitert.
At some point even this capacity was no longer enough – the reason why the district mental asylum in Haar was constructed in 1905.	Irgendwann reichte auch diese Kapazität nicht mehr aus - der Grund für den Bau der Kreisirrenanstalt in Haar 1905.
The Isar Amper Clinic, East Munich, has been located there since 2006, one of the largest psychiatric units in Germany.	Dort befindet sich seit 2006 das Isar-Amper-Klinikum München-Ost, eine der größten Psychiatrien Deutschlands.
On the plot of the former Auer institution, young people now meet in the Munich Salesianum.	Auf dem Areal der ehemaligen Auer Anstalt begegnen sich nun Jugendliche im Münchner Salesianum.
The order acquired the building complex in 1920 and converted it into a youth centre with training programmes.	Der Orden erwarb den Gebäudekomplex 1920 und wandelte ihn in ein Jugendheim mit Ausbildungsbetrieben um.
To the west lies the football pitch of TSV München Ost, and to the east, residential houses from the 1980s.	Westlich liegt der Fußballplatz des TSV München Ost, östlich Wohnhäuser aus den 1980er Jahren.
In 2015, the "Casa Don Bosco" nursery was built – in the architectural style of the original mental asylum building, which had been destroyed in the Second World War in bomb attacks.	2015 errichtete man das Kinder-Haus "Casa Don Bosco" - in architektonischer Anlehnung an den Ursprungsbau der Irrenanstalt, der im Zweiten Weltkrieg bei Bombenangriffen zerstört worden war.
Marienplatz was recorded as the "main square" in around 1856, and Kaufingerstraße was called "Kaufinger Gasse".	Der Marienplatz war um 1856 als "Haupt Platz" verzeichnet, die Kaufingerstraße hieß "Kaufinger Gasse".
The Second World War also brought a decisive change to the heart of Munich.	Eine entscheidende Veränderung brachte der Zweite Weltkrieg auch im Herzen Münchens.
The bombs of the Allies tore many holes in the city centre in December 1944.	Die Bomben der Alliierten rissen im Dezember 1944 viele Löcher in die Innenstadt.
One big one remains up to this day – at the Marienhof.	Ein großes blieb bis heute - am Marienhof.
The English Institute, small commercial premises and a crypt chapel from the Middle Ages once stood in the Marienhof, where these days, preparations for the second S-Bahn main line are underway, with first digging to follow on 5th April 2017.	Das Englische Institut, kleine Geschäftshäuser und eine Gruftkapelle aus dem Mittelalter standen einst am Marienhof, wo dieser Tage die Vorarbeiten und am 5. April 2017 der Spatenstich für die zweite S-Bahn-Stammstrecke erfolgen.
You can use the slider control to compare the old Munich map with the aerial view from today – and to fill in the hole at the Marienhof.	Mit dem Schieberegler lässt sich die alte München-Karte mit dem Luftbild von heute vergleichen - und das Loch am Marienhof auffüllen.
Civil rights group issues travel warning for Missouri	Bürgerrechtsgruppe veröffentlicht Reisewarnung für Missouri
The National Association for the Advancement of Colored People has put out an alert for people of color traveling to Missouri because of the state's discriminatory policies and racist attacks.	Die Nationale Vereinigung zur Förderung von Farbigen hat eine Warnung für farbige Menschen ausgestellt, die aufgrund der diskriminierenden Politik und der rassistischen Angriffe des Staates nach Missouri reisen.
"The NAACP Travel Advisory for the state of Missouri, effective through August 28th, 2017, calls for African American travelers, visitors and Missourians to pay special attention and exercise extreme caution when traveling throughout the state given the series of questionable, race-based incidents occurring statewide recently, and noted therein," the group's statement reads.	"Die NAACP Travel Advisory für den Bundesstaat Missouri, die bis zum 28. August 2017 in Kraft treten soll, fordert afro-amerikanische Reisende, Besucher und Missourianer auf, bei Reisen durch den Staat besondere Aufmerksamkeit aufzubringen und äußerste Vorsicht walten zu lassen, da eine Reihe von fragwürdigen, rassenbasierten Vorfällen in letzter Zeit im gesamten Staat vorkommen und hier vermerkt werden", heißt es in der Stellungnahme der Gruppe.
A recent Missouri law making it harder for people to win discrimination lawsuits, as well as the state's law enforcement disproportionately targeting minorities prompted the group to issue the travel alert, the NAACP said.	Ein kürzlich verabschiedetes Gesetz von Missouri, das es Menschen schwerer macht, Diskriminierungsklagen zu gewinnen, sowie die Strafverfolgungsbehörden des Staates, die unverhältnismäßig auf Minderheiten abzielen, veranlassten die Gruppe, die Reisewarnung herauszugeben, sagte die NAACP.
"You have violations of civil rights that are happening to people.	"Sie haben Verletzungen der Bürgerrechte, die Menschen passieren.
They're being pulled over because of their skin color, they're being beaten up or killed," the president of the Missouri NAACP, Rod Chapel, told The Kansas City Star.	Sie werden wegen ihrer Hautfarbe angehalten, sie werden zusammengeschlagen oder getötet", sagte der Präsident des Missouri NAACP, Rod Chapel, dem Kansas City Star.
"We are hearing complaints at a rate we haven't heard before."	"Wir hören Beschwerden in einer solchen Häufigkeit, die wir noch nicht gehört haben."
It is the first such warning that the organization has issued for a state in the US.	Es ist die erste solche Warnung, die die Organisation für einen Staat in den USA ausgestellt hat.
The group cited incidents such as racial slurs against black students at the University of Missouri and the death of Tory Sanders, 28, a black man from Tennessee.	Die Gruppe zitierte Vorfälle wie rassistische Vergehen gegen schwarze Studenten an der University of Missouri und den Tod von Tory Sanders, 28, einem schwarzen Mann aus Tennessee.
Sanders died under questionable circumstances earlier this year after he ran out of gas while traveling through the state, and was taken into custody by Missouri police without being accused of a crime.	Sanders starb unter fragwürdigen Umständen Anfang des Jahres, nachdem er während der Reise durch den Staat kein Benzin mehr hatte und von der Polizei von Missouri in Gewahrsam genommen wurde, ohne eines Verbrechens beschuldigt zu werden.
The advisory also points to a recent report by the Missouri Attorney General's Office showing that black drivers in the state were 75 percent more likely to be pulled over than whites.	Der Rat weist auch auf einen kürzlich erschienenen Bericht des Büros des Generalstaatsanwaltes von Missouri hin, in dem gezeigt wird, dass schwarze Autofahrer im Staat 75 Prozent häufiger als Weiße angehalten werden.
"The advisory is for people to be aware, and warn their families and friends and co-workers of what could happen in Missouri," Chapel said.	"Die Empfehlung ist, dass sich die Menschen bewusst sind und ihre Familien, Freunde und Mitarbeiter darüber informieren, was in Missouri passieren könnte", sagte Chapel.
"People need to be ready, whether it's bringing bail money with them, or letting relatives know they are traveling through the state."	"Die Leute müssen bereit sein, ob es Kautionsgeld mitbringen oder die Verwandten wissen lassen, dass sie durch den Staat reisen."
Missouri recorded 100 hate crimes in 2015, according to the latest figures from the FBI's hate crime reporting program, ranking the state at 16th in the country in terms of the number of such violations.	Missouri verzeichnete im Jahr 2015 100 Hassverbrechen, nach den neuesten Zahlen aus dem Hassverbrechens-Berichtsprogramm des FBI, die den Staat in Bezug auf die Anzahl solcher Verletzungen auf den 16. Rang des Landes einstufen.
The travel warning is also a response to a new Missouri law that would make it more difficult to sue a business for housing or employment discrimination.	Die Reisewarnung ist auch eine Antwort auf ein neues Missouri-Gesetz, das es schwieriger machen würde, ein Unternehmen wegen Wohnungs- oder Beschäftigungs-Diskriminierung zu verklagen.
Previously, the American Civil Liberties Union (ACLU) had issued travel advisories for Texas and Arizona after the states passed immigration enforcement laws requiring local law enforcement to detain people on immigration violations which the ACLU said would increase racial profiling.	Zuvor hatte die American Civil Liberties Union (ACLU) Reisewarnungen für Texas und Arizona herausgegeben, nachdem die Staaten Einwanderungsgesetze verabschiedet hatten, die lokale Strafverfolgungsbehörden dazu verpflichten, Menschen wegen Zuwanderungsverstößen zu verhaften, was nach Ansicht der ACLU zur weiteren Rassenprofilierung beitragen wird.
Travel warnings are usually issued by the State Department for other countries, but lately, advocacy groups have resorted to the measure in response to certain laws and trends inside the US.	Reisewarnungen werden in der Regel vom Außenministerium für andere Länder ausgestellt, aber in letzter Zeit haben Interessengruppen die Maßnahme als Reaktion auf bestimmte Gesetze und Trends innerhalb der USA eingesetzt.
Pasture fence project is fundamental	Weidezaunprojekt ist elementar
The Fischerbach pasture fence project is a successful project and will be continued next year.	Das Fischerbacher Weidezaun-Projekt ist ein Erfolgsprojekt und wird im kommenden Jahr fortgesetzt.
Members of the Bundestag for the CDU Peter Weiß and Kordula Kovac got a first-hand view.	Die CDU-Bundestagsabgeordneten Peter Weiß und Kordula Kovac haben sich vor Ort ein Bild verschafft.
Representatives from the Fischerbach local CDU group met with mayor Thomas Schneider and the two representatives at Rechtgrabenhof farm, belonging to the Schwendemann family.	Beim Rechtgrabenhof der Familie Schwendemann trafen sich Vertreter des Fischerbacher CDU-Ortsverbands zusammen mit Bürgermeister Thomas Schneider und den beiden Abgeordneten.
To start with, Markus Schwendemann gave insights into his business, in which he cultivates 55 hectares of pasture and 40 hectares of woodland, keeps 40 milk cows and just as many young stock, and accommodates five apartments of holiday makers.	Markus Schwendemann gewährte zunächst Einblicke in seinen Betrieb, in dem er 55 Hektar Wiesen und 40 Hektar Wald bewirtschaftet, 40 Milchkühe und ebenso viele Jungtiere versorgt und in fünf Wohnungen Feriengäste beherbergt.
Schwendemann says that, for him, there is no alternative to the "Black Forest milk" marketing channel he uses for the milk from his cows.	Die "Schwarzwaldmilch" ist für ihn der alternativlose Vermarktungsweg für die Milch seiner Kühe, so Schwendemann.
Only regional produce is served to the holiday-makers.	Auf den Tisch der Feriengäste kommt ausschließlich Regionales.
Since he is also BLHV chairman for Fischerbach, he described the pasture fence project as "fundamentally important".	Da er auch BLHV-Vorsitzender von Fischerbach ist, bezeichnete er das Weidezaunprojekt als "elementar wichtig".
I can't make a profit on that kind of steep-sloping ground.	Ich kann auf derart steilen Flächen nicht gewinnbringend wirtschaften.
Grassland areas make for a lot of work, a lot has to be done with the string trimmer.	Die Grünlandfläche sorge für viel Arbeit, vieles müsse mit der Motorsense bearbeitet werden.
"We have to grapple with the conditions and with the topography here," stressed Schwendemann.	"Wir haben hier mit den Bedingungen und mit der Topografie zu kämpfen", betonte Schwendemann.
In 2003, he took over his parents' business and he manages this without chemical crop protection and fertilisers, even if it's not an organic farm that he's running.	2003 habe er den elterlichen Betrieb übernommen und bewirtschafte diesen ohne chemischen Pflanzenschutz und Dünger, auch wenn er keinen Biobetrieb führe.
For Mayor Thomas Schneider, it was clear that "the community has recognised the importance of the pasture fence project and is happy to have the Leader funding".	Für Bürgermeister Thomas Schneider war klar: "Die Kommune hat die Bedeutung des Weidezaunprojekts erkannt und ist froh über die Leader-Förderung".
The farmers need support to the tune of 3000 to 4000 euros per hectare.	Bei Kosten von 3000 bis 4000 Euro pro Hektar müssten die Landwirte unterstützt werden.
One hopes that with that, afforestation of the area could then be drawn out for a long while.	Man hoffe, dass damit die Aufforstung der Flächen noch eine ganze Weile hinausgezogen werden könnte.
"The biggest asset that we have are the people who work in agriculture and who give thought to how to bring their businesses forward," stressed the mayor.	"Der größte Schatz den wir haben, sind die Leute, die in der Landwirtschaft arbeiten und sich Gedanken darum machen, wie sie ihren Betrieb weiter bringen", betonte der Bürgermeister.
The farmers are often the target of criticism thanks to the funding.	Die Landwirte stehen wegen der Förderung oft in der Kritik
Using the pasture fence funding, a total of 25 plots from eleven participants were fenced off in 2013.	Über die Weidezaunförderung wurden im Jahr 2013 insgesamt 25 Parzellen von elf Teilnehmern eingezäunt.
The areas kept open with these amount to 40 hectares, which may not be afforested until at least 2023.	Die Offenhaltungsfläche beträgt damit 40 Hektar, die bis mindestens 2023 nicht aufgeforstet werden dürfen.
Of the total costs, to the tune of 71,500 euros, half was funded via Leader, and a quarter was borne by the community of Fischerbach.	Von den Gesamtkosten in Höhe von 71 500 Euro wurde die Hälfte über Leader gefördert, ein viertel trug die Gemeinde Fischerbach.
The farmers were thus left with 12,610 euros, which they had to invest in the 16.2-kilometre pasture fence.	Somit verblieben den Landwirten 12 610 Euro, die sie in 16,2 Kilometer Weidezaun investieren mussten.
"The great advantage is the longevity of the fences," explained Schwendemann.	"Der große Vorteil ist die Langlebigkeit der Zäune", erklärte Schwendemann.
Kordula Kovac stressed: "You're doing a really good job. Without farmers we'd not be able to function."	Kordula Kovac betonte: "Ihr macht einen richtig guten Job, ohne Landwirte und Landfrauen geht es nicht".
Peter Weiß is also standing firm: "First-class foodstuffs are produced here."	Auch für Peter Weiß stand fest: "Hier werden beste Lebensmittel produziert".
The Baden-Württemberg directive on countryside conservation (LPR) makes the government funding of pasture fences possible.	Die Landschaftspflegerichtlinie (LPR) Baden-Württemberg ermöglicht die staatliche Förderung von Weidezäunen.
Its goal is to keep the Black Forest open.	Ziel ist die Offenhaltung des Schwarzwalds.
A prerequisite is the existence of one of the funding scenarios as outlined by the LPR.	Voraussetzung ist das Vorhandensein einer von der LPR bezeichneten Förderkulisse.
In addition, the fenced-off area is not allowed to be farmable with a tractor (gradient of over 35 per cent) and must therefore be threatened with afforestation.	Außerdem darf die einzuzäunende Fläche nicht schlepperbewirtschaftbar sein (Hangneigung über 35 Prozent) und muss damit von der Aufforstung bedroht sein.
For the 2018 Fischerbach pasture fence project, an application is currently underway from eight participants with 24 plots who would like to build just shy of 16 kilometres of fence.	Für das Fischerbacher Weidezaunprojekt 2018 läuft derzeit der Antrag von acht Teilnehmern mit 24 Parzellen, die knapp 16 Kilometer Zaun bauen möchten.
The areas of land to be kept open equate to 35 hectares; the calculated costs amount to more than 112,000 euros.	Die Offenhaltungsfläche entspricht 35 Hektar, die kalkulierten Kosten liegen bei mehr als 112 000 Euro.
Is nothing sacred?	Ist nichts mehr heilig?
Now Trump's White House is targeting the Statue of Liberty	Jetzt nimmt sich das Weiße Haus von Trump die Freiheitsstatue vor
The surest mark of regime change is when they start attacking the statues.	Das sicherste Zeichen eines Regime-Wechsels ist es, wenn sie beginnen, die Statuen zu attackieren.
Americans appreciate this as well as anyone - hence the carefully stage-manged toppling of Saddam Hussein in Firdos square in Baghdad in 2003.	Die Amerikaner schätzen diese ebenso wie jede andere - daher der sorgsam inszenierte Sturz Saddam Husseins auf dem Firdos Platz in Bagdad im Jahr 2003.
Stephen Miller, one of the key ideologues of the Trump regime, surely knew what he was doing when he took a symbolic axe to the Statue of Liberty in a heated argument with CNN's Jim Acosta over the president's proposals to drastically limit legal immigration.	Stephen Miller, einer der Schlüssel-Ideologen des Trump-Regimes, wusste sicherlich, was er tat, als er eine symbolische Axt in einem hitzigen Streit mit Jim Acosta von CNN über die Vorschläge des Präsidenten zur drastischen Einschränkung der legalen Einwanderung mit zur Freiheitsstatue nahm.
In fairness, Miller did not attack the statue itself.	Um fair zu bleiben, Miller griff nicht die Statue selbst an.
A horde of boat-trip owners and Liberty impersonators would have lynched him if he did.	Eine Horde von Bootsbesitzern und Liberty-Imitatoren hätten ihn gelyncht, wenn er es getan hätte.
But he did attack its meaning, and in particular the meaning ascribed to it when Emma Lazarus's famous poem was added to its base in 1903, 17 years after the monument itself was completed.	Aber er griff deren Bedeutung an, und insbesondere die Bedeutung, die ihr zugeschrieben wurde, als das berühmte Gedicht von Emma Lazarus 1903, 17 Jahre nach der Fertigstellung des Denkmals, seiner Basis hinzugefügt wurde.
As Miller scolded Acosta: "I don't want to get off into a whole thing about history here, but the Statue of Liberty is ... a symbol of American liberty lighting the world.	Als Miller Acosta beschimpfte: "Ich will hier nicht auf ein komplettes Ding über Geschichte eingehen, aber die Freiheitsstatue ist ... ein Symbol amerikanischer Freiheit, das die Welt erleuchtet.
The poem that you're referring to, that was added later and is not part of the original Statue of Liberty."	Das Gedicht, auf das Sie sich beziehen, das später hinzugefügt wurde und nicht Teil der ursprünglichen Freiheitsstatue ist."
Miller is factually correct, but as he put it himself, this is not really about history.	Miller liegt sachlich richtig, aber wie er es selbst formulierte, geht es nicht wirklich um Geschichte.
It is about the contemporary resonance of Lazarus's startling words, the only ones in which a state has appeared to invite not just any old immigrants, but the poorest of the poor: "Your tired, your poor, / Your huddled masses yearning to breathe free, / The wretched refuse of your teeming shore."	Es geht um die zeitgenössische Resonanz auf die aufrüttelnden Worte von Lazarus, die einzigen, in denen ein Staat nicht nur irgendwelche alten Einwanderer einlädt, sondern die Ärmsten der Armen: "Deine Müden, deine Armen, / deine bedrängten Massen, die sich danach sehnen, frei zu atmen, / den elenden Abfall deiner reichen Küsten."
There has never been a time when the "wretched refuse" has been more visible on our screens.	Es gab nie eine Zeit, in der der "elende Abfall" auf unseren Bildschirmen besser zu sehen war.
Miller was not engaging in literary criticism - he was making it clear that these people are not welcome in Trump's USA.	Miller engagierte sich nicht in literarischer Kritik - er machte deutlich, dass diese Leute in Trumps USA nicht willkommen sind.
This conflict about the meaning of a statue is part of a wider political and cultural war: it is really a conflict about the meaning of America.	Dieser Konflikt wegen der Bedeutung einer Statue ist Teil einer breiteren politischen und kulturellen Auseinandersetzung: Es ist in der Tat ein Konflikt um die Bedeutung Amerikas.
Lazarus - and her friends who campaigned to place her words at the base after her death - knew very well that they were engaging in a highly political act.	Lazarus - und ihre Freunde, die sich dafür einsetzten, ihre Worte nach ihrem Tod an der Basis zu platzieren - wussten sehr gut, dass sie eine hochpolitische Handlung vollzogen.
The sculpture was intended to mark the connections between French and American republicanism by representing in a well-worn classical trope, the female embodiment of Liberty.	Die Skulptur sollte die Verbindungen zwischen französischem und amerikanischem Republikanismus zeigen, indem sie in einer abgenutzten klassischen bildlichen Darstellung die weibliche Verkörperung der Freiheit darstellte.
Lazarus changed that meaning: in her poem the female figure is no longer abstract - she has a voice.	Lazarus veränderte diese Bedeutung: In ihrem Gedicht ist die weibliche Figur nicht mehr abstrakt - sie hat eine Stimme erhalten.
And she gives herself a very different name: Mother of Exiles.	Und sie gibt sich selbst einen ganz anderen Namen: Mutter der Exilanten.
The marrying of the poem to the image is a brilliant feminist coup and a devastating attack on American nativism.	Die Verbindung des Gedichts mit dem Bild ist ein brillanter feministischer Coup und ein verheerender Angriff auf den amerikanischen Nativismus.
And just as Lazarus changed the meaning of the statue, rightwingers have long wanted to change it back.	Und genau wie Lazarus die Bedeutung der Statue änderte, wollten die Leute vom rechten Flügel dies schon lange zurückwechseln.
The great loudmouth Rush Limbaugh, a kind of John the Baptist for the coming of Trump, argued in 2010 that Liberty is not inviting anyone in, but is rather an early neocon, taking the American flame out to the benighted world: "Lady Liberty is stepping forward.	Der große Schreihals Rush Limbaugh, eine Art Johannes des Täufers für das Kommen von Trump, argumentierte 2010, dass die Freiheitsstatue niemanden einlade, sondern eher eine frühe Neokonservative sei, die die amerikanische Flamme in die umnachtete Welt bringe: "Lady Liberty geht voran.
She is meant to be carrying the torch of liberty from the United States to the rest of the world.	Sie soll die Fackel der Freiheit von den Vereinigten Staaten in den Rest der Welt tragen.
The torch is not to light the way to the United States."	Die Fackel soll nicht den Weg in die Vereinigten Staaten erleuchten."
Rather unusually, Limbaugh actually hit on something.	Ziemlich ungewöhnlich ist Limbaugh hier auf etwas gestoßen.
The meaning of the statue is entirely a matter of the angle of perception.	Die Bedeutung der Statue ist ganz und gar eine Frage des Standpunktes der Wahrnehmung.
Lazarus's great imaginative act was to see it as it would be seen by exhausted, wretched but hopeful people on the decks of ships after long and often dreadful journeys.	Die große phantasievolle Tat von Lazarus bestand darin, sie so zu sehen, wie sie von den erschöpften, elenden, aber hoffnungsvollen Menschen nach langen und oft schrecklichen Reisen auf den Decks von Schiffen gesehen wurde.
It is literally about seeing the world from the perspective of people seeking refuge and a chance to better their lives.	Es geht im wahrsten Sinne darum, die Welt aus der Perspektive von Menschen zu sehen, die Zuflucht suchen und eine Chance, ihr Leben zu verbessern.
Her statue speaks back to them the words of hope and welcome they need to hear.	Ihre Statue spricht zu ihnen die Worte der Hoffnung und des Willkommens, die sie hören müssen.
And of course, this is not the perspective Miller and Trump want ever to recognise.	Und das ist natürlich nicht die Perspektive, die Miller und Trump jemals anerkennen möchten.
Their torch is meant not to light the way, but to inflame the hatreds that are their only source of power.	Ihre Fackel soll nicht den Weg erleuchten, sondern den Hass, der ihre einzige Quelle der Macht ist, entzünden.
World Championships 2017: Neil Black praises Scottish members of Team GB	Weltmeisterschaft 2017: Neil Black lobt schottische Mitglieder des Teams von Großbritannien
Eilidh Doyle recalls a time when only two Scots made the GB team	Eilidh Doyle erinnert sich an eine Zeit, als nur zwei Schotten zum Team von Großbritannien gehörten
UK Athletics' performance director Neil Black says the 16-strong Scottish contingent in the World Championships squad will make "a massive contribution to the team."	Der Leistungsdirektor der Leichtathletik des Vereinigten Königreichs, Neil Black, sagt, dass das 16-köpfige schottische Kontingent im Weltmeisterschaftskader "einen massiven Beitrag zum Team leisten wird".
A record number of Scottish athletes have been selected for London 2017, which starts on Friday.	Eine Rekordzahl von schottischen Athleten wurde für London 2017 ausgewählt, das am Freitag startet.
Black believes "there's something special evolving" in Scotland and UK athletics must learn from that.	Black glaubt, dass "sich in Schottland etwas Spezielles entwickelt" und die Leichtathletik des Vereinigten Königreichs etwas daraus lernen muss.
"We embrace it and we're trying to understand it and we'll push on that until we work it out," Black said.	"Wir begrüßen es, und wir versuchen es zu verstehen, und wir werden es weiterführen, bis wir es herausfinden," sagte Black.
"I speak to people in the Scottish Institute of Sport and they think it's something to do with what they've done.	"Ich spreche mit Leuten im Scottish Institute of Sport und sie denken, dass es etwas mit dem zu tun hat, was sie getan haben.
Scottish Athletics think it's something to do with what they've done.	Die schottischen Athleten denken, dass es etwas mit dem zu tun hat, was sie getan haben.
British athletics: it's something to do with what they've done.	Britische Leichtathletik: Es hat etwas mit dem zu tun, was sie getan haben.
And the guy on the corner street, too.	Und auch mit dem Typ an der Straßenecke.
