Four members of the Kemerovo group arrested in Estonia and Spain	Eestis ja Hispaanias peeti kinni neli Kemerovo grupeeringu liiget
Verte emphasized that cooperation with Spanish colleagues has played an important part throughout the investigation.	Verte rõhutas, et kogu uurimise vältel on olulisel kohal olnud koostöö Hispaania kolleegidega.
“International cooperation has become the standard for us and this week’s operation shows success of the cooperation,” commented prosecutor Verte.	"Rahvusvaheline koostöö on meie jaoks tavapäraseks muutunud ning sellenädalane operatsioon näitab koostöö edukust", kommenteeris prokurör Verte.
Head of the central criminal police division Ago Leis said that the arrests were preceded by a preliminary investigation that lasted almost a year a half.	Keskkriminaalpolitsei talituse juht Ago Leis ütles, et kinnipidamistele eelnes ligi poolteist aastat kestnud eeluurimine.
“The long-running work came to fruition in the first half the week and we made simultaneous arrests of the suspects in these crimes in Estonia and Spain,” he said.	"Nädala esimeses pooles pikaaegne töö realiseerus ning pidasime samaaegselt Eestis ja Hispaanias kuritegudes kahtlustavad kinni", lausus ta.
Leis added that central criminal police officials assisted in the Spanish arrests.	Leis lisas, et keskkriminaalpolitsei ametnikud olid Hispaanias kinnipidamisel abiks.
For years now, we have had good contacts and mutual understanding with the Spanish police and civil guard forces.	Juba aastaid on meil hea kontakt ning üksteisemõistmine Hispaania politsei ja tsiviilkaardiväega.
These arrests send yet another message to criminals that and we will get them from the other end of Europe,” said Leis.	Need kinnipidamised on järjekordsed sõnumid kurjategijatele, et saame nad kätte ka teisest Euroopa otsast", ütles Leis.
The information gathered to this point shows unequivocally that if they remained at liberty, the men named in the complaint could continue committing new crimes, which is why the prosecutor’s office sought their arrests and the court approved it as well.	Seni kogutud teave osutab üheselt, et vabaduses viibides võivad kahtlustuse saanud mehed jätkata uute kuritegude toimepanemist, mistõttu taotles prokuratuur nende vahistamist ja kohus kiitis selle ka heaks.
A man arrested in Spain now faces extradition to Estonia.	Hispaanias vahistatud meest ootab tema loovutamine Eestile.
In the framework of this criminal case, real estate, vehicles and cash were impounded to secure the confiscation.	Kõnealuse kriminaalasja raames on konfiskeerimise tagamiseks arestitud kinnisvara, sõidukid ja sularaha.
The pretrial proceedings in the criminal case are being conducted by the criminal police’s organized crime office and headed by the public prosecutor’s office.	Kriminaalasja kohtueelset menetlust viib läbi keskkriminaalpolitsei organiseeritud kuritegude büroo ning juhib riigiprokuratuur.
In 2005, Tallinn City Court convicted Slava Gulevich of extortion and sentenced him to five years in prison.	Tallinna linnakohus mõistis Slava Gulevitši 2005. aastal süüdi väljapressimises ja karistas teda viieaastase vangistusega.
In the middle of last decade, he was considered to rank second in the Estonian criminal world after the underworld leader Nikolai Tarankov.	Eelmise kümnendi keskel peeti Gulevitšit toonase allilmaliidri Nikolai Tarankovi järel Eesti kuritegelikus maailmas tähtsuselt teiseks meheks.
Gulevich, who is from Kemerovo, became prominent in the Estonian underworld in the early 1990s when he became involved in extortion in Tallinn.	Kemerovost pärit Gulevitš tõusis Eesti allilmas esile 1990. aastate alguses, kui ta hakkas Tallinnas tegelema väljapressimistega.
He allegedly put the squeeze on taxi drivers and prostitutes operating at different hotels, and demanded monthly pay off from businessmen.	Väidetavalt maksustas ta erinevate hotellide juures tegutsenud taksojuhid ja prostituudid ning nõudis ärimeestelt igakuist katusemaksu.
Joint international operations, confiscation of criminal gains, and court decisions handed down all confirmed that the fight against organized crime is effective.	Rahvusvahelised ühisoperatsioonid, kriminaaltulu konfiskeerimised ja jõustunud kohtuotsused kinnitavad, et võitlus organiseerutud kuritegevuse vallas on tõhus.
For example the latest court decisions, the eight accused to be tried separately from the so-called Dikajev crime organization criminal case, from whom 80,000 euros was confiscated, or the court decision with regard to nine persons accusing Igor Aleynikov of establishing in 2006 a crime organization engaged in illegal trade in contraband cigarettes and commission of crimes related to human smuggling in Ida-Viru County and southern Estonia.	Näiteks viimased kohtuotsused, niinimetatud Dikajevi kuritegeliku ühenduse kriminaalasjast eraldatud kaheksa süüdistatavat, kellelt konfiskeeriti kriminaaltulu 80 000 eurot, või kohtuotsus üheksa isiku suhtes selles, et Igor Aleynikov lõi 2006. aastal kuritegeliku ühenduse, mis oli suunatud salasigarettide ebaseaduslikule kauplemisele ja inimkaubandusega seotud kuritegude toimepanemisele Ida-Virumaal ja Lõuna-Eestis.
The amount of criminal gains confiscated in that case was close to 71,500 euros.	Konfiskeeritud kriminaaltulu suuruseks on seal ligi 71 500 eurot.
What has ensured success in these criminal cases is the fact that police offices exchange information each day with their colleagues and prosecutors exchange evidence, and if necessary they conduct operations jointly in any other European Union member state.	Nendes kriminaalasjades on taganud edu see, et politseinikud vahetavad iga päev väliskolleegidega infot ja prokurörid tõendeid ning vajadusel tehakse koos toiminguid ükskõik mis Euroopa Liidu riigis.
Civil rights group issues travel warning for Missouri	Kodanikuõiguste rühmitus hoiatab Missourisse reisimise eest
The National Association for the Advancement of Colored People has put out an alert for people of color traveling to Missouri because of the state's discriminatory policies and racist attacks.	Organisatsioon National Association for the Advancement of Colored People (NAACP) on hoiatanud Missourisse reisivaid mustanahalisi inimesi osariigi diskrimineeriva poliitika ja rassistlike rünnakute eest.
"The NAACP Travel Advisory for the state of Missouri, effective through August 28th, 2017, calls for African American travelers, visitors and Missourians to pay special attention and exercise extreme caution when traveling throughout the state given the series of questionable, race-based incidents occurring statewide recently, and noted therein," the group's statement reads.	Rühmituse avalduses on kirjas: "Missouri osariigi kohta väljastatud NAACP reisimärkus, mis kehtib kuni 2017. aasta 28. augustini, kutsub kõiki afroameeriklastest reisijaid, külastajaid ja missourilasi olema terves osariigis ringi liikudes eriti tähelepanelikud ja ülimalt ettevaatlikud, arvestades tervet rodu kahtlaseid rassipõhiseid sündmuseid, mis on viimasel ajal üle osariigi toimunud ja siinkohal ka välja toodud."
A recent Missouri law making it harder for people to win discrimination lawsuits, as well as the state's law enforcement disproportionately targeting minorities prompted the group to issue the travel alert, the NAACP said.	NAACP sõnul ärgitasid rühmitust reisihoiatust väljastama nii hiljutine Missouri seadus, mis teeb diskrimineerimist puudutavate kohtuasjade võitmise raskemaks, kui ka asjaolu, et osariigi korrakaitsjate sihtmärkideks on ebavõrdselt suures osas just vähemused.
"You have violations of civil rights that are happening to people.	"Inimeste kodanikuõigusi rikutakse.
They're being pulled over because of their skin color, they're being beaten up or killed," the president of the Missouri NAACP, Rod Chapel, told The Kansas City Star.	Nad tõmmatakse teeserva nende nahavärvi tõttu, neid pekstakse või tapetakse," ütles NAACP Missouri haru president Rod Chapel ajalehele The Kansas City Star.
"We are hearing complaints at a rate we haven't heard before."	"Me pole kunagi varem nii tihedalt kaebusi saanud."
It is the first such warning that the organization has issued for a state in the US.	Tegu on esimese taolise hoiatusega, mille organisatsioon on USA osariigi kohta väljastanud.
The group cited incidents such as racial slurs against black students at the University of Missouri and the death of Tory Sanders, 28, a black man from Tennessee.	Rühmitus viitas sellistele sündmustele nagu rassistlikud solvangud mustanahaliste üliõpilaste suunal Missouri Ülikoolis ja Tennessee'st pärit 28-aastase mustanahalise Tory Sandersi surm.
Sanders died under questionable circumstances earlier this year after he ran out of gas while traveling through the state, and was taken into custody by Missouri police without being accused of a crime.	Sanders suri selle aasta alguse poole kahtlastel asjaoludel pärast seda, kui tal sai osariigist läbi sõites bensiin otsa ja Missouri politsei võttis ta vahi alla, ilma et teda oleks kuriteos süüdistatud.
The advisory also points to a recent report by the Missouri Attorney General's Office showing that black drivers in the state were 75 percent more likely to be pulled over than whites.	Lisaks viitab märkus Missouri peaprokuröri hiljuti koostatud aruandele, mis näitab, et osariigis peatatakse mustanahaliste autojuhtide autosid 75% suurema tõenäosusega kui valgenahaliste omi.
"The advisory is for people to be aware, and warn their families and friends and co-workers of what could happen in Missouri," Chapel said.	"Märkus on mõeldud selleks, et inimesed oleksid teadlikud ning hoiataksid oma perekondi, sõpru ja töökaaslasi selle eest, mis võib Missouris juhtuda," ütles Chapel.
"People need to be ready, whether it's bringing bail money with them, or letting relatives know they are traveling through the state."	"Inimesed peavad valmis olema, tähendagu see siis kautsjoniraha kaasavõtmist või sugulaste teavitamist sellest, et nad osariiki läbivad."
Missouri recorded 100 hate crimes in 2015, according to the latest figures from the FBI's hate crime reporting program, ranking the state at 16th in the country in terms of the number of such violations.	FBI vihakuritegudest teavitamise programmi värskeimate andmete põhjal dokumenteeriti Missouris 2015. aastal 100 vihakuritegu, mis paigutab osariigi sarnaste rikkumiste arvu poolest riigi läbilõikes 16. kohale.
The travel warning is also a response to a new Missouri law that would make it more difficult to sue a business for housing or employment discrimination.	Reisihoiatus on ka vastuseks Missouri uuele seadusele, mis raskendab ettevõtte kohtusse kaebamist eluaseme või töö otsinguil diskrimineerimise pärast.
Previously, the American Civil Liberties Union (ACLU) had issued travel advisories for Texas and Arizona after the states passed immigration enforcement laws requiring local law enforcement to detain people on immigration violations which the ACLU said would increase racial profiling.	Ameerika Kodanikuvabaduste Ühendus (American Civil Liberties Union  ACLU) oli väljastanud varem reisimärkused Texase ja Arizona kohta pärast seda, kui need osariigid võtsid vastu immigratsiooniseadused, mis kohustasid kohalikke võime inimesi immigratsioonialaste rikkumiste eest vahistama, sest ACLU sõnul suurendab see rassilist profileerimist.
Travel warnings are usually issued by the State Department for other countries, but lately, advocacy groups have resorted to the measure in response to certain laws and trends inside the US.	Tavaliselt annab reisihoiatusi välja välisministeerium teiste riikide kohta, aga viimasel ajal on hakanud huvigrupid kasutama seda meedet vastureaktsioonina teatud USA-sisestele seadustele ja trendidele.
Hepatitis: what should everyone know about the different forms of this serious disease?	Hepatiit: mida võiks igaüks teada selle raske haiguse erinevatest vormidest?
Hepatitis – inflammation of the liver – may be caused by any of five hepatitis viruses – A, B, C, D and E.	Hepatiit ehk maksapõletik võib olla põhjustatud viie erineva - A, B, C, D ja E hepatiidiviiruse poolt.
All of these viruses cause acute inflammation of liver tissue.	Kõik need viirused kutsuvad esile maksakoe ägeda põletiku.
Chronic hepatitis B and C have a malignant profile, which can progress to cirrhosis and liver cancer.	Halvaloomulise kuluga on aga krooniline B ja C hepatiit, mis võib edasi areneda maksa tsirroosiks ehk maksa kortsumuseks ja maksavähiks.
Health Board epidemiology advisor Kuulo Kutsar says that the symptoms of acute hepatitis are the same for all types of liver inflammation – fever, fatigue, loss of appetite, nausea, vomiting, abdominal pain, greyish stools, dark urine, muscle and joint pain and yellowness of skin and mucous membranes.	Terviseameti epidemioloogianõunik Kuulo Kutsar räägib, et ägeda hepatiidi haigusnähud on kõikide maksapõletiku liikide korral ühesugused - palavik, väsimus, isutus, iiveldus, oksendamine, kõhuvalu, hallikas väljaheide, tume uriin, lihase- ja liigesevalu ning naha ja limaskestade kollasus.
The latter condition is the origin of the popular name for hepatitis in Estonian, kollatõbi or yellow disease.	Viimasest haigustunnusest pärineb ka maksapõletiku rahvapärane nimetus kollatõbi.
In children, hepatitis can progress without symptoms.	Lastel võib hepatiit kulgeda haigusnähtudeta.
The various types of hepatitis can be diagnosed only through laboratory testing.	Maksapõletiku erinevaid liike on võimalik kindlaks määrata ainult laboratoorse uuringu andmete põhjal.
But hepatitis can change over to the chronic form of the disease and have a course of decades without symptoms, which means that people may not necessarily be aware that they have a dangerous disease that damages the liver.	Äge hepatiit võib üle minna krooniliseks hepatiidiks ja kulgeda aastakümneid ilma haigusnähtudeta, mis tähendab, et inimene ei pruugi midagi teada oma ohtlikust maksa kahjustavast haigusest.
Kutsar notes the different forms of hepatitis and describes their course in detail.	Kuulo Kutsar toob välja erinevad hepatiidivormid ja kirjeldab nende kulgu lähemalt.
Hepatitis A viruses spread from a sick person and infect us through eating of contaminated food or drinking of water, during sex, contact between hands and faeces from infected people and from hands to food, surfaces, objects, through contact with the mouth, and drug use.	A hepatiidi viirused levivad haigelt inimeselt ja nakatavad meid saastunud toidu söömisel või vee joomisel, seksi teel, nakatunud inimese väljaheitest kätele ja kätelt toiduainetele, pindadele, esemetele, suhu sattumisel ning narkootikumide tarbimisel.
Among the risk group for hepatitis A infection are family members and caregivers, people with chronic liver diseases, sex partners of infected people, men who have sex with men, drug abusers, and travellers to countries with a high incidence of hepatitis A.	A hepatiiti nakatumise ohu- ehk riskirühma kuuluvad haigestunu pereliikmed ja hooldajad, kroonilisi maksahaigusi põdevad inimesed, nakatunuga seksivad inimesed, meestega seksivad mehed, narkomaanid, A hepatiidi kõrge levikuga riike külastavad reisijad.
Infection can be prevented through vaccination. Above all, vaccination is recommended for people who travel often and people in the hepatitis A risk group.	Nakatumist saab ennetada vaktsineerides, eelkõige soovitatakse vaktsineerimist palju reisivatele ja A hepatiidi riskirühma kuuluvatele inimestele.
In addition, following everyday good hygiene is important: washing or disinfecting hands, washing all fruits and vegetable before use as food.	Lisaks on oluline igapäevane hügieeninõuete täitmine: pesta või desinfitseerida käsi, enne toiduks tarvitamist pesta kõiki puu- ja juurvilju.
Hepatitis B viruses spread through contact with the blood from a sick person, drug injecting, tattooing, piercing, use of everyday items contaminated with blood (toothbrushes, shaving accessories), donor blood, sex with a person suspected of having hepatitis, and from mother infected with hepatitis to a foetus/newborn.	B hepatiidi viirused levivad haige inimese verega kokkupuutumisel, narkootikumide süstimisel, tätoveerimisel, augustamisel, verega saastunud olmeesemete (hambaharjad, raseerimisvahendid) kasutamisel, doonoriverega, hepatiidikahtlase isikuga seksimisel ning hepatiidihaigelt emalt lootele/vastsündinule.
Among the risk group for hepatitis B infection are drug abusers, sex partners of infected persons, men who have sex with men, infected mother to a newborn, family members and caregivers of the sick, healthcare, rescue and police workers exposed to blood and other bodily fluids and travellers visiting countries with high incidence of hepatitis B.	B hepatiidi nakatumise riskirühma kuuluvad süstivad narkomaanid, nakatunud inimese seksipartnerid, meestega seksivad mehed, nakatunud ema vastsündinud, haige pereliikmed ja hooldajad, vere ja muude kehavedelikega kokku puutuvad tervishoiu-, päästetöötajad ja politseinikud ning B hepatiidi kõrge haigestumisega riike külastavad reisijad.
Prevention of hepatitis B is possible by vaccinating people; vaccination is also recommended for people in risk groups, along with people with chronic liver diseases, and people with HIV, STDs and diabetes.	B hepatiidi ennetamiseks on võimalik inimesi vaktsineerida; eelkõige on soovitatakse vaktsineerida riskirühma kuuluvaid inimesi ning lisaks kroonilisi maksahaigusi põdevaid, HIV-nakkusega, sugulisel teel levivaid haigusi ja diabeeti põdevaid isikuid.
Other ways of preventing hepatitis B are: refraining from sharing personal hygiene and manicure accessories, other objects with blades and syringes and needles, refraining from tattooing and piercing, and using a condom during sex with the risk of infection or sexual abstinence.	B hepatiidi muudeks ennetusmeetmeteks on: hoidumine võõraste hügieeni- ja maniküürivahendite, muude terav-vahendite ning süstalde-nõelte kasutamisest, tätoveerimisest ja augustamisest ning kondoomi kasutamine nakatumisohtliku seksi korral või seksuaalse riskikäitumise vältimine.
In Estonia, hepatitis B vaccinations are a part of the state immunization plan and are free for children.	B-hepatiidi vastu vaktsineerimine on Eestis riikliku immuniseerimiskava osa ja lastele tasuta.
Hepatitis C viruses spread from exposure to the blood of a sick person, drug injecting, tattooing, piercing, use of everyday items contaminated with blood, donor blood, sex with a person suspected of having hepatitis and from a mother sick with hepatitis to foetus/newborn.	C hepatiidi viirused levivad haige inimese verega kokku puutumisel, narkootikumide süstimisel, tätoveerimisel, augustamisel, verega saastunud olmeesemete kasutamisel, doonoriverega, hepatiidikahtlase isikuga seksimisel ning hepatiidihaigelt emalt lootele/vastsündinule.
Among the risk group for hepatitis B infection are injecting drug abusers, sex partners of infected persons, men who have sex with men, an infected mother to newborn, family members and caregivers of the sick, healthcare, rescue and police workers exposed to blood and other bodily fluids, people infected with HIV, and travellers visiting countries with high incidence of hepatitis C.	C-hepatiidi nakatumise riskirühma kuuluvad süstivad narkomaanid, nakatunud inimese seksipartnerid, meestega seksivad mehed, nakatunud ema vastsündinud, haige pereliikmed ja hooldajad, vere ja muude kehavedelikega kokku puutuvad tervishoiu-, päästetöötajad ja politseinikud, HIV-nakkusega isikud ning C hepatiidi kõrge haigestumisega riike külastavad reisijad.
Preventive measures for hepatitis C are: refraining from sharing personal hygiene and manicure accessories, other objects with blades and syringes and needles, refraining from tattooing and piercing; and using a condom during sex with the risk of infection or sexual abstinence.	C hepatiidi ennetusmeetmeks on: hoidumine võõraste hügieeni- ja maniküürivahendite, muude terav-vahendite ning süstalde-nõelte kasutamisest, tätoveerimisest ja augustamisest ning kondoomi kasutamine nakatumisohtliku seksi korral.
There is no vaccine for hepatitis C.	C hepatiidi vastu vaktsiini ei ole.
Hepatitis D is caused by the hepatitis D virus, which reproduces in the presence of the hepatitis B virus.	D hepatiiti põhjustab D hepatiidi viirus, mis paljuneb B hepatiidi viiruse juuresolekul.
Thus hepatitis D is co-morbid with hepatitis B or a superinfection among those with chronic hepatitis B.	Selletõttu esineb D hepatiidi nakkus koos B hepatiidiga või superinfektsioonina kroonilise B hepatiidi haigetel.
Hepatitis D viruses spread through exposure to blood and other bodily fluids, syringes and needles contaminated with blood and other bodily fluids, sexual transmission and, rarely, from infected mother to foetus.	D hepatiidi viirused levivad kokkupuutel vere ja muude kehavedelikega, nendega saastunud süstalde-nõeltega, sugulisel teel ja harva nakatunud emalt lootele.
The risk group for hepatitis D is chronic carriers of hepatitis D virus and people who lack immunity to hepatitis B.	D hepatiidi riskirühmaks on kroonilised B hepatiidi viirusekandjad ja B hepatiidi vastast immuunsust mitteomavad inimesed.
An effective preventive measure is vaccination with the hepatitis B vaccine, which also protects people from hepatitis D infection.	Tõhus ennetusmeede on vaktsineerimine B hepatiidi vaktsiiniga, mis kaitseb inimest ka D hepatiidi viirusega nakatumise eest.
Hepatitis E viruses are spread through the faecal-oral route involving drinking water and food, including undercooked meat, consumption of fish and shellfish, through donor blood, shared syringes and from infected mother to foetus.	E hepatiidi viirused levivad fekaal-oraalsel teel joogivee ja toiduga, sealhulgas vähe kuumtöödeldud loomaliha, kala ja merekarpide söömisel, doonoriverega, ühiskasutatavate süstaldega ja nakatunud emalt lootele.
Travellers may become infected with hepatitis E in countries with high incidence.	Reisijad võivad nakatuda E hepatiidi kõrge haigestumisega maades.
Preventive measures for hepatitis E are following good hygiene: washing or disinfecting hands after using the washroom, before food preparation and eating, and after providing care to patients.	E hepatiidi ennetusmeetmeteks on hügieeninõuete täitmine: pesta või desinfitseerida käed pärast tualetis käimist, enne toiduvalmistamist ja söömist, pärast haige hooldamist.
Wash fruits and vegetables before consumption, avoid eating undercooked meat, fish and seafood, drink only safe drinking water and refrain from use of drugs.	Puu- ja köögiviljad pesta enne tarbimist, vältida vähe kuumtöödeldud loomaliha, kala ja mereandide söömist, juua ainult ohutut joogivett ning hoiduda narkootikumide tarbimisest.
Although challengers tried to crowd out the four-time Olympic champion in the final lap, 34-year-old Farah dug deep on the home stretch and won with a time of 26:49.51.	Kuigi viimasel ringil proovisid konkurendid neljakordset olümpiavõitjat rajalt minema trügida, leidis 34-aastane Farah lõpusirgel jõudu ning võitis ajaga 26.49,51.
Without breaking stride, Farah brought his wife Tania and his children on to the track with him after he finished.	Farah ei mõelnud pikalt, tõmmates pärast finišit endaga rajale kaasa abikaasa Tania ning lapsed.
It was a special moment for me.	See oli minu jaoks eriline hetk.
I really miss my family.	Igatsen oma peret väga.
Having them with me on the track was amazing,” Farah told the journalists.	Nendega rajal olemine oli imeline", sõnas Farah ajakirjanikele.
In London, Farah is eyeing a double victory in the 5000 and 10000 metres for a fifth championship in a row.	Farah sihib Londonis viiendat tiitlivõistlust järjest 5000 ja 10 000 meetri jooksu kuldset duublit.
Everything is possible if you believe in it.	Kõik on võimalik, kui sellesse usud.
Despite the title, Anne-Marie O’Connor’s Lady in Gold. The extraordinary story of Gustav Klimt’s masterpiece, the portrait of Adele Bloch-Bauer, delves a good bit deeper into the late 19th and early 20th century history of Vienna cultural life.	Vaatamata pealkirjale sukeldub Anne-Marie O'Connori "Daam kullas. Gustav Klimti meistriteose, Adele Bloch-Baueri portree erakordne lugu" ühe kunstiteose sünniloost märksa sügavamale 19. sajandi lõpu ja 20. sajandi alguse Viini kultuuriellu.
But it delves even deeper into history.	Aga veelgi põhjalikumalt ajalukku.
The awe-inspiring amount of information could have benefited from less sparing cuts, and a narrower focus would have allowed the portrait promised in the heading to shine more.	Aukartustäratavale infohulgale kulunuks ära ehk kõvem kärpekirves, kitsam teema lasknuks pealkirjas lubatud portree erakordsel lool rohkem mõjule pääseda.
Right now, it’s as if two books were inside one cover: the story of Gustav Klimt and Adele Bloch-Bauer depicted in his painting The Lady in Gold and a much larger and more sweeping history book of distinguished Jewish families and the German occupation and its aftereffects in Austria.	Praegu oleks ühtede kaante vahel justkui kaks raamatut: Gustav Klimti ja tema maalil "Daam kullas" kujutatud Adele Bloch-Baueri lugu ning märksa mahukam ja laiahaardelisem ajalooraamat lugupeetud juudiperekondadest ja Saksa okupatsioonist koos selle järelmõjudega Austrias.
The first third of the book leads us into the vibrant Viennese cultural life – and anyone who has been to the Austrian capital will have little trouble imagining what life was like more than a hundred years ago around the Ringstrasse or how all heads turned in the Central Café when Klimt entered.	Raamatu esimene kolmandik viib keset pulbitsevat Viini kultuurielu ja kes ise Austria pealinna sattunud, võib vähimagi vaevata ette kujutada, kuidas enam kui sada aastat tagasi elu Ringstrasse ümbruses käis või kuidas Centrali kohvikus kõik pead pöörasid, kui Klimt sisse astus.
The concentration of cultural figures in one of Europe’s wealthiest cities was high and upon seeing a familiar name in the book, you feel that you yourself are a tiny bit more cultured.	Kultuuritegelaste kontsentratsioon oli Euroopa ühes rikkamas linnas kõrge ja raamatus tuttavat nime nähes tunned endki justkui grammikese kultuursemalt.
At the same time, the fact that, say, Sigmund Freud lived and worked in a city teeming with untreated syphilis raged and having Europe’s highest suicide rate doesn’t lend much to the story’s development.	Samas näiteks fakt, et Sigmund Freud tegutses linnas, kus vohas ravimatu süüfilis ja oli Euroopa kõrgeim enesetappude tase, loo arengule justkui midagi juurde ei anna.
And yet perhaps – every brushstroke of a few sentences adds tone colour to the early 20th century cultural life in Vienna.	Või ehk siiski - ka iga paarilauseline pintslitõmme lisab värve 20. sajandi alguse kultuurielule Viinis.
Dream of a trip to the Soviet Union	Unistus reisist Nõukogude Liitu
In the closing decades of the 19th century, the number of Jews in Vienna had grown explosively, becoming the biggest Jewish community in Western Europe.	19. sajandi viimastel kümnenditel oli juutide hulk Viinis plahvatuslikult kasvanud, muutudes suurimaks juudi kogukonnaks Lääne-Euroopas.
At the turn of the century, one in ten Vienna residents was Jewish.	Sajandivahetusel oli pea iga kümnes Viini elanik juut.
Adele’s parents as well were newcomers to Vienna, but by the time Adele married a Czech sugar magnate twice her age, Ferdinand Bloch, and posed for the Klimt’s famous paintings, her father’s bank had become the seventh largest bank in the Habsburg empire.	Ka Adele vanemad olid Viinis uustulnukad, aga selleks ajaks, kui Adele abiellus endast kaks kord avanema Tšehhi suhkrumagnaadi Ferdinand Blochiga ja Klimtile tema kuulsate maalide jaoks poseeris, oli tema isa pank saanud juba suuruselt seitsmendaks pangaks Habsburgide impeeriumis.
But Adele was not drawn by the whole glamorous life she was a part of.	Kuid Adelet kogu see glamuurne elu, kuhu ta kuulus, ei tõmmanud.
If we look at Lady in Gold, it’s hard to believe that toward the end of her life, this grand dame was infected by socialism and dreamed of a trip to the USSR.	Kui vaadata "Daami kullas", on raske uskuda, et elu lõpupoole nakatus see suursugune daam sotsialismist ja unistas reisist Nõukogude Liitu.
By 1903, when Ferdinand Bloch decided to commission a portrait of his wife from Klimt, the latter was the hottest painter in Vienna.	1903. aastaks, kui Ferdinand Bloch otsustas oma abikaasa portree tellida Klimtilt, oli viimane hetke kuumim maalikunstnik Viinis.
Klimt’s commission at the time was 4,000 crowns, a quarter of the price of a good country house.	Klimti tellimus maksis tol ajal 4000 krooni, veerandi hea asukohaga maamaja hinnast.
The fact that in the case of some portraits, the master was suspected of having an affair with the model didn’t deter the magnate.	See, et mõnegi portree puhul kahtlustati meistri armulugu modelliga, suhkrumagnaati ei heidutanud.
As to Adele, the only thing known for certain is that the close bond that developed between the model and the artist during the painting process persisted until the end of their lives.	Mis Adelesse puutub, siis ainus kindel fakt on, et töö käigus tekkinud modelli ja kunstniku lähedane suhe jätkus elu lõpuni.
Anne-Marie O’Connor – Lady in Gold.	Anne-Marie O'Connor - "Daam kullas.
The extraordinary story behind the Gustav Klimt masterpiece, the portrait of Adele Bloch-Bauer, Varrak 2016, translated from English by Aldo Randmaa.	Gustav Klimti meistriteose, Adele Bloch-Baueri portree erakordne lugu", Varrak 2016, inglise keelest tõlkinud Aldo Randmaa.
Immediately before starting work with Adele, Klimt had been to the San Vitale Basilica in Ravenna and scholars believe that it was the brilliant mosaics of the empress Theodora he saw there that gave the artist the idea of creating a golden portrait of Adele in the form of a painted mosaic.	Vahetult enne töö algust Adelega oli Klimt käinud Ravennas San Vitale basiilikas ning uurijad arvavad, et just seal nähtud hiilgavad mosaiigid keisrinna Theodorast andsid kunstnikule idee teha kuldne portree Adelest värvitud mosaiigina.
Klimt presented his Lady in Gold in Vienna in 1908, and around the same time (1907-1908) another golden painting called Kiss was conceived.	Klimt esitles oma "Daami kullas" Viinis 1908. aastal ja umbes samal ajal (aastatel 1907-1908) sündis teinegi kuldne maal "Suudlus".
The similarity between the two women was not overlooked by art historians of course.	Kunstiajaloolastel ei jäänud kahe naise sarnasus mitte märkamata.
How is Hitler tied in to the story?	Kuidas on looga seotud Hitler?
